# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.69072,3.16229,-1.81805,0.31711,0.57395,0.82605,3.49152
0.10447,0.66683,3.06059,-1.78605,0.29777,0.55007,0.84994,3.61205
0.20833,0.64623,2.95880,-1.75586,0.28321,0.52812,0.87054,3.72679
0.31127,0.62879,2.85735,-1.72731,0.27063,0.50312,0.88438,3.83552
0.41337,0.61428,2.75629,-1.70023,0.25850,0.49063,0.89687,3.93890
0.51495,0.60250,2.65539,-1.67444,0.24857,0.47813,0.90938,4.03791
0.61615,0.59330,2.55462,-1.64975,0.23893,0.46563,0.91563,4.13284
0.71703,0.58656,2.45396,-1.62606,0.23022,0.45938,0.92188,4.22425
0.81766,0.58217,2.35343,-1.60325,0.22276,0.45313,0.92188,4.31241
0.91809,0.58004,2.25303,-1.58130,0.21562,0.45313,0.92188,4.39750
1.01836,0.58006,2.15276,-1.56021,0.20039,0.45313,0.92188,4.47984
1.11853,0.58216,2.05261,-1.54081,0.21963,0.45313,0.92188,4.56181
1.21859,0.58606,1.95263,-1.53067,0.00813,0.45938,0.92188,4.63435
1.31853,0.59018,1.85277,-1.53535,-0.12397,0.45938,0.91563,4.72374
1.41835,0.59314,1.75300,-1.55016,-0.20358,0.44063,0.90938,4.81085
1.51802,0.59430,1.65334,-1.56583,-0.15125,0.44063,0.90938,4.88433
1.61756,0.59413,1.55380,-1.57340,0.01143,0.44063,0.90938,4.96035
1.71708,0.59378,1.45428,-1.57449,-0.00836,0.44063,0.90938,5.04185
1.81660,0.59340,1.35476,-1.57459,0.00385,0.44063,0.90938,5.12164
1.91611,0.59302,1.25525,-1.57455,-0.00105,0.44063,0.90938,5.19976
2.01562,0.59265,1.15575,-1.57457,-0.00025,0.44063,0.90016,5.27633
2.11513,0.59227,1.05624,-1.57461,-0.00038,0.44063,0.88438,5.35141
2.21462,0.59189,0.95675,-1.57464,-0.00008,0.44063,0.88438,5.42507
2.31412,0.59151,0.85725,-1.57466,-0.00049,0.45075,0.89062,5.49738
2.41362,0.59112,0.75775,-1.57468,0.00021,0.45938,0.89062,5.56840
2.51312,0.59074,0.65824,-1.57469,-0.00034,0.45938,0.89062,5.63819
2.61263,0.59035,0.55874,-1.57470,-0.00006,0.45938,0.89062,5.70679
2.71211,0.58996,0.45926,-1.57471,-0.00009,0.45938,0.89062,5.77424
2.81161,0.58957,0.35976,-1.57472,-0.00014,0.45938,0.89062,5.84061
2.91113,0.58918,0.26024,-1.57473,0.00010,0.45938,0.89062,5.90593
3.01062,0.58879,0.16075,-1.57474,-0.00030,0.45938,0.89062,5.97023
3.11012,0.58839,0.06125,-1.57475,-0.00009,0.45938,0.89062,6.03357
3.20965,0.58800,-0.03828,-1.57476,0.00011,0.45938,0.89062,6.09597
3.30916,0.58761,-0.13778,-1.57477,-0.00038,0.45938,0.89062,6.15746
3.40866,0.58721,-0.23729,-1.57478,0.00019,0.45938,0.89062,6.21807
3.50817,0.58681,-0.33680,-1.57479,-0.00037,0.45938,0.89062,6.27783
3.60770,0.58642,-0.43633,-1.57480,0.00014,0.45938,0.89062,6.33679
3.70723,0.58602,-0.53586,-1.57480,-0.00019,0.45938,0.89062,6.39495
3.80675,0.58562,-0.63538,-1.57481,-0.00001,0.45938,0.89062,6.45234
3.90630,0.58522,-0.73492,-1.57482,-0.00034,0.45313,0.89687,6.50900
4.00583,0.58482,-0.83446,-1.57483,0.00013,0.45313,0.89687,6.56493
4.10538,0.58442,-0.93400,-1.57484,-0.00016,0.45313,0.89687,6.62016
