# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.66218,3.16464,-1.84844,0.32853,0.54541,0.85459,3.54244
0.10599,0.63491,3.06222,-1.81453,0.31233,0.51814,0.88186,3.65852
0.21113,0.61124,2.95979,-1.78246,0.29812,0.49063,0.90554,3.76827
0.31504,0.59100,2.85786,-1.75210,0.28504,0.47188,0.92578,3.87198
0.41788,0.57396,2.75646,-1.72328,0.27385,0.44688,0.94063,3.97050
0.52003,0.55987,2.65529,-1.69578,0.26380,0.43438,0.95312,4.06456
0.62168,0.54856,2.55427,-1.66943,0.25415,0.42188,0.95937,4.15468
0.72293,0.53989,2.45339,-1.64410,0.24576,0.40938,0.96562,4.24140
0.82385,0.53375,2.35267,-1.61968,0.23791,0.40313,0.97188,4.32493
0.92448,0.53004,2.25210,-1.59609,0.23025,0.40313,0.97188,4.40556
1.02492,0.52867,2.15168,-1.57326,0.22537,0.39688,0.97813,4.48369
1.12519,0.52955,2.05141,-1.55114,0.21094,0.40313,0.97188,4.55885
1.22532,0.53261,1.95133,-1.53024,0.23525,0.40313,0.97188,4.63415
1.32532,0.53766,1.85146,-1.51804,0.04801,0.40938,0.96562,4.69734
1.42518,0.54315,1.75175,-1.52258,-0.16508,0.39063,0.95937,4.77572
1.52483,0.54728,1.65219,-1.53898,-0.19780,0.39063,0.95937,4.85223
1.62428,0.54948,1.55276,-1.55773,-0.20918,0.39688,0.95312,4.92698
1.72371,0.54988,1.45333,-1.57053,-0.06071,0.39688,0.95312,4.98935
1.82318,0.54953,1.35387,-1.57471,0.00182,0.39688,0.95312,5.06135
1.92262,0.54910,1.25443,-1.57513,0.00000,0.39688,0.95312,5.13195
2.02206,0.54867,1.15499,-1.57506,0.00122,0.39688,0.94405,5.20122
2.12151,0.54825,1.05554,-1.57504,-0.00063,0.39688,0.92812,5.26923
2.22094,0.54783,0.95611,-1.57506,0.00004,0.39063,0.93437,5.33601
2.32038,0.54741,0.85667,-1.57507,-0.00009,0.40681,0.93437,5.40164
2.41982,0.54698,0.75723,-1.57508,-0.00032,0.41563,0.93437,5.46615
2.51926,0.54655,0.65779,-1.57509,0.00017,0.41563,0.93437,5.52960
2.61871,0.54613,0.55834,-1.57510,-0.00034,0.41563,0.93437,5.59202
2.71813,0.54570,0.45892,-1.57512,-0.00008,0.41563,0.93437,5.65344
2.81758,0.54527,0.35948,-1.57512,0.00013,0.41563,0.93437,5.71391
2.91704,0.54484,0.26001,-1.57513,-0.00039,0.41563,0.93437,5.77349
3.01648,0.54441,0.16058,-1.57514,0.00014,0.41563,0.93437,5.83216
3.11592,0.54397,0.06114,-1.57514,-0.00014,0.41563,0.93437,5.88998
3.21539,0.54354,-0.03834,-1.57515,-0.00010,0.41563,0.93437,5.94699
3.31485,0.54311,-0.13779,-1.57517,-0.00011,0.41563,0.93437,6.00319
3.41430,0.54267,-0.23724,-1.57518,-0.00009,0.41563,0.93437,6.05862
3.51376,0.54224,-0.33670,-1.57518,-0.00014,0.41563,0.93437,6.11330
3.61324,0.54180,-0.43618,-1.57519,0.00013,0.41563,0.93437,6.16726
3.71271,0.54136,-0.53565,-1.57520,-0.00038,0.40938,0.94063,6.22053
3.81218,0.54092,-0.63512,-1.57521,0.00016,0.40938,0.94063,6.27310
3.91168,0.54048,-0.73462,-1.57521,-0.00018,0.40938,0.94063,6.32503
4.01117,0.54004,-0.83410,-1.57522,-0.00007,0.40938,0.94063,6.37631
4.11067,0.53960,-0.93360,-1.57523,-0.00010,0.40938,0.94063,6.42696
4.21017,0.53916,-1.03310,-1.57524,-0.00010,0.40938,0.94063,6.47701
4.30967,0.53872,-1.13261,-1.57525,-0.00009,0.40938,0.94063,6.52648
4.40919,0.53827,-1.23212,-1.57526,-0.00010,0.40938,0.94063,6.57537
4.50872,0.53783,-1.33165,-1.57527,-0.00011,0.40938,0.94063,6.62370
4.60824,0.53738,-1.43117,-1.57528,-0.00010,0.40938,0.94063,6.67148
4.70778,0.53694,-1.53070,-1.57529,-0.00008,0.40938,0.94063,6.71874
4.80733,0.53649,-1.63025,-1.57530,-0.00013,0.40938,0.94063,6.76548
4.90685,0.53604,-1.72978,-1.57531,-0.00008,0.40938,0.94063,6.81171
5.00641,0.53559,-1.82933,-1.57532,-0.00008,0.40938,0.94063,6.85745
5.10599,0.53514,-1.92892,-1.57533,-0.00012,0.40313,0.94688,6.90273
5.20556,0.53469,-2.02848,-1.57534,-0.00009,0.40313,0.94688,6.94752
5.30513,0.53423,-2.12805,-1.57535,-0.00009,0.40313,0.94688,6.99186
5.40472,0.53378,-2.22764,-1.57536,-0.00012,0.40313,0.94688,7.03575
5.50430,0.53332,-2.32722,-1.57537,-0.00008,0.40313,0.94688,7.07920
5.60389,0.53287,-2.42681,-1.57538,-0.00011,0.40313,0.94688,7.12222
5.70351,0.53241,-2.52643,-1.57539,-0.00004,0.40313,0.88712,7.16483
5.80313,0.53195,-2.62604,-1.57540,-0.00032,0.40313,0.79727,7.20703
5.90274,0.53149,-2.72566,-1.57541,0.00012,0.40313,0.71003,7.24882
6.00237,0.53103,-2.82529,-1.57542,-0.00011,0.40313,0.62649,7.29023
6.10201,0.53057,-2.92492,-1.57543,-0.00029,0.40313,0.54835,7.33125
6.20166,0.53011,-3.02457,-1.57544,0.00012,0.40313,0.47825,7.37189
6.30132,0.52965,-3.12423,-1.57545,-0.00017,0.40313,0.42026,7.41217
6.40096,0.52918,-3.22387,-1.57546,-0.00007,0.39688,0.37998,7.45207
6.50062,0.52872,-3.32353,-1.57547,-0.00009,0.39688,0.35313,7.49163
6.60030,0.52825,-3.42321,-1.57548,-0.00010,0.39688,0.36855,7.53084
6.69998,0.52778,-3.52289,-1.57549,-0.00015,0.39688,0.39776,7.56971
6.79966,0.52732,-3.62257,-1.57549,0.00013,0.39688,0.44773,7.60824
6.89936,0.52685,-3.72227,-1.57550,-0.00033,0.39688,0.51245,7.64645
6.99906,0.52638,-3.82196,-1.57552,-0.00005,0.39688,0.58704,7.68433
