# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.68424,3.16282,-1.82025,0.33638,0.56747,0.83253,3.61987
0.10470,0.66019,3.06093,-1.78603,0.31858,0.54063,0.85658,3.74848
0.20869,0.63968,2.95898,-1.75368,0.30359,0.52187,0.87710,3.86958
0.31167,0.62255,2.85744,-1.72303,0.29072,0.49688,0.89062,3.98352
0.41376,0.60859,2.75631,-1.69389,0.27879,0.48438,0.90312,4.09110
0.51530,0.59756,2.65538,-1.66608,0.26808,0.47188,0.90938,4.19346
0.61643,0.58931,2.55459,-1.63943,0.25828,0.45938,0.91563,4.29124
0.71725,0.58371,2.45393,-1.61379,0.25079,0.45313,0.92188,4.38498
0.81782,0.58065,2.35341,-1.58907,0.23724,0.45313,0.92188,4.47449
0.91820,0.58004,2.25303,-1.56546,0.24999,0.45313,0.92188,4.56278
1.01845,0.58172,2.15279,-1.54750,0.13514,0.45313,0.92188,4.63935
1.11862,0.58471,2.05267,-1.54041,-0.01482,0.45313,0.92188,4.74717
1.21867,0.58781,1.95267,-1.54026,-0.00258,0.45938,0.91563,4.85561
1.31860,0.59081,1.85279,-1.54403,-0.03032,0.45938,0.91563,4.96095
1.41841,0.59315,1.75300,-1.55695,-0.27462,0.44063,0.90938,5.04873
1.51809,0.59357,1.65332,-1.56979,-0.02635,0.44063,0.90938,5.02857
1.61764,0.59335,1.55378,-1.57354,-0.00976,0.44063,0.90938,5.12906
1.71715,0.59303,1.45427,-1.57405,0.00294,0.44063,0.90938,5.22707
1.81667,0.59271,1.35474,-1.57402,-0.00016,0.44063,0.90938,5.32278
1.91618,0.59239,1.25524,-1.57402,-0.00052,0.44063,0.90938,5.41631
2.01568,0.59206,1.15574,-1.57406,-0.00019,0.44063,0.90075,5.50778
2.11519,0.59174,1.05623,-1.57409,-0.00054,0.43438,0.89062,5.59732
2.21468,0.59141,0.95674,-1.57412,-0.00011,0.43438,0.89062,5.68501
2.31418,0.59108,0.85724,-1.57414,-0.00023,0.45032,0.89062,5.77096
2.41368,0.59074,0.75774,-1.57416,-0.00021,0.45938,0.89062,5.85525
2.51318,0.59040,0.65824,-1.57418,-0.00012,0.45938,0.89062,5.93796
2.61268,0.59007,0.55874,-1.57418,0.00010,0.45938,0.89062,6.01917
2.71217,0.58973,0.45926,-1.57419,-0.00031,0.45938,0.89062,6.09891
2.81167,0.58939,0.35976,-1.57421,-0.00002,0.45938,0.89062,6.17728
2.91118,0.58905,0.26024,-1.57422,-0.00020,0.45938,0.89062,6.25435
3.01067,0.58871,0.16075,-1.57422,0.00015,0.45938,0.89062,6.33013
3.11018,0.58837,0.06125,-1.57423,-0.00038,0.45938,0.89062,6.40470
3.20970,0.58803,-0.03828,-1.57424,0.00019,0.45938,0.89062,6.47811
3.30921,0.58768,-0.13778,-1.57425,-0.00040,0.45938,0.89062,6.55039
3.40872,0.58734,-0.23729,-1.57426,0.00019,0.45938,0.89062,6.62158
3.50822,0.58699,-0.33680,-1.57427,-0.00037,0.45938,0.89062,6.69172
3.60776,0.58665,-0.43633,-1.57428,0.00013,0.45938,0.89062,6.76087
3.70729,0.58630,-0.53586,-1.57429,-0.00017,0.45938,0.89062,6.82905
3.80681,0.58595,-0.63538,-1.57430,-0.00007,0.45938,0.89062,6.89627
3.90635,0.58560,-0.73492,-1.57431,-0.00012,0.45938,0.89062,6.96260
4.00589,0.58525,-0.83446,-1.57432,-0.00009,0.45313,0.89687,7.02804
4.10543,0.58490,-0.93400,-1.57433,-0.00010,0.45313,0.89687,7.09264
4.20498,0.58455,-1.03356,-1.57434,-0.00010,0.45313,0.89687,7.15641
4.30454,0.58420,-1.13311,-1.57435,-0.00009,0.45313,0.89687,7.21937
4.40410,0.58384,-1.23267,-1.57436,-0.00010,0.45313,0.89687,7.28157
4.50367,0.58349,-1.33224,-1.57437,-0.00010,0.45313,0.89687,7.34301
4.60325,0.58313,-1.43181,-1.57438,-0.00010,0.45313,0.89687,7.40372
4.70282,0.58278,-1.53139,-1.57439,-0.00009,0.45313,0.89687,7.46371
4.80241,0.58242,-1.63098,-1.57440,-0.00012,0.45313,0.89687,7.52302
4.90199,0.58206,-1.73055,-1.57441,-0.00009,0.45313,0.89687,7.58164
5.00158,0.58170,-1.83015,-1.57442,-0.00009,0.45313,0.89687,7.63962
5.10121,0.58134,-1.92977,-1.57443,-0.00011,0.45313,0.89687,7.69697
5.20082,0.58098,-2.02938,-1.57444,-0.00011,0.45313,0.89687,7.75368
5.30043,0.58061,-2.12899,-1.57445,-0.00003,0.45313,0.89687,7.80979
5.40006,0.58025,-2.22862,-1.57446,-0.00035,0.45313,0.89687,7.86531
5.49968,0.57988,-2.32824,-1.57447,0.00019,0.45313,0.89687,7.92025
5.59931,0.57952,-2.42787,-1.57448,-0.00039,0.45313,0.89687,7.97464
5.69897,0.57915,-2.52753,-1.57449,0.00020,0.44688,0.86821,8.02665
5.79862,0.57878,-2.62718,-1.57450,-0.00040,0.44688,0.77622,8.07522
5.89827,0.57841,-2.72683,-1.57451,0.00019,0.44688,0.68637,8.12312
5.99794,0.57804,-2.82650,-1.57452,-0.00033,0.44688,0.59962,8.17037
6.09761,0.57767,-2.92617,-1.57453,-0.00007,0.44688,0.51755,8.21697
6.19729,0.57730,-3.02585,-1.57454,0.00004,0.44688,0.44274,8.26295
6.29698,0.57692,-3.12554,-1.57454,-0.00009,0.44688,0.37955,8.30831
6.39666,0.57655,-3.22522,-1.57456,-0.00030,0.44688,0.33462,8.35306
6.49635,0.57617,-3.32491,-1.57457,0.00013,0.44688,0.30313,8.39723
6.59606,0.57580,-3.42462,-1.57457,-0.00017,0.44688,0.32202,8.44083
6.69577,0.57542,-3.52433,-1.57458,-0.00007,0.44688,0.35534,8.48385
