# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.68424,3.16282,-1.80262,0.15789,0.55736,0.82390,3.57792
0.10469,0.66019,3.06093,-1.78604,0.23355,0.53366,0.84759,3.71551
0.20868,0.63968,2.95898,-1.75368,0.30435,0.51072,0.86428,3.82581
0.31166,0.62255,2.85744,-1.72303,0.29193,0.49553,0.87947,3.93010
0.41375,0.60859,2.75631,-1.69389,0.28002,0.48238,0.89262,4.02936
0.51528,0.59756,2.65538,-1.66608,0.26892,0.47140,0.90360,4.12449
0.61640,0.58931,2.55459,-1.63943,0.25904,0.46259,0.91241,4.21591
0.71723,0.58371,2.45393,-1.61379,0.25009,0.45597,0.91904,4.30400
0.81779,0.58065,2.35341,-1.58908,0.24061,0.45148,0.92352,4.38949
0.91817,0.58004,2.25303,-1.56546,0.20733,0.44912,0.92588,4.47266
1.01842,0.58172,2.15279,-1.54750,0.12506,0.45506,0.91994,4.56178
1.11858,0.58471,2.05267,-1.54041,0.03619,0.45582,0.91918,4.66574
1.21863,0.58781,1.95267,-1.54026,-0.01813,0.45655,0.91845,4.77563
1.31856,0.59081,1.85279,-1.54404,-0.08349,0.46008,0.91166,4.87767
1.41837,0.59315,1.75300,-1.55695,-0.12909,0.43816,0.91184,4.96802
1.51806,0.59357,1.65332,-1.56979,-0.08336,0.44232,0.91392,5.05616
1.61760,0.59335,1.55378,-1.57354,-0.02141,0.43972,0.91027,5.15000
1.71711,0.59303,1.45427,-1.57405,-0.00238,0.43717,0.91282,5.24711
1.81664,0.59271,1.35474,-1.57402,0.00013,0.44101,0.90898,5.34235
1.91614,0.59239,1.25524,-1.57402,-0.00018,0.43875,0.91124,5.43544
2.01565,0.59206,1.15574,-1.57405,-0.00036,0.43664,0.90133,5.52651
2.11515,0.59174,1.05623,-1.57409,-0.00036,0.43466,0.89033,5.61566
2.21464,0.59141,0.95674,-1.57413,-0.00028,0.43907,0.88592,5.70298
2.31414,0.59108,0.85724,-1.57415,-0.00018,0.44986,0.88762,5.78858
2.41364,0.59074,0.75774,-1.57416,-0.00013,0.46081,0.88919,5.87253
2.51314,0.59040,0.65824,-1.57417,-0.00012,0.45938,0.89062,5.95492
2.61265,0.59007,0.55874,-1.57419,-0.00011,0.45808,0.89192,6.03582
2.71213,0.58973,0.45926,-1.57420,-0.00010,0.46316,0.88684,6.11527
2.81163,0.58939,0.35976,-1.57421,-0.00010,0.46214,0.88786,6.19337
2.91115,0.58905,0.26024,-1.57422,-0.00010,0.46123,0.88877,6.27017
3.01064,0.58871,0.16075,-1.57422,-0.00010,0.46044,0.88956,6.34569
3.11014,0.58837,0.06125,-1.57424,-0.00009,0.45979,0.89021,6.42002
3.20966,0.58803,-0.03828,-1.57424,-0.00009,0.45926,0.89074,6.49319
3.30917,0.58768,-0.13778,-1.57425,-0.00009,0.45883,0.89117,6.56524
3.40868,0.58734,-0.23729,-1.57426,-0.00009,0.45854,0.89146,6.63621
3.50819,0.58699,-0.33680,-1.57427,-0.00009,0.45836,0.89164,6.70614
3.60772,0.58665,-0.43633,-1.57428,-0.00009,0.45831,0.89169,6.77509
3.70725,0.58630,-0.53586,-1.57429,-0.00009,0.45835,0.89165,6.84306
3.80677,0.58595,-0.63538,-1.57430,-0.00009,0.45852,0.89148,6.91010
3.90632,0.58560,-0.73492,-1.57431,-0.00009,0.45879,0.89121,6.97624
4.00585,0.58525,-0.83446,-1.57432,-0.00010,0.45292,0.89708,7.04150
4.10540,0.58490,-0.93400,-1.57433,-0.00010,0.45340,0.89660,7.10592
4.20495,0.58455,-1.03356,-1.57434,-0.00010,0.45399,0.89601,7.16952
4.30450,0.58420,-1.13311,-1.57435,-0.00010,0.45468,0.89532,7.23233
4.40407,0.58384,-1.23267,-1.57436,-0.00010,0.45548,0.89452,7.29436
4.50364,0.58349,-1.33224,-1.57437,-0.00010,0.45637,0.89363,7.35565
4.60321,0.58313,-1.43181,-1.57438,-0.00010,0.45111,0.89889,7.41621
4.70279,0.58278,-1.53139,-1.57439,-0.00010,0.45220,0.89780,7.47606
4.80238,0.58242,-1.63098,-1.57440,-0.00010,0.45337,0.89663,7.53522
4.90195,0.58206,-1.73055,-1.57441,-0.00010,0.45464,0.89536,7.59370
5.00155,0.58170,-1.83015,-1.57442,-0.00010,0.44975,0.90025,7.65155
5.10117,0.58134,-1.92977,-1.57443,-0.00010,0.45120,0.89880,7.70877
5.20078,0.58098,-2.02938,-1.57444,-0.00010,0.45272,0.89728,7.76536
5.30039,0.58061,-2.12899,-1.57445,-0.00010,0.45435,0.90191,7.82134
5.40002,0.58025,-2.22862,-1.57446,-0.00010,0.44979,0.90022,7.87674
5.49964,0.57988,-2.32824,-1.57447,-0.00010,0.45157,0.89844,7.93156
5.59928,0.57952,-2.42787,-1.57448,-0.00010,0.45343,0.90283,7.98583
5.69893,0.57915,-2.52753,-1.57449,-0.00011,0.44911,0.90089,8.03955
5.79859,0.57878,-2.62718,-1.57450,-0.00011,0.45112,0.89888,8.09274
5.89824,0.57841,-2.72683,-1.57451,-0.00011,0.44696,0.81612,8.14541
5.99790,0.57804,-2.82650,-1.57452,-0.00010,0.44911,0.71682,8.19756
6.09757,0.57767,-2.92617,-1.57453,-0.00009,0.45134,0.61867,8.24922
6.19726,0.57730,-3.02585,-1.57454,-0.00009,0.44738,0.52280,8.30040
6.29695,0.57692,-3.12554,-1.57455,-0.00009,0.44974,0.43192,8.35109
6.39663,0.57655,-3.22522,-1.57456,-0.00009,0.44592,0.35436,8.40131
6.49632,0.57617,-3.32491,-1.57456,-0.00009,0.44841,0.30160,8.45108
6.59603,0.57580,-3.42462,-1.57457,-0.00009,0.44472,0.33226,8.50000
6.69574,0.57542,-3.52433,-1.57458,-0.00009,0.44732,0.39617,8.50000
6.79545,0.57504,-3.62404,-1.57459,-0.00009,0.44373,0.47903,8.50000
6.89518,0.57466,-3.72377,-1.57460,-0.00009,0.44645,0.56864,8.50000
6.99490,0.57428,-3.82349,-1.57461,-0.00010,0.44298,0.66114,8.50000
7.09464,0.57390,-3.92322,-1.57462,-0.00011,0.44580,0.75511,8.50000
7.19439,0.57352,-4.02297,-1.57463,-0.00012,0.44244,0.84989,8.50000
7.29413,0.57314,-4.12272,-1.57464,-0.00012,0.44536,0.90465,8.50000
7.39388,0.57275,-4.22246,-1.57465,-0.00012,0.44208,0.90792,8.50000
7.49364,0.57237,-4.32222,-1.57467,-0.00012,0.44509,0.90491,8.50000
7.59341,0.57198,-4.42199,-1.57468,-0.00012,0.44190,0.90811,8.50000
7.69317,0.57159,-4.52175,-1.57469,-0.00012,0.44500,0.91126,8.50000
7.79294,0.57120,-4.62153,-1.57470,-0.00012,0.44188,0.90812,8.50000
7.89273,0.57081,-4.72131,-1.57472,-0.00013,0.43880,0.91119,8.50000
7.99251,0.57042,-4.82109,-1.57473,-0.00013,0.44201,0.90798,8.50000
8.09230,0.57003,-4.92088,-1.57474,-0.00013,0.43899,0.91100,8.50000
8.19210,0.56963,-5.02067,-1.57475,-0.00013,0.44227,0.90772,8.50000
8.29189,0.56924,-5.12047,-1.57477,-0.00013,0.43934,0.91066,8.50000
8.39170,0.56884,-5.22028,-1.57478,-0.00013,0.44267,0.91359,8.50000
8.49151,0.56844,-5.32008,-1.57479,-0.00013,0.43976,0.91024,8.50000
8.59131,0.56804,-5.41989,-1.57481,-0.00013,0.43689,0.91311,8.50000
8.69112,0.56764,-5.51970,-1.57482,-0.00013,0.44029,0.90970,8.50000
8.79094,0.56724,-5.61951,-1.57483,-0.00013,0.43748,0.91253,8.50000
8.89077,0.56684,-5.71934,-1.57485,-0.00013,0.44091,0.91533,8.50000
8.99059,0.56643,-5.81916,-1.57486,-0.00013,0.43813,0.91187,8.50000
9.09042,0.56603,-5.91899,-1.57487,-0.00011,0.43536,0.91464,8.50000
9.19025,0.56562,-6.01882,-1.57488,-0.00001,0.43884,0.91742,8.50000
9.29009,0.56521,-6.11865,-1.57487,0.00008,0.43609,0.91392,8.50000
9.38992,0.56481,-6.21849,-1.57486,-0.00001,0.43335,0.91665,8.50000
9.48976,0.56440,-6.31833,-1.57488,-0.00011,0.43687,0.91313,8.50000
9.58961,0.56399,-6.41817,-1.57489,-0.00013,0.43414,0.91585,8.50000
9.68944,0.56358,-6.51801,-1.57490,-0.00014,0.43767,0.91856,8.50000
9.78929,0.56317,-6.61785,-1.57492,-0.00014,0.43496,0.91503,8.50000
9.88913,0.56276,-6.71769,-1.57493,-0.00014,0.43226,0.91774,8.50000
9.98898,0.56234,-6.81754,-1.57494,-0.00014,0.43579,0.92047,8.50000
10.08883,0.56193,-6.91739,-1.57496,-0.00015,0.43306,0.91694,8.50000
10.18867,0.56151,-7.01724,-1.57497,-0.00015,0.43034,0.91967,8.50000
10.28853,0.56110,-7.11709,-1.57499,-0.00015,0.43386,0.91615,8.50000
10.38837,0.56068,-7.21693,-1.57500,-0.00015,0.43112,0.91889,8.50000
10.48823,0.56026,-7.31679,-1.57502,-0.00010,0.42836,0.92164,8.50000
10.58808,0.55983,-7.41664,-1.57502,0.00000,0.43185,0.91815,8.50000
10.68794,0.55941,-7.51649,-1.57502,0.00012,0.42907,0.92092,8.50000
10.78779,0.55899,-7.61634,-1.57500,-0.00085,0.43253,0.92373,8.50000
10.88763,0.55857,-7.71618,-1.57519,-0.00547,0.42972,0.92029,8.50000
10.98748,0.55811,-7.81603,-1.57609,-0.02178,0.42687,0.92314,8.50000
11.08732,0.55751,-7.91587,-1.57954,-0.04346,0.43009,0.91992,8.50000
11.18716,0.55637,-8.01570,-1.58477,-0.03943,0.42650,0.92351,8.50000
11.28697,0.55473,-8.11550,-1.58741,-0.01451,0.42863,0.92762,8.50000
11.38678,0.55305,-8.21530,-1.58767,-0.00241,0.42446,0.92554,8.50000
11.48660,0.55136,-8.31510,-1.58789,-0.00218,0.42024,0.92976,8.50000
11.58640,0.54964,-8.41489,-1.58810,-0.00211,0.42221,0.92779,8.50000
11.68622,0.54790,-8.51469,-1.58831,-0.00210,0.41790,0.93211,8.50000
11.78603,0.54614,-8.61449,-1.58852,-0.00211,0.41977,0.93649,8.50000
