# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.70431,3.16117,-1.80724,0.27326,0.58754,0.81246,3.56251
0.10387,0.68145,3.05985,-1.77926,0.25949,0.56469,0.83532,3.74273
0.20731,0.66141,2.95837,-1.75306,0.24807,0.54063,0.85537,3.89799
0.31001,0.64409,2.85715,-1.72837,0.23252,0.52187,0.87187,4.04345
0.41202,0.62929,2.75622,-1.70512,0.22124,0.50312,0.88438,4.17952
0.51358,0.61683,2.65543,-1.68298,0.21469,0.49063,0.89062,4.30345
0.61480,0.60659,2.55473,-1.66189,0.20174,0.47813,0.90312,4.41714
0.71575,0.59844,2.45411,-1.64177,0.19623,0.47188,0.90938,4.52310
0.81646,0.59229,2.35359,-1.62246,0.18656,0.46563,0.91563,4.62154
0.91696,0.58805,2.25318,-1.60382,0.18497,0.45938,0.91563,4.71451
1.01730,0.58566,2.15287,-1.58586,0.17176,0.45938,0.91563,4.80396
1.11749,0.58503,2.05268,-1.56860,0.17725,0.45313,0.92188,4.89319
1.21755,0.58610,1.95263,-1.55184,0.13688,0.45938,0.91563,4.98010
1.31748,0.58882,1.85274,-1.53560,0.26713,0.45938,0.91563,5.07373
1.41731,0.59313,1.75300,-1.53440,-0.24667,0.44063,0.90938,5.13121
1.51698,0.59608,1.65338,-1.54785,-0.09773,0.44063,0.90938,5.19785
1.61649,0.59770,1.55388,-1.56115,-0.16510,0.44063,0.90938,5.29870
1.71600,0.59800,1.45437,-1.57055,-0.04168,0.44063,0.90938,5.38904
1.81552,0.59775,1.35485,-1.57371,-0.00143,0.44063,0.90938,5.49345
1.91503,0.59742,1.25534,-1.57416,-0.00109,0.44063,0.90568,5.59894
2.01455,0.59708,1.15582,-1.57421,-0.00026,0.44063,0.89574,5.70158
2.11406,0.59674,1.05631,-1.57416,0.00212,0.44063,0.88438,5.80245
2.21356,0.59641,0.95681,-1.57416,-0.00218,0.44063,0.88438,5.89962
2.31308,0.59607,0.85730,-1.57421,0.00057,0.45530,0.88438,5.99218
2.41258,0.59573,0.75780,-1.57421,-0.00011,0.46563,0.88438,6.08120
2.51209,0.59539,0.65829,-1.57421,-0.00012,0.46563,0.88438,6.16575
2.61160,0.59505,0.55878,-1.57421,0.00060,0.46563,0.88438,6.24688
2.71109,0.59471,0.45929,-1.57426,-0.00232,0.46563,0.88438,6.32363
2.81059,0.59436,0.35979,-1.57426,0.00266,0.46563,0.88438,6.39809
2.91011,0.59402,0.26027,-1.57426,-0.00220,0.46563,0.88438,6.47029
3.00961,0.59367,0.16077,-1.57431,0.00004,0.46563,0.88438,6.54128
3.10912,0.59332,0.06126,-1.57426,0.00205,0.46563,0.88438,6.61110
3.20865,0.59298,-0.03827,-1.57426,-0.00215,0.46563,0.88438,6.67980
3.30816,0.59263,-0.13778,-1.57431,0.00044,0.46563,0.88438,6.74840
3.40768,0.59228,-0.23730,-1.57431,0.00041,0.46563,0.88438,6.81596
3.50719,0.59193,-0.33681,-1.57436,-0.00211,0.46563,0.88438,6.88349
3.60673,0.59157,-0.43635,-1.57436,0.00203,0.45938,0.89062,6.95004
3.70626,0.59122,-0.53588,-1.57431,0.00003,0.45938,0.89062,7.01463
3.80579,0.59087,-0.63541,-1.57436,-0.00216,0.45938,0.89062,7.07930
3.90534,0.59051,-0.73496,-1.57436,0.00259,0.45938,0.89062,7.14207
4.00489,0.59016,-0.83450,-1.57436,-0.00216,0.45938,0.89062,7.20296
4.10444,0.58980,-0.93405,-1.57441,0.00002,0.45938,0.89062,7.26301
4.20399,0.58944,-1.03360,-1.57436,0.00210,0.45938,0.89062,7.32124
4.30355,0.58909,-1.13316,-1.57436,-0.00232,0.45938,0.89062,7.37766
4.40312,0.58873,-1.23273,-1.57441,0.00117,0.45938,0.89062,7.43330
4.50270,0.58837,-1.33231,-1.57446,-0.00233,0.45938,0.89062,7.48719
4.60227,0.58800,-1.43188,-1.57446,0.00209,0.45938,0.89062,7.54133
4.70185,0.58764,-1.53146,-1.57441,0.00004,0.45938,0.89062,7.59476
4.80145,0.58728,-1.63106,-1.57446,-0.00221,0.45938,0.89062,7.64949
4.90102,0.58691,-1.73063,-1.57446,0.00267,0.45938,0.89062,7.70451
5.00063,0.58655,-1.83024,-1.57446,-0.00233,0.45938,0.89062,7.75988
5.10025,0.58618,-1.92986,-1.57451,0.00063,0.45938,0.89062,7.81660
5.19987,0.58581,-2.02948,-1.57451,-0.00017,0.45938,0.89062,7.87469
5.29948,0.58544,-2.12909,-1.57451,0.00005,0.45313,0.89687,7.93315
5.39911,0.58507,-2.22872,-1.57451,0.00002,0.45313,0.89687,7.99201
5.49874,0.58470,-2.32834,-1.57451,-0.00015,0.45313,0.89687,8.05027
5.59838,0.58433,-2.42798,-1.57451,0.00063,0.45313,0.89687,8.10895
5.69804,0.58396,-2.52764,-1.57456,-0.00234,0.45313,0.86638,8.16606
5.79770,0.58358,-2.62730,-1.57456,0.00267,0.45313,0.77419,8.22261
5.89735,0.58321,-2.72695,-1.57456,-0.00232,0.45313,0.68409,8.27761
5.99702,0.58283,-2.82662,-1.57461,0.00062,0.45313,0.59703,8.33108
6.09669,0.58245,-2.92629,-1.57461,-0.00015,0.45313,0.51456,8.38303
6.19638,0.58207,-3.02598,-1.57461,0.00005,0.45313,0.43927,8.43248
6.29607,0.58169,-3.12567,-1.57461,-0.00003,0.45313,0.37553,8.48142
6.39575,0.58131,-3.22535,-1.57461,0.00005,0.45313,0.33010,8.52887
6.49544,0.58093,-3.32504,-1.57461,-0.00015,0.45313,0.29688,8.57584
6.59516,0.58055,-3.42476,-1.57461,0.00062,0.45313,0.31739,8.62334
6.69487,0.58017,-3.52447,-1.57466,-0.00237,0.45313,0.35118,8.67137
6.79459,0.57978,-3.62419,-1.57466,0.00284,0.45313,0.40721,8.71994
6.89433,0.57940,-3.72392,-1.57466,-0.00294,0.45313,0.47770,8.77005
6.99405,0.57901,-3.82364,-1.57466,0.00285,0.44688,0.55720,8.81972
7.09379,0.57863,-3.92338,-1.57466,-0.00237,0.44688,0.64237,8.87097
7.19354,0.57824,-4.02313,-1.57471,0.00062,0.44688,0.73125,8.92180
7.29328,0.57785,-4.12287,-1.57471,-0.00013,0.44688,0.82262,8.97222
7.39303,0.57746,-4.22262,-1.57471,-0.00007,0.44688,0.90312,9.02024
7.49279,0.57707,-4.32238,-1.57471,0.00042,0.44688,0.90312,9.06686
7.59256,0.57668,-4.42215,-1.57476,-0.00159,0.44688,0.90312,9.11108
7.69232,0.57628,-4.52191,-1.57481,-0.00011,0.44688,0.90312,9.15291
7.79210,0.57588,-4.62169,-1.57476,0.00207,0.44688,0.90312,9.19237
7.89188,0.57549,-4.72147,-1.57475,-0.00216,0.44688,0.90312,9.23244
7.99167,0.57509,-4.82126,-1.57480,0.00057,0.44688,0.90312,9.27214
8.09146,0.57469,-4.92105,-1.57480,-0.00012,0.44688,0.90312,9.31150
8.19127,0.57429,-5.02085,-1.57480,-0.00008,0.44688,0.90312,9.34850
8.29106,0.57389,-5.12064,-1.57480,0.00043,0.44688,0.90312,9.38114
8.39087,0.57349,-5.22045,-1.57485,-0.00158,0.44688,0.90312,9.40844
8.49068,0.57308,-5.32026,-1.57490,-0.00014,0.44688,0.90312,9.43140
8.59048,0.57267,-5.42006,-1.57485,0.00213,0.44063,0.90938,9.45002
8.69029,0.57227,-5.51987,-1.57485,-0.00232,0.44063,0.90938,9.46331
8.79011,0.57186,-5.61969,-1.57490,0.00117,0.44063,0.90938,9.47327
8.88994,0.57145,-5.71952,-1.57495,-0.00233,0.44063,0.90938,9.47892
8.98976,0.57103,-5.81934,-1.57495,0.00209,0.44063,0.90938,9.48325
9.08959,0.57062,-5.91917,-1.57490,0.00002,0.44063,0.90938,9.48627
9.18942,0.57021,-6.01900,-1.57495,-0.00217,0.44063,0.90938,9.48799
9.28925,0.56979,-6.11883,-1.57495,0.00262,0.44063,0.90938,9.49041
9.38910,0.56938,-6.21867,-1.57495,-0.00228,0.44063,0.90938,9.49252
9.48894,0.56896,-6.31851,-1.57500,0.00047,0.44063,0.90938,9.49534
9.58878,0.56854,-6.41835,-1.57500,0.00040,0.44063,0.90938,9.49789
9.68861,0.56812,-6.51818,-1.57505,-0.00211,0.44063,0.90938,9.50116
9.78846,0.56769,-6.61803,-1.57505,0.00205,0.44063,0.90938,9.50313
9.88830,0.56727,-6.71787,-1.57500,-0.00011,0.44063,0.90938,9.50483
9.98815,0.56685,-6.81772,-1.57505,-0.00158,0.44063,0.90938,9.50628
