# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.70431,3.16117,-1.80724,0.27062,0.58755,0.81246,3.60513
0.10387,0.68145,3.05985,-1.77926,0.26227,0.56469,0.83533,3.75070
0.20731,0.66141,2.95837,-1.75306,0.24566,0.54063,0.85536,3.88668
0.31001,0.64409,2.85715,-1.72840,0.23349,0.52187,0.87187,4.01588
0.41201,0.62929,2.75622,-1.70511,0.22217,0.50312,0.88438,4.13852
0.51358,0.61683,2.65543,-1.68300,0.21255,0.49063,0.89062,4.25570
0.61480,0.60659,2.55473,-1.66192,0.20342,0.47813,0.90312,4.36793
0.71575,0.59844,2.45411,-1.64177,0.19553,0.47188,0.90938,4.47584
0.81646,0.59229,2.35359,-1.62243,0.18817,0.46563,0.91563,4.57970
0.91696,0.58805,2.25318,-1.60382,0.18225,0.45938,0.91563,4.67994
1.01729,0.58566,2.15287,-1.58589,0.17338,0.45938,0.91563,4.77661
1.11749,0.58503,2.05268,-1.56858,0.17772,0.45313,0.92188,4.87104
1.21755,0.58610,1.95263,-1.55183,0.13575,0.45938,0.91563,4.95936
1.31748,0.58882,1.85274,-1.53560,0.26812,0.45938,0.91563,5.05580
1.41731,0.59313,1.75300,-1.53441,-0.24810,0.44063,0.90938,5.06384
1.51697,0.59608,1.65338,-1.54784,-0.09560,0.44063,0.90938,5.09902
1.61649,0.59770,1.55388,-1.56114,-0.16735,0.44063,0.90938,5.19775
1.71600,0.59800,1.45437,-1.57055,-0.03963,0.44063,0.90938,5.27437
1.81552,0.59775,1.35485,-1.57373,-0.00371,0.44063,0.90938,5.36901
1.91504,0.59742,1.25534,-1.57418,0.00055,0.44063,0.90569,5.46152
2.01455,0.59708,1.15582,-1.57418,0.00031,0.44063,0.89574,5.55203
2.11406,0.59674,1.05631,-1.57416,0.00003,0.44063,0.88438,5.64067
2.21356,0.59641,0.95681,-1.57418,-0.00047,0.44063,0.88438,5.72749
2.31307,0.59607,0.85730,-1.57420,0.00005,0.45530,0.88438,5.81262
2.41257,0.59573,0.75780,-1.57421,-0.00036,0.46563,0.88438,5.89613
2.51208,0.59539,0.65829,-1.57422,0.00018,0.46563,0.88438,5.97809
2.61159,0.59505,0.55878,-1.57423,-0.00035,0.46563,0.88438,6.05858
2.71108,0.59471,0.45929,-1.57425,-0.00003,0.46563,0.88438,6.13764
2.81059,0.59436,0.35979,-1.57426,-0.00011,0.46563,0.88438,6.21537
2.91011,0.59402,0.26027,-1.57427,-0.00012,0.46563,0.88438,6.29181
3.00961,0.59367,0.16077,-1.57428,-0.00008,0.46563,0.88438,6.36699
3.10912,0.59332,0.06126,-1.57429,-0.00015,0.46563,0.88438,6.44098
3.20865,0.59298,-0.03827,-1.57429,0.00010,0.46563,0.88438,6.51384
3.30816,0.59263,-0.13778,-1.57430,-0.00030,0.46563,0.88438,6.58558
3.40767,0.59228,-0.23730,-1.57432,-0.00011,0.46563,0.88438,6.65625
3.50719,0.59193,-0.33681,-1.57432,0.00013,0.46563,0.88438,6.72590
3.60673,0.59157,-0.43635,-1.57433,-0.00038,0.45938,0.89062,6.79457
3.70626,0.59122,-0.53588,-1.57434,0.00019,0.45938,0.89062,6.86228
3.80579,0.59087,-0.63541,-1.57435,-0.00039,0.45938,0.89062,6.92905
3.90534,0.59051,-0.73496,-1.57436,0.00019,0.45938,0.89062,6.99495
4.00488,0.59016,-0.83450,-1.57437,-0.00040,0.45938,0.89062,7.05997
4.10443,0.58980,-0.93405,-1.57438,0.00020,0.45938,0.89062,7.12416
4.20399,0.58944,-1.03360,-1.57439,-0.00040,0.45938,0.89062,7.18753
4.30355,0.58909,-1.13316,-1.57440,0.00021,0.45938,0.89062,7.25011
4.40312,0.58873,-1.23273,-1.57441,-0.00040,0.45938,0.89062,7.31193
4.50269,0.58837,-1.33231,-1.57442,0.00018,0.45938,0.89062,7.37301
4.60227,0.58800,-1.43188,-1.57443,-0.00032,0.45938,0.89062,7.43337
4.70185,0.58764,-1.53146,-1.57445,-0.00008,0.45938,0.89062,7.49302
4.80144,0.58728,-1.63106,-1.57445,0.00009,0.45938,0.89062,7.55200
4.90102,0.58691,-1.73063,-1.57446,-0.00030,0.45938,0.89062,7.61029
5.00063,0.58655,-1.83024,-1.57448,-0.00003,0.45938,0.89062,7.66795
5.10025,0.58618,-1.92986,-1.57449,-0.00013,0.45938,0.89062,7.72500
5.19987,0.58581,-2.02948,-1.57450,-0.00011,0.45938,0.89062,7.78141
5.29948,0.58544,-2.12909,-1.57451,-0.00003,0.45313,0.89687,7.83723
5.39911,0.58507,-2.22872,-1.57452,-0.00033,0.45313,0.89687,7.89247
5.49874,0.58470,-2.32834,-1.57453,0.00011,0.45313,0.89687,7.94713
5.59838,0.58433,-2.42798,-1.57453,-0.00009,0.45313,0.89687,8.00124
5.69803,0.58396,-2.52764,-1.57455,-0.00031,0.45313,0.86639,8.05481
5.79769,0.58358,-2.62730,-1.57456,0.00015,0.45313,0.77419,8.10785
5.89735,0.58321,-2.72695,-1.57457,-0.00030,0.45313,0.68409,8.16037
5.99702,0.58283,-2.82662,-1.57458,-0.00011,0.45313,0.59703,8.21238
6.09669,0.58245,-2.92629,-1.57459,0.00013,0.45313,0.51456,8.26390
6.19638,0.58207,-3.02598,-1.57460,-0.00038,0.45313,0.43927,8.31494
6.29607,0.58169,-3.12567,-1.57461,0.00018,0.45313,0.37552,8.36550
6.39575,0.58131,-3.22535,-1.57462,-0.00038,0.45313,0.33009,8.41559
6.49544,0.58093,-3.32504,-1.57463,0.00017,0.45313,0.29688,8.46523
6.59516,0.58055,-3.42476,-1.57463,-0.00023,0.45313,0.31739,8.51443
6.69487,0.58017,-3.52447,-1.57464,0.00014,0.45313,0.35118,8.56319
6.79459,0.57978,-3.62419,-1.57465,-0.00032,0.45313,0.40720,8.61152
6.89432,0.57940,-3.72392,-1.57466,-0.00005,0.45313,0.47770,8.65944
6.99404,0.57901,-3.82364,-1.57467,-0.00011,0.44688,0.55720,8.70694
7.09378,0.57863,-3.92338,-1.57468,-0.00008,0.44688,0.64237,8.75404
7.19353,0.57824,-4.02313,-1.57469,-0.00012,0.44688,0.73125,8.80075
7.29328,0.57785,-4.12287,-1.57470,-0.00004,0.44688,0.82263,8.84707
7.39303,0.57746,-4.22262,-1.57472,-0.00033,0.44688,0.90312,8.89300
7.49279,0.57707,-4.32238,-1.57473,0.00016,0.44688,0.90312,8.93857
7.59256,0.57668,-4.42215,-1.57474,-0.00028,0.44688,0.90312,8.98377
7.69232,0.57628,-4.52191,-1.57476,-0.00026,0.44688,0.90312,9.02698
7.79210,0.57588,-4.62169,-1.57476,0.00015,0.44688,0.90312,9.06650
7.89189,0.57549,-4.72147,-1.57477,-0.00034,0.44688,0.90312,9.10556
7.99167,0.57509,-4.82126,-1.57479,0.00001,0.44688,0.90312,9.14419
8.09146,0.57469,-4.92105,-1.57480,-0.00030,0.44688,0.90312,9.18238
8.19126,0.57429,-5.02085,-1.57482,-0.00002,0.44688,0.90312,9.22014
8.29105,0.57389,-5.12064,-1.57483,-0.00023,0.44688,0.90312,9.25748
8.39087,0.57349,-5.22045,-1.57485,-0.00022,0.44688,0.90312,9.29441
8.49067,0.57308,-5.32026,-1.57487,-0.00012,0.44688,0.90312,9.33093
8.59048,0.57267,-5.42006,-1.57487,0.00011,0.44063,0.90938,9.36705
8.69029,0.57227,-5.51987,-1.57488,-0.00031,0.44063,0.90938,9.40278
8.79011,0.57186,-5.61969,-1.57490,-0.00005,0.44063,0.90938,9.43812
