# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
# ellipse a_lat 8.75 lat_zones [16.5:21.0:8.0,36.0:38.5:6.5,39.0:41.0:5.3,41.0:43.4:8.0] a_long 7.0 a_brake 5.5 v_max 9.5 -> 8.274 s
0.00000,0.64260,3.16155,-1.81201,0.12271,0.51640,0.86486,3.74980
0.10715,0.61701,3.05750,-1.79875,0.18222,0.49126,0.88999,3.90689
0.21252,0.59458,2.95454,-1.77298,0.23808,0.46629,0.90871,4.04476
0.31629,0.57501,2.85263,-1.74903,0.22559,0.44853,0.92647,4.17477
0.41872,0.55802,2.75162,-1.72657,0.21435,0.43220,0.94280,4.29814
0.52037,0.54335,2.65104,-1.70538,0.20405,0.41745,0.95754,4.41621
0.62150,0.53082,2.55069,-1.68524,0.19512,0.40426,0.97074,4.52968
0.72225,0.52030,2.45049,-1.66602,0.18720,0.39264,0.98236,4.63906
0.82269,0.51169,2.35042,-1.64760,0.18011,0.38255,0.99245,4.74474
0.92289,0.50490,2.25045,-1.62990,0.17361,0.37398,1.00102,4.84707
1.02298,0.49986,2.15049,-1.61284,0.16758,0.37318,1.00182,4.94641
1.12300,0.49649,2.05053,-1.59637,0.16212,0.36758,1.00741,5.04301
1.22295,0.49475,1.95059,-1.58042,0.15714,0.36347,1.01153,5.13701
1.32288,0.49457,1.85065,-1.56497,0.15214,0.36381,1.00792,5.22872
1.42289,0.49591,1.75066,-1.54998,0.14773,0.34090,1.00910,5.31828
1.52259,0.49872,1.65100,-1.53544,0.07655,0.34744,1.00880,5.40564
1.62200,0.50295,1.55168,-1.53478,-0.06155,0.34930,1.00069,5.50210
1.72134,0.50588,1.45238,-1.54767,-0.12863,0.35000,0.99999,5.58663
1.82075,0.50755,1.35298,-1.56035,-0.11872,0.35584,0.99415,5.66955
1.92015,0.50796,1.25359,-1.57128,-0.08368,0.35431,0.99568,5.75225
2.01954,0.50745,1.15419,-1.57698,-0.03545,0.35202,0.98595,5.83919
2.11894,0.50673,1.05480,-1.57833,-0.00834,0.34964,0.97535,5.92937
2.21831,0.50595,0.95543,-1.57864,-0.00186,0.35361,0.97139,6.01882
2.31770,0.50517,0.85604,-1.57870,-0.00041,0.36395,0.97353,6.10664
2.41709,0.50438,0.75666,-1.57872,-0.00024,0.37444,0.97556,6.19282
2.51647,0.50360,0.65728,-1.57874,-0.00025,0.37256,0.97744,6.27745
2.61586,0.50280,0.55789,-1.57877,-0.00027,0.37081,0.97919,6.36060
2.71523,0.50201,0.45853,-1.57880,-0.00025,0.37544,0.97456,6.44230
2.81461,0.50121,0.35915,-1.57882,-0.00024,0.37396,0.97604,6.52265
2.91403,0.50042,0.25974,-1.57884,-0.00024,0.37258,0.97742,6.60172
3.01341,0.49961,0.16036,-1.57887,-0.00024,0.37134,0.97866,6.67951
3.11279,0.49881,0.06098,-1.57889,-0.00023,0.37023,0.97977,6.75609
3.21221,0.49800,-0.03843,-1.57892,-0.00024,0.36923,0.98077,6.83154
3.31161,0.49720,-0.13784,-1.57894,-0.00024,0.36835,0.98165,6.90585
3.41100,0.49639,-0.23722,-1.57896,-0.00024,0.36759,0.98241,6.97908
3.51040,0.49557,-0.33662,-1.57899,-0.00025,0.36694,0.98306,7.05126
3.60982,0.49476,-0.43604,-1.57901,-0.00025,0.36642,0.98358,7.12246
3.70925,0.49394,-0.53546,-1.57904,-0.00025,0.36599,0.98401,7.19268
3.80865,0.49312,-0.63486,-1.57906,-0.00026,0.36568,0.98432,7.26195
3.90809,0.49230,-0.73430,-1.57909,-0.00030,0.36548,0.98452,7.33034
4.00753,0.49147,-0.83373,-1.57912,-0.00047,0.35913,0.99087,7.39784
4.10696,0.49064,-0.93316,-1.57918,-0.00090,0.35914,0.99086,7.46448
4.20641,0.48980,-1.03260,-1.57930,-0.00146,0.35923,0.99077,7.53029
4.30586,0.48895,-1.13205,-1.57947,-0.00177,0.35943,0.99057,7.59530
4.40532,0.48808,-1.23151,-1.57965,-0.00184,0.35970,0.99030,7.65954
4.50480,0.48719,-1.33098,-1.57984,-0.00185,0.36007,0.98993,7.72302
4.60426,0.48628,-1.43044,-1.58002,-0.00187,0.35425,0.99575,7.78576
4.70373,0.48535,-1.52991,-1.58021,-0.00189,0.35476,0.99524,7.84778
4.80323,0.48441,-1.62940,-1.58040,-0.00192,0.35535,0.99465,7.90912
4.90269,0.48344,-1.72886,-1.58059,-0.00196,0.35601,0.99399,7.96975
5.00220,0.48246,-1.82836,-1.58079,-0.00201,0.35050,0.99950,8.02975
5.10173,0.48145,-1.92789,-1.58099,-0.00208,0.35129,0.99871,8.08911
5.20123,0.48043,-2.02738,-1.58120,-0.00216,0.35216,0.99784,8.14783
5.30075,0.47938,-2.12689,-1.58142,-0.00226,0.35309,1.00317,8.20594
5.40029,0.47831,-2.22643,-1.58165,-0.00238,0.34782,1.00219,8.26346
5.49981,0.47722,-2.32594,-1.58189,-0.00254,0.34889,1.00112,8.32038
5.59935,0.47611,-2.42548,-1.58215,-0.00275,0.35000,1.00626,8.37674
5.69892,0.47496,-2.52503,-1.58244,-0.00304,0.34490,1.00511,8.43255
5.79848,0.47379,-2.62459,-1.58276,-0.00347,0.34610,1.00390,8.48780
5.89804,0.47258,-2.72415,-1.58313,-0.00409,0.34110,0.92198,8.54251
5.99763,0.47133,-2.82373,-1.58357,-0.00491,0.34237,0.82356,8.59669
6.09721,0.47003,-2.92330,-1.58411,-0.00476,0.34368,0.72633,8.65035
6.19682,0.46868,-3.02290,-1.58452,-0.00172,0.33873,0.63145,8.70353
6.29642,0.46730,-3.12249,-1.58445,0.01268,0.34007,0.54159,8.75579
6.39601,0.46596,-3.22207,-1.58200,0.02345,0.33529,0.46499,8.80634
6.49562,0.46507,-3.32168,-1.57978,0.02861,0.33726,0.41275,8.85554
6.59526,0.46417,-3.42131,-1.57630,0.03982,0.33304,0.44394,8.90168
6.69489,0.46397,-3.52095,-1.57185,0.02813,0.33581,0.50768,8.94744
6.79453,0.46396,-3.62058,-1.57069,0.00620,0.33259,0.59017,8.99544
6.89419,0.46399,-3.72024,-1.57061,-0.00107,0.33573,0.67936,9.04551
6.99384,0.46400,-3.81989,-1.57090,-0.00272,0.33263,0.77148,9.09526
7.09351,0.46397,-3.91956,-1.57115,-0.00223,0.33581,0.86510,9.14460
7.19320,0.46393,-4.01925,-1.57135,-0.00175,0.33278,0.95955,9.19355
7.29287,0.46387,-4.11892,-1.57150,-0.00141,0.33602,1.01398,9.24209
7.39255,0.46379,-4.21860,-1.57163,-0.00120,0.33305,1.01695,9.29024
7.49225,0.46370,-4.31830,-1.57174,-0.00106,0.33635,1.01365,9.33802
7.59196,0.46360,-4.41801,-1.57184,-0.00096,0.33345,1.01656,9.38542
7.69165,0.46349,-4.51771,-1.57193,-0.00088,0.33682,1.01944,9.43244
7.79137,0.46337,-4.61742,-1.57201,-0.00080,0.33397,1.01603,9.47910
7.89111,0.46325,-4.71716,-1.57209,-0.00074,0.33116,1.01883,9.50000
7.99084,0.46311,-4.81689,-1.57216,-0.00069,0.33462,1.01537,9.50000
8.09057,0.46298,-4.91663,-1.57223,-0.00065,0.33187,1.01812,9.50000
8.19031,0.46283,-5.01636,-1.57229,-0.00061,0.33538,1.01461,9.50000
8.29005,0.46268,-5.11610,-1.57235,-0.00057,0.33269,1.01731,9.50000
8.38982,0.46252,-5.21587,-1.57241,-0.00054,0.33626,1.02000,9.50000
8.48958,0.46236,-5.31564,-1.57246,-0.00052,0.33360,1.01640,9.50000
8.58934,0.46219,-5.41539,-1.57251,-0.00049,0.33095,1.01905,9.50000
8.68911,0.46201,-5.51516,-1.57256,-0.00047,0.33459,1.01541,9.50000
8.78889,0.46184,-5.61494,-1.57260,-0.00045,0.33199,1.01801,9.50000
8.88869,0.46165,-5.71474,-1.57265,-0.00043,0.33564,1.02060,9.50000
8.98847,0.46147,-5.81452,-1.57269,-0.00041,0.33307,1.01693,9.50000
9.08827,0.46128,-5.91432,-1.57273,-0.00040,0.33051,1.01949,9.50000
9.18807,0.46108,-6.01412,-1.57277,-0.00038,0.33420,1.02206,9.50000
9.28787,0.46088,-6.11392,-1.57280,-0.00037,0.33166,1.01834,9.50000
9.38767,0.46068,-6.21372,-1.57284,-0.00035,0.32913,1.02087,9.50000
9.48750,0.46048,-6.31355,-1.57288,-0.00034,0.33285,1.01715,9.50000
9.58731,0.46027,-6.41336,-1.57291,-0.00033,0.33032,1.01966,9.50000
9.68713,0.46005,-6.51318,-1.57294,-0.00032,0.33404,1.02220,9.50000
9.78696,0.45984,-6.61301,-1.57297,-0.00031,0.33153,1.01846,9.50000
9.88679,0.45962,-6.71284,-1.57300,-0.00030,0.32902,1.02098,9.50000
9.98662,0.45940,-6.81267,-1.57303,-0.00029,0.33274,1.02352,9.50000
10.08646,0.45917,-6.91251,-1.57306,-0.00028,0.33019,1.01981,9.50000
10.18630,0.45894,-7.01235,-1.57309,-0.00028,0.32767,1.02234,9.50000
10.28614,0.45871,-7.11219,-1.57312,-0.00027,0.33137,1.01863,9.50000
10.38599,0.45848,-7.21204,-1.57314,-0.00026,0.32882,1.02119,9.50000
10.48584,0.45825,-7.31189,-1.57317,-0.00026,0.32626,1.02375,9.50000
10.58569,0.45801,-7.41174,-1.57319,-0.00025,0.32992,1.02008,9.50000
10.68556,0.45777,-7.51161,-1.57322,-0.00024,0.32733,1.02267,9.50000
10.78542,0.45752,-7.61147,-1.57324,-0.00024,0.33097,1.02530,9.50000
10.88527,0.45728,-7.71131,-1.57327,-0.00023,0.32833,1.02168,9.50000
10.98512,0.45703,-7.81116,-1.57329,-0.00022,0.32568,1.02433,9.50000
11.08496,0.45678,-7.91100,-1.57331,-0.00022,0.32926,1.02075,9.50000
11.18472,0.45653,-8.01077,-1.57333,-0.00022,0.32656,1.02344,9.50000
11.28451,0.45627,-8.11056,-1.57336,-0.00021,0.33008,1.02617,9.50000
11.38439,0.45602,-8.21043,-1.57338,-0.00021,0.32734,1.02266,9.50000
11.48428,0.45576,-8.31033,-1.57340,-0.00021,0.32455,1.02545,9.50000
11.58415,0.45550,-8.41019,-1.57342,-0.00021,0.32799,1.02201,9.50000
11.68404,0.45524,-8.51008,-1.57344,-0.00021,0.32515,1.02486,9.50000
11.78393,0.45497,-8.60998,-1.57346,-0.00021,0.32852,1.02774,9.50000
11.88382,0.45470,-8.70986,-1.57348,-0.00021,0.32559,1.02442,9.50000
11.98371,0.45443,-8.80975,-1.57350,-0.00021,0.32263,1.02738,9.50000
12.08359,0.45416,-8.90963,-1.57353,-0.00027,0.32589,1.02412,9.50000
12.18347,0.45389,-9.00952,-1.57356,-0.00045,0.32285,1.02715,9.44779
12.28335,0.45361,-9.10939,-1.57361,-0.00088,0.32602,1.02398,9.36224
12.38324,0.45332,-9.20928,-1.57373,-0.00100,0.32288,1.02713,9.27615
12.48313,0.45302,-9.30917,-1.57381,-0.00042,0.32593,1.02407,9.18950
12.58301,0.45272,-9.40905,-1.57382,-0.00003,0.32268,1.02733,9.10230
12.68289,0.45242,-9.50893,-1.57382,-0.00002,0.32563,1.02438,9.01453
12.78277,0.45212,-9.60881,-1.57382,-0.00002,0.32229,1.02772,8.92615
12.88264,0.45182,-9.70868,-1.57382,-0.00002,0.32515,1.02486,8.83717
12.98252,0.45151,-9.80856,-1.57383,-0.00002,0.32169,1.02831,8.74757
13.08241,0.45121,-9.90845,-1.57383,-0.00002,0.32443,1.02557,8.65731
13.18229,0.45091,-10.00833,-1.57383,-0.00002,0.32086,1.02914,8.56640
13.28217,0.45060,-10.10820,-1.57383,-0.00002,0.32348,1.02652,8.47481
13.38203,0.45030,-10.20807,-1.57383,-0.00002,0.31978,1.03022,8.38253
13.48192,0.45000,-10.30795,-1.57383,-0.00002,0.32229,1.02771,8.28951
13.58179,0.44970,-10.40783,-1.57384,-0.00001,0.31846,1.03155,8.19576
13.68166,0.44939,-10.50769,-1.57384,-0.00001,0.32081,1.02920,8.10125
13.78153,0.44909,-10.60756,-1.57384,-0.00001,0.31686,1.03315,8.00594
13.88140,0.44878,-10.70744,-1.57384,-0.00001,0.31909,1.03093,7.90981
13.98128,0.44848,-10.80731,-1.57384,-0.00001,0.32122,1.02879,7.81284
14.08114,0.44818,-10.90717,-1.57384,-0.00001,0.31705,1.03296,7.71500
14.18101,0.44787,-11.00704,-1.57384,-0.00004,0.31903,1.03098,7.61626
14.28088,0.44757,-11.10691,-1.57385,-0.00020,0.32095,1.02905,7.51658
14.38074,0.44726,-11.20677,-1.57388,-0.00048,0.31654,1.03346,7.41594
14.48061,0.44695,-11.30664,-1.57394,-0.00067,0.31829,1.03171,7.31429
14.58047,0.44663,-11.40650,-1.57402,-0.00070,0.31994,1.03007,7.21159
14.68033,0.44631,-11.50636,-1.57408,-0.00065,0.31526,1.03474,7.10782
14.78021,0.44598,-11.60624,-1.57414,-0.00057,0.31673,1.03327,7.00290
14.88007,0.44564,-11.70610,-1.57420,-0.00051,0.31810,1.03190,6.89681
14.97995,0.44530,-11.80597,-1.57425,-0.00040,0.31313,1.03688,6.78949
15.07981,0.44495,-11.90584,-1.57428,-0.00008,0.31430,1.03571,6.68089
15.17970,0.44460,-12.00572,-1.57426,0.00118,0.31538,1.03463,6.57094
15.27958,0.44426,-12.10560,-1.57404,0.00551,0.31639,1.03362,6.45962
15.37947,0.44395,-12.20549,-1.57316,0.01695,0.31732,1.03269,6.34705
15.47935,0.44379,-12.30537,-1.57066,0.03507,0.31204,1.03796,6.23377
15.57924,0.44398,-12.40526,-1.56615,0.05197,0.31327,1.03673,6.12003
15.67913,0.44471,-12.50515,-1.56027,0.06305,0.31494,1.03506,6.00551
15.77902,0.44608,-12.60503,-1.55356,0.07059,0.31711,1.03288,5.88983
15.87889,0.44816,-12.70489,-1.54617,0.07710,0.31992,1.03009,5.77279
15.97878,0.45100,-12.80473,-1.53816,0.08362,0.32337,1.02663,5.65425
16.07866,0.45468,-12.90455,-1.52947,0.09047,0.32755,1.02245,5.53413
16.17854,0.45925,-13.00432,-1.52008,0.09750,0.33252,1.01748,5.41229
16.27845,0.46480,-13.10407,-1.50999,0.10490,0.33836,1.01164,5.28858
16.37834,0.47140,-13.20375,-1.49913,0.11294,0.34511,1.00489,5.16292
16.47825,0.47911,-13.30335,-1.48742,0.12167,0.35283,0.99717,5.03515
16.57811,0.48803,-13.40282,-1.47481,0.13128,0.36137,0.98863,4.90673
16.67786,0.49824,-13.50204,-1.46121,0.14189,0.37044,0.97956,4.77624
16.77741,0.50983,-13.60092,-1.44652,0.15363,0.37970,0.97030,4.64364
16.87667,0.52289,-13.69932,-1.43064,0.16675,0.39502,0.95499,4.50887
16.97557,0.53751,-13.79713,-1.41346,0.18143,0.40979,0.94647,4.37190
17.07405,0.55381,-13.89425,-1.39482,0.19796,0.42993,0.93257,4.23260
17.17206,0.57191,-13.99057,-1.37455,0.21681,0.44889,0.91362,4.09086
17.26957,0.59193,-14.08601,-1.35241,0.24128,0.47262,0.89872,3.94691
17.36659,0.61405,-14.18047,-1.32760,0.27656,0.49460,0.87597,3.80161
17.46312,0.63854,-14.27385,-1.29887,0.32317,0.52441,0.85066,3.65592
17.55922,0.66578,-14.36600,-1.26534,0.37943,0.55259,0.82241,3.51055
17.65494,0.69622,-14.45676,-1.22609,0.44636,0.58421,0.79082,3.36633
17.75036,0.73036,-14.54586,-1.18002,0.52607,0.61977,0.75546,3.22464
17.84556,0.76880,-14.63295,-1.12584,0.62003,0.65945,0.71555,3.08741
17.94067,0.81223,-14.71756,-1.06207,0.72880,0.70437,0.67082,2.95743
18.03580,0.86140,-14.79900,-0.98726,0.84986,0.75472,0.62035,2.83866
18.13111,0.91708,-14.87636,-0.90033,0.97477,0.81143,0.56513,2.73601
18.22679,0.97995,-14.94849,-0.80122,1.08827,0.87504,0.51178,2.65480
18.32300,1.05041,-15.01398,-0.69162,1.17120,0.94561,0.46166,2.59569
18.41984,1.12840,-15.07141,-0.57519,1.21180,1.02312,0.41613,2.56938
18.51743,1.21327,-15.11957,-0.45602,1.22023,1.10644,0.37756,2.54260
18.61583,1.30404,-15.15756,-0.33592,1.22004,1.19429,0.34931,2.56069
18.71500,1.39946,-15.18458,-0.21483,1.21958,1.28531,0.33502,2.53348
18.81499,1.49826,-15.19994,-0.09284,1.21875,1.23904,0.32516,2.56205
18.91568,1.59890,-15.20315,0.03002,1.20742,1.14523,0.35051,2.53441
19.01697,1.69977,-15.19389,0.15130,1.16390,1.05783,0.37926,2.57506
19.11876,1.79931,-15.17259,0.26662,1.08411,0.97763,0.42146,2.61973
19.22101,1.89629,-15.14022,0.37264,0.97935,0.90524,0.47417,2.69124
19.32376,1.99000,-15.09805,0.46750,0.86396,0.84083,0.53510,2.78515
