# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
# tb10 geometry with the race line (b05b15w05_ell) blended in over s 18.6-22.0 (1.2 m cosine ramps): 3-8 cm inside at the hairpin-1 exit, the corner v2 slides out of
# ellipse a_lat 8.75 lat_zones [16.5:21.0:7.0,36.0:38.5:6.5,39.0:41.0:5.3,41.0:43.4:7.0] a_long 7.0 a_brake 5.5 v_max 9.0 -> 8.488 s
0.00000,0.64260,3.16155,-1.82727,0.32765,0.51640,0.86486,3.50042
0.10715,0.61701,3.05750,-1.79873,0.28734,0.49126,0.88999,3.65801
0.21253,0.59458,2.95454,-1.77300,0.25743,0.46629,0.90871,3.80734
0.31630,0.57501,2.85263,-1.74905,0.23630,0.44853,0.92647,3.94894
0.41873,0.55802,2.75162,-1.72658,0.22130,0.43220,0.94280,4.08333
0.52037,0.54335,2.65104,-1.70535,0.20918,0.41745,0.95754,4.21138
0.62150,0.53082,2.55069,-1.68523,0.19884,0.40426,0.97074,4.33400
0.72225,0.52030,2.45049,-1.66603,0.18989,0.39264,0.98236,4.45180
0.82269,0.51169,2.35042,-1.64763,0.18206,0.38255,0.99245,4.56524
0.92289,0.50490,2.25045,-1.62990,0.17515,0.37398,1.00102,4.67473
1.02298,0.49986,2.15049,-1.61284,0.16889,0.37318,1.00182,4.78071
1.12299,0.49649,2.05053,-1.59635,0.16313,0.36758,1.00741,4.88347
1.22295,0.49475,1.95059,-1.58040,0.15788,0.36347,1.01153,4.98326
1.32289,0.49457,1.85065,-1.56499,0.13952,0.36381,1.00792,5.08053
1.42289,0.49591,1.75066,-1.55001,0.09469,0.34090,1.00910,5.17787
1.52259,0.49872,1.65100,-1.53543,0.03755,0.34744,1.00880,5.27865
1.62200,0.50295,1.55168,-1.53476,-0.01669,0.34930,1.00069,5.38140
1.72134,0.50588,1.45238,-1.54765,-0.06307,0.35000,0.99999,5.47954
1.82076,0.50755,1.35298,-1.56033,-0.08545,0.35584,0.99415,5.57263
1.92015,0.50796,1.25359,-1.57130,-0.07485,0.35431,0.99568,5.66372
2.01955,0.50745,1.15419,-1.57698,-0.04954,0.35202,0.98595,5.75400
