# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
# ellipse a_lat 7.25 lat_zones [16.5:21.0:7.0,36.0:38.5:6.5,39.0:41.0:5.3,41.0:43.4:7.0] a_long 7.0 a_brake 5.0 v_max 9.0 -> 8.725 s
0.00000,0.64580,3.16067,-1.81361,0.12226,0.51971,0.86155,3.62289
0.10709,0.62005,3.05672,-1.80041,0.18168,0.49440,0.88685,3.78325
0.21236,0.59747,2.95390,-1.77474,0.23750,0.46925,0.90575,3.92032
0.31604,0.57773,2.85212,-1.75087,0.22503,0.45130,0.92370,4.04925
0.41839,0.56057,2.75122,-1.72848,0.21386,0.43478,0.94022,4.17132
0.51997,0.54571,2.65073,-1.70735,0.20362,0.41983,0.95516,4.28794
0.62104,0.53299,2.55046,-1.68726,0.19474,0.40644,0.96856,4.39982
0.72174,0.52227,2.45034,-1.66808,0.18685,0.39461,0.98039,4.50750
0.82213,0.51345,2.35033,-1.64970,0.17980,0.38432,0.99068,4.61137
0.92231,0.50646,2.25040,-1.63204,0.17333,0.37554,0.99946,4.71180
1.02237,0.50120,2.15048,-1.61501,0.16733,0.37452,1.00048,4.80918
1.12237,0.49762,2.05055,-1.59857,0.16189,0.36871,1.00629,4.90374
1.22231,0.49565,1.95062,-1.58265,0.15693,0.36437,1.01063,4.99565
1.32224,0.49525,1.85069,-1.56721,0.15194,0.36449,1.00724,5.08524
1.42225,0.49637,1.75069,-1.55225,0.14753,0.34135,1.00865,5.17266
1.52196,0.49895,1.65101,-1.53772,0.07622,0.34767,1.00857,5.25792
1.62137,0.50295,1.55168,-1.53711,-0.06190,0.34930,1.00069,5.35649
1.72071,0.50565,1.45237,-1.55002,-0.12750,0.34976,1.00022,5.43959
1.82012,0.50708,1.35298,-1.56245,-0.10904,0.35537,0.99462,5.52108
1.91951,0.50730,1.25359,-1.57170,-0.06578,0.35365,0.99634,5.60529
2.01890,0.50690,1.15420,-1.57553,-0.02344,0.35147,0.98650,5.69639
2.11830,0.50636,1.05480,-1.57636,-0.00554,0.34927,0.97572,5.78996
2.21767,0.50579,0.95543,-1.57663,-0.00231,0.35345,0.97155,5.88220
2.31706,0.50520,0.85604,-1.57682,-0.00203,0.36399,0.97349,5.97264
2.41645,0.50460,0.75666,-1.57703,-0.00211,0.37466,0.97535,6.06132
2.51583,0.50396,0.65728,-1.57724,-0.00206,0.37294,0.97706,6.14833
2.61523,0.50331,0.55788,-1.57744,-0.00198,0.37133,0.97867,6.23376
2.71459,0.50265,0.45852,-1.57763,-0.00189,0.37607,0.97393,6.31764
2.81397,0.50196,0.35914,-1.57782,-0.00182,0.37471,0.97529,6.40008
2.91339,0.50125,0.25973,-1.57799,-0.00176,0.37342,0.97658,6.48116
3.01277,0.50052,0.16035,-1.57817,-0.00171,0.37226,0.97774,6.56087
3.11216,0.49978,0.06097,-1.57833,-0.00167,0.37120,0.97880,6.63930
3.21157,0.49903,-0.03844,-1.57850,-0.00163,0.37026,0.97974,6.71652
3.31097,0.49825,-0.13784,-1.57866,-0.00161,0.36940,0.98060,6.79255
3.41037,0.49746,-0.23724,-1.57882,-0.00158,0.36866,0.98134,6.86742
3.50976,0.49666,-0.33663,-1.57897,-0.00156,0.36803,0.98197,6.94120
3.60919,0.49584,-0.43605,-1.57913,-0.00155,0.36750,0.98250,7.01394
3.70861,0.49500,-0.53547,-1.57928,-0.00154,0.36705,0.98295,7.08565
3.80801,0.49415,-0.63487,-1.57943,-0.00154,0.36671,0.98329,7.15635
3.90746,0.49328,-0.73431,-1.57959,-0.00154,0.36646,0.98354,7.22613
4.00689,0.49240,-0.83374,-1.57974,-0.00154,0.36006,0.98994,7.29497
4.10632,0.49151,-0.93317,-1.57990,-0.00155,0.36001,0.98999,7.36292
4.20577,0.49059,-1.03261,-1.58005,-0.00157,0.36002,0.98998,7.43000
4.30522,0.48967,-1.13206,-1.58021,-0.00158,0.36014,0.98986,7.49624
4.40468,0.48872,-1.23151,-1.58037,-0.00161,0.36034,0.98966,7.56168
4.50416,0.48776,-1.33098,-1.58053,-0.00163,0.36064,0.98936,7.62632
4.60362,0.48679,-1.43044,-1.58069,-0.00167,0.35475,0.99525,7.69019
4.70310,0.48579,-1.52991,-1.58086,-0.00171,0.35520,0.99480,7.75331
4.80259,0.48478,-1.62940,-1.58103,-0.00176,0.35572,0.99428,7.81571
4.90205,0.48376,-1.72886,-1.58121,-0.00182,0.35633,0.99367,7.87739
5.00156,0.48271,-1.82836,-1.58139,-0.00189,0.35075,0.99925,7.93840
5.10109,0.48165,-1.92789,-1.58159,-0.00198,0.35149,0.99851,7.99875
5.20060,0.48056,-2.02739,-1.58179,-0.00209,0.35229,0.99771,8.05843
5.30011,0.47946,-2.12689,-1.58200,-0.00221,0.35317,1.00309,8.11747
5.39966,0.47833,-2.22643,-1.58223,-0.00237,0.34784,1.00217,8.17590
5.49917,0.47718,-2.32594,-1.58247,-0.00258,0.34886,1.00116,8.23371
5.59872,0.47601,-2.42548,-1.58274,-0.00287,0.34990,1.00636,8.29093
5.69828,0.47481,-2.52503,-1.58305,-0.00330,0.34475,1.00526,8.34758
5.79784,0.47357,-2.62459,-1.58340,-0.00392,0.34588,1.00412,8.40364
5.89741,0.47230,-2.72415,-1.58383,-0.00469,0.34082,0.92226,8.45912
5.99699,0.47098,-2.82372,-1.58433,-0.00446,0.34202,0.82391,8.51407
6.09658,0.46960,-2.92330,-1.58471,-0.00110,0.34324,0.72677,8.56851
6.19618,0.46820,-3.02289,-1.58455,0.01331,0.33825,0.63193,8.62176
6.29579,0.46686,-3.12249,-1.58206,0.02395,0.33963,0.54203,8.67275
6.39537,0.46596,-3.22207,-1.57978,0.01145,0.33529,0.46499,8.72327
6.49499,0.46507,-3.32168,-1.57978,-0.00024,0.33726,0.41275,8.77528
6.59462,0.46417,-3.42131,-1.57983,0.01794,0.33304,0.44394,8.82592
6.69426,0.46327,-3.52094,-1.57621,0.04227,0.33511,0.50838,8.86884
6.79389,0.46309,-3.62058,-1.57141,0.03150,0.33172,0.59104,8.91142
6.89355,0.46315,-3.72024,-1.56993,0.00831,0.33488,0.68021,8.95757
6.99320,0.46326,-3.81989,-1.56975,-0.00038,0.33189,0.77221,9.00000
7.09287,0.46336,-3.91955,-1.57001,-0.00245,0.33520,0.86571,9.00000
7.19256,0.46342,-4.01924,-1.57024,-0.00210,0.33227,0.96006,9.00000
7.29224,0.46347,-4.11892,-1.57042,-0.00163,0.33562,1.01438,9.00000
