# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.68450,3.16280,-1.82050,0.33615,0.56773,0.83227,3.50365
0.10469,0.66042,3.06092,-1.78630,0.31862,0.54063,0.85635,3.62158
0.20869,0.63988,2.95898,-1.75394,0.30364,0.52187,0.87690,3.73308
0.31167,0.62273,2.85744,-1.72330,0.29042,0.49688,0.89062,3.83870
0.41376,0.60873,2.75631,-1.69417,0.27882,0.48438,0.90312,3.93911
0.51530,0.59767,2.65538,-1.66636,0.26821,0.47188,0.90938,4.03508
0.61643,0.58940,2.55459,-1.63971,0.25808,0.45938,0.91563,4.12715
0.71726,0.58377,2.45393,-1.61408,0.25079,0.45313,0.92188,4.21586
0.81783,0.58068,2.35341,-1.58937,0.23737,0.45313,0.92188,4.30099
0.91820,0.58004,2.25303,-1.56576,0.24879,0.45313,0.92188,4.38469
1.01846,0.58169,2.15279,-1.54768,0.13921,0.45313,0.92188,4.46013
1.11863,0.58467,2.05267,-1.54042,-0.01435,0.45313,0.92188,4.54427
1.21867,0.58777,1.95267,-1.54024,-0.00431,0.45938,0.91563,4.62630
1.31860,0.59078,1.85279,-1.54385,-0.02448,0.45938,0.91563,4.70633
1.41842,0.59315,1.75300,-1.55653,-0.27575,0.44063,0.90938,4.78447
1.51810,0.59362,1.65332,-1.56914,-0.02042,0.44063,0.90938,4.86083
1.61764,0.59348,1.55378,-1.57274,-0.01173,0.44063,0.90938,4.93547
1.71715,0.59324,1.45427,-1.57325,0.00370,0.44063,0.90938,5.00857
1.81667,0.59299,1.35475,-1.57322,-0.00062,0.44063,0.90938,5.08024
1.91618,0.59275,1.25525,-1.57322,-0.00004,0.44063,0.90938,5.15052
2.01568,0.59251,1.15574,-1.57325,-0.00044,0.44063,0.90030,5.21949
2.11519,0.59227,1.05624,-1.57329,-0.00062,0.44063,0.88438,5.28721
2.21468,0.59201,0.95675,-1.57333,-0.00013,0.44063,0.88438,5.35372
2.31418,0.59176,0.85725,-1.57334,-0.00007,0.45101,0.89062,5.41908
2.41367,0.59151,0.75775,-1.57336,-0.00022,0.45938,0.89062,5.48334
2.51317,0.59125,0.65825,-1.57338,-0.00027,0.45938,0.89062,5.54654
2.61268,0.59099,0.55874,-1.57339,0.00008,0.45938,0.89062,5.60873
2.71216,0.59074,0.45926,-1.57339,-0.00009,0.45938,0.89062,5.66992
2.81166,0.59048,0.35976,-1.57341,-0.00030,0.45938,0.89062,5.73018
2.91118,0.59022,0.26025,-1.57342,0.00009,0.45938,0.89062,5.78954
3.01067,0.58996,0.16075,-1.57342,-0.00010,0.45938,0.89062,5.84801
3.11018,0.58969,0.06125,-1.57344,-0.00030,0.45938,0.89062,5.90564
3.20970,0.58943,-0.03827,-1.57345,0.00011,0.45938,0.89062,5.96245
3.30921,0.58917,-0.13778,-1.57345,-0.00016,0.45938,0.89062,6.01847
3.40872,0.58890,-0.23729,-1.57346,-0.00009,0.45938,0.89062,6.07372
3.50823,0.58863,-0.33680,-1.57347,-0.00010,0.45938,0.89062,6.12823
3.60776,0.58837,-0.43634,-1.57348,-0.00010,0.45938,0.89062,6.18203
3.70730,0.58810,-0.53587,-1.57349,-0.00011,0.45938,0.89062,6.23513
3.80682,0.58783,-0.63539,-1.57350,-0.00009,0.45938,0.89062,6.28755
3.90637,0.58756,-0.73494,-1.57351,-0.00011,0.45938,0.89062,6.33932
4.00591,0.58729,-0.83447,-1.57352,-0.00010,0.45938,0.89062,6.39045
4.10545,0.58702,-0.93402,-1.57353,-0.00008,0.45938,0.89062,6.44096
4.20501,0.58674,-1.03358,-1.57354,-0.00016,0.45938,0.89062,6.49087
4.30456,0.58647,-1.13313,-1.57355,0.00013,0.45938,0.89062,6.54020
4.40413,0.58620,-1.23270,-1.57356,-0.00032,0.45938,0.89062,6.58895
4.50371,0.58592,-1.33228,-1.57357,-0.00004,0.45938,0.89062,6.63715
4.60328,0.58564,-1.43185,-1.57358,-0.00012,0.45938,0.89062,6.68481
