# s_m,x_m,y_m,kappa_radpm,along_info,cross_info,mode
0.00000,1.08005,4.71342,-3.69272,96.71,122.10,CORNER
0.11517,1.19341,4.73069,-1.99404,96.71,122.10,CORNER
0.23032,1.30787,4.71971,-1.27480,96.71,122.10,CORNER
0.34547,1.41938,4.69130,-0.91717,46.39,121.53,CORNER
0.46063,1.52717,4.65091,-0.74270,46.39,121.53,CORNER
0.57578,1.63103,4.60126,-0.67237,46.39,121.53,CORNER
0.69093,1.73065,4.54355,-0.69129,46.39,121.53,CORNER
0.80608,1.82524,4.47795,-0.79963,46.39,121.53,CORNER
0.92123,1.91349,4.40404,-0.85077,14.29,149.50,CORNER
1.03639,1.99418,4.32196,-0.83633,14.29,149.50,CORNER
1.15154,2.06677,4.23262,-0.73913,14.29,149.50,CORNER
1.26669,2.13162,4.13750,-0.57928,14.29,149.50,CORNER
1.38184,2.19008,4.03830,-0.37765,14.29,149.50,CORNER
1.49699,2.24409,3.93661,-0.21805,19.07,170.50,CORNER
1.61214,2.29532,3.83349,-0.16576,19.07,170.50,CORNER
1.72730,2.34460,3.72941,-0.10565,19.07,170.50,CORNER
1.84245,2.39258,3.62473,-0.05574,19.07,170.50,CORNER
1.95760,2.43988,3.51974,-0.00894,19.07,170.50,CORNER
2.07275,2.48706,3.41470,0.03472,24.85,180.19,TRANSIT
2.18790,2.53467,3.30985,0.07678,24.85,180.19,TRANSIT
2.30306,2.58320,3.20542,0.11813,24.85,180.19,TRANSIT
2.41821,2.63314,3.10167,0.15963,24.85,180.19,TRANSIT
2.53336,2.68498,2.99885,0.20175,24.85,180.19,TRANSIT
2.64851,2.73920,2.89726,0.24569,23.78,193.92,TRANSIT
2.76366,2.79627,2.79725,0.28905,23.78,193.92,TRANSIT
2.87882,2.85665,2.69921,0.34183,23.78,193.92,TRANSIT
2.99397,2.92079,2.60358,0.36245,23.78,193.92,TRANSIT
3.10912,2.98874,2.51063,0.32047,23.78,193.92,TRANSIT
3.22427,3.06010,2.42025,0.28709,12.53,202.19,APPROACH
3.33942,3.13440,2.33228,0.24993,12.53,202.19,APPROACH
3.45458,3.21119,2.24649,0.21340,12.53,202.19,APPROACH
3.56973,3.29008,2.16260,0.17716,12.53,202.19,APPROACH
3.68488,3.37066,2.08035,0.14187,12.53,202.19,APPROACH
3.80003,3.45258,1.99942,0.10769,26.23,187.47,APPROACH
3.91518,3.53550,1.91951,0.07476,26.23,187.47,APPROACH
4.03034,3.61910,1.84033,0.04310,26.23,187.47,APPROACH
4.14549,3.70310,1.76156,0.01269,26.23,187.47,APPROACH
4.26064,3.78721,1.68292,-0.01649,26.23,187.47,APPROACH
4.37579,3.87118,1.60412,-0.04457,53.24,168.11,APPROACH
4.49094,3.95474,1.52489,-0.07137,53.24,168.11,APPROACH
4.60610,4.03765,1.44498,-0.09773,53.24,168.11,APPROACH
4.72125,4.11966,1.36414,-0.12051,53.24,168.11,APPROACH
4.83640,4.20052,1.28216,-0.15455,53.24,168.11,APPROACH
4.95155,4.27989,1.19874,-0.20127,71.35,130.52,APPROACH
5.06670,4.35730,1.11349,-0.25197,71.35,130.52,APPROACH
5.18186,4.43219,1.02602,-0.31253,71.35,130.52,APPROACH
5.29701,4.50385,0.93589,-0.38630,71.35,130.52,APPROACH
5.41216,4.57140,0.84265,-0.47877,71.35,130.52,APPROACH
5.52731,4.63367,0.74581,-0.59664,105.94,83.54,APPROACH
5.64246,4.68906,0.64489,-0.74768,105.94,83.54,APPROACH
5.75762,4.73550,0.53956,-0.93822,105.94,83.54,APPROACH
