# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-1.11347,5.11791,0.21171,-0.86797,0.28125,1.81875,2.73656
0.06947,-1.04516,5.13048,0.15331,-0.82388,0.29375,1.83125,2.72848
0.13894,-0.97624,5.13911,0.09662,-0.80505,0.30625,1.90625,2.75863
0.20841,-0.90694,5.14388,0.04148,-0.78270,0.30625,1.94375,2.78863
0.27788,-0.83748,5.14487,-0.01227,-0.76424,0.30625,1.94375,2.82002
0.34735,-0.76807,5.14218,-0.06479,-0.74749,0.30625,1.90625,2.85129
0.41682,-0.69889,5.13588,-0.11623,-0.73287,0.29375,1.81875,2.88207
0.48630,-0.63013,5.12607,-0.16670,-0.71992,0.34375,1.79375,2.91188
0.55577,-0.56194,5.11284,-0.21633,-0.70873,0.33125,1.76875,2.94047
0.62524,-0.49448,5.09626,-0.26526,-0.69960,0.31875,1.70625,2.96753
0.69471,-0.42791,5.07643,-0.31358,-0.69053,0.30625,1.69375,2.99265
0.76418,-0.36236,5.05342,-0.36141,-0.68976,0.28125,1.69375,3.01626
0.83365,-0.29799,5.02732,-0.40827,-0.66229,0.31875,1.64375,3.03463
0.90312,-0.23489,4.99827,-0.45372,-0.64566,0.28125,1.65625,3.06159
0.97259,-0.17315,4.96644,-0.49775,-0.62261,0.31875,1.68125,3.09011
1.04206,-0.11284,4.93196,-0.54034,-0.60291,0.34375,1.65625,3.12220
1.11153,-0.05404,4.89498,-0.58156,-0.58370,0.36875,1.66875,3.15607
1.18100,0.00323,4.85565,-0.62149,-0.56566,0.36875,1.64375,3.19136
1.25047,0.05890,4.81410,-0.66020,-0.54855,0.40625,1.59375,3.22762
1.31994,0.11294,4.77046,-0.69774,-0.53223,0.41875,1.51875,3.26458
1.38942,0.16534,4.72486,-0.73419,-0.51697,0.40625,1.45625,3.30204
1.45889,0.21607,4.67739,-0.76956,-0.50145,0.40625,1.40625,3.33977
1.52836,0.26511,4.62820,-0.80386,-0.48606,0.41875,1.38125,3.37794
1.59783,0.31247,4.57737,-0.83713,-0.47139,0.43125,1.31875,3.41658
1.66730,0.35813,4.52502,-0.86939,-0.45741,0.41875,1.26875,3.45554
1.73677,0.40211,4.47125,-0.90071,-0.44399,0.36875,1.19375,3.49474
1.80624,0.44441,4.41614,-0.93111,-0.43111,0.38125,1.13125,3.53411
1.87571,0.48504,4.35979,-0.96063,-0.41872,0.38125,1.10625,3.57358
1.94518,0.52401,4.30229,-0.98931,-0.40674,0.39375,1.03125,3.61313
2.01465,0.56134,4.24370,-1.01716,-0.39514,0.43125,1.03125,3.65274
2.08412,0.59705,4.18411,-1.04422,-0.38389,0.41875,0.98125,3.69239
2.15359,0.63116,4.12360,-1.07051,-0.37296,0.44375,0.96875,3.73207
2.22307,0.66369,4.06221,-1.09606,-0.36230,0.48125,0.93125,3.77178
2.29254,0.69467,4.00003,-1.12087,-0.35190,0.48125,0.88125,3.81153
2.36201,0.72411,3.93711,-1.14496,-0.34175,0.48125,0.89375,3.85131
2.43148,0.75206,3.87351,-1.16836,-0.33179,0.50625,0.85625,3.89115
2.50095,0.77853,3.80928,-1.19107,-0.32204,0.53125,0.81875,3.93103
2.57042,0.80355,3.74448,-1.21311,-0.31246,0.54375,0.78125,3.97098
2.63989,0.82717,3.67914,-1.23449,-0.30303,0.56875,0.75625,4.01101
2.70936,0.84940,3.61333,-1.25522,-0.29376,0.59375,0.73125,4.05112
2.77883,0.87029,3.54707,-1.27531,-0.28463,0.65625,0.70625,4.09133
2.84830,0.88986,3.48042,-1.29477,-0.27560,0.68125,0.68125,4.13164
2.91777,0.90815,3.41340,-1.31361,-0.26668,0.69375,0.65625,4.17207
2.98724,0.92520,3.34605,-1.33183,-0.25787,0.70625,0.63125,4.21262
3.05672,0.94104,3.27841,-1.34944,-0.24914,0.71875,0.61875,4.25331
3.12619,0.95570,3.21051,-1.36645,-0.24051,0.73125,0.54375,4.29414
3.19566,0.96923,3.14237,-1.38287,-0.23197,0.74375,0.53125,4.33511
3.26513,0.98166,3.07402,-1.39869,-0.22350,0.75625,0.51875,4.37624
3.33460,0.99302,3.00549,-1.41392,-0.21508,0.75625,0.50625,4.41752
3.40407,1.00336,2.93679,-1.42857,-0.20671,0.76875,0.49375,4.45895
3.47354,1.01272,2.86795,-1.44264,-0.19839,0.78125,0.48125,4.50055
3.54301,1.02112,2.79899,-1.45614,-0.19011,0.78125,0.46875,4.54231
3.61248,1.02861,2.72993,-1.46906,-0.18186,0.79375,0.41875,4.58423
3.68195,1.03523,2.66077,-1.48141,-0.17365,0.84375,0.40625,4.62631
3.75142,1.04102,2.59154,-1.49319,-0.16547,0.85625,0.40625,4.66855
3.82089,1.04600,2.52225,-1.50440,-0.15730,0.85625,0.39375,4.71094
3.89036,1.05023,2.45291,-1.51505,-0.14915,0.85625,0.39375,4.75347
3.95984,1.05375,2.38353,-1.52513,-0.14103,0.86875,0.38125,4.79615
4.02931,1.05658,2.31411,-1.53464,-0.13292,0.91875,0.33125,4.83894
4.09878,1.05877,2.24468,-1.54359,-0.12482,0.91875,0.33125,4.88185
4.16825,1.06036,2.17523,-1.55198,-0.11672,0.91875,0.33125,4.92486
4.23772,1.06138,2.10576,-1.55981,-0.10864,0.91875,0.33125,4.96794
4.30719,1.06188,2.03629,-1.56708,-0.10056,0.91875,0.33125,5.01109
4.37666,1.06190,1.96682,-1.57378,-0.09249,0.91875,0.33125,5.05427
4.44613,1.06147,1.89735,-1.57993,-0.08440,0.91875,0.33125,5.09746
4.51560,1.06063,1.82789,-1.58551,-0.07637,0.91875,0.33125,5.14064
4.58507,1.05942,1.75843,-1.59054,-0.06832,0.91875,0.33125,5.18377
4.65454,1.05789,1.68897,-1.59500,-0.05981,0.91875,0.28125,5.22682
