# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-1.11328,5.11588,0.21396,-0.87797,0.28125,1.81875,2.82363
0.06955,-1.04492,5.12860,0.15487,-0.83350,0.29375,1.83125,2.81528
0.13909,-0.97593,5.13732,0.09736,-0.81670,0.29375,1.89375,2.84763
0.20864,-0.90655,5.14211,0.04130,-0.79584,0.30625,1.94375,2.87861
0.27819,-0.83702,5.14306,-0.01350,-0.77945,0.30625,1.94375,2.91044
0.34774,-0.76754,5.14024,-0.06722,-0.76493,0.30625,1.90625,2.94137
0.41728,-0.69831,5.13372,-0.12001,-0.75301,0.29375,1.81875,2.97106
0.48683,-0.62951,5.12359,-0.17201,-0.74202,0.34375,1.79375,2.99886
0.55638,-0.56133,5.10992,-0.22333,-0.73339,0.33125,1.76875,3.02492
0.62592,-0.49393,5.09280,-0.27411,-0.72680,0.31875,1.70625,3.04861
0.69547,-0.42748,5.07229,-0.32450,-0.72104,0.29375,1.70625,3.06945
0.76502,-0.36215,5.04847,-0.37459,-0.72438,0.28125,1.65625,3.08767
0.83457,-0.29809,5.02142,-0.42368,-0.69124,0.30625,1.66875,3.09693
0.90411,-0.23540,4.99131,-0.47115,-0.67251,0.28125,1.68125,3.12371
0.97366,-0.17419,4.95830,-0.51705,-0.64820,0.30625,1.64375,3.15310
1.04321,-0.11453,4.92257,-0.56144,-0.62759,0.33125,1.66875,3.18667
1.11276,-0.05649,4.88427,-0.60440,-0.60762,0.35625,1.66875,3.22220
1.18230,-0.00011,4.84355,-0.64603,-0.58931,0.34375,1.64375,3.25924
1.25185,0.05455,4.80056,-0.68643,-0.57226,0.40625,1.60625,3.29714
1.32140,0.10745,4.75542,-0.72569,-0.55636,0.40625,1.51875,3.33553
1.39094,0.15857,4.70827,-0.76388,-0.54250,0.39375,1.49375,3.37414
1.46049,0.20788,4.65923,-0.80094,-0.52427,0.38125,1.43125,3.41246
1.53004,0.25536,4.60842,-0.83671,-0.50455,0.40625,1.39375,3.45201
1.59959,0.30104,4.55598,-0.87118,-0.48643,0.40625,1.29375,3.49316
1.66913,0.34491,4.50202,-0.90444,-0.46968,0.39375,1.26875,3.53536
1.73868,0.38700,4.44666,-0.93657,-0.45389,0.34375,1.18125,3.57824
1.80823,0.42732,4.39000,-0.96763,-0.43908,0.34375,1.16875,3.62159
1.87777,0.46589,4.33213,-0.99769,-0.42517,0.35625,1.09375,3.66521
1.94732,0.50273,4.27314,-1.02680,-0.41185,0.36875,1.09375,3.70898
2.01687,0.53787,4.21313,-1.05500,-0.39910,0.39375,1.03125,3.75283
2.08642,0.57133,4.15216,-1.08234,-0.38692,0.38125,0.98125,3.79672
2.15596,0.60313,4.09031,-1.10884,-0.37515,0.40625,0.99375,3.84060
2.22551,0.63332,4.02766,-1.13453,-0.36364,0.43125,0.94375,3.88446
2.29506,0.66190,3.96426,-1.15944,-0.35254,0.43125,0.94375,3.92833
2.36461,0.68893,3.90018,-1.18358,-0.34172,0.43125,0.91875,3.97219
2.43415,0.71442,3.83548,-1.20698,-0.33113,0.45625,0.88125,4.01605
2.50370,0.73842,3.77020,-1.22966,-0.32081,0.48125,0.85625,4.05992
2.57325,0.76095,3.70441,-1.25161,-0.31063,0.49375,0.81875,4.10382
2.64279,0.78206,3.63814,-1.27287,-0.30064,0.51875,0.79375,4.14777
2.71234,0.80178,3.57145,-1.29344,-0.29087,0.53125,0.76875,4.19178
2.78189,0.82014,3.50437,-1.31333,-0.28119,0.59375,0.74375,4.23586
2.85144,0.83719,3.43695,-1.33256,-0.27162,0.61875,0.71875,4.28003
2.92098,0.85297,3.36922,-1.35112,-0.26219,0.63125,0.70625,4.32431
2.99053,0.86750,3.30121,-1.36903,-0.25285,0.64375,0.68125,4.36871
3.06008,0.88084,3.23295,-1.38630,-0.24358,0.65625,0.66875,4.41324
3.12962,0.89302,3.16448,-1.40292,-0.23449,0.65625,0.60625,4.45792
3.19917,0.90408,3.09582,-1.41892,-0.22557,0.66875,0.59375,4.50274
3.26872,0.91406,3.02699,-1.43430,-0.21671,0.68125,0.58125,4.54769
3.33827,0.92301,2.95802,-1.44906,-0.20787,0.69375,0.56875,4.59277
3.40781,0.93095,2.88893,-1.46322,-0.19908,0.69375,0.55625,4.63801
3.47736,0.93794,2.81974,-1.47676,-0.19033,0.70625,0.55625,4.68340
3.54691,0.94401,2.75045,-1.48969,-0.18159,0.70625,0.49375,4.72895
3.61646,0.94921,2.68110,-1.50202,-0.17287,0.75625,0.49375,4.77466
3.68600,0.95357,2.61169,-1.51374,-0.16423,0.76875,0.48125,4.82053
3.75555,0.95714,2.54224,-1.52486,-0.15558,0.76875,0.48125,4.86655
3.82510,0.95996,2.47275,-1.53538,-0.14688,0.76875,0.48125,4.91272
3.89464,0.96207,2.40323,-1.54529,-0.13825,0.76875,0.48125,4.95903
3.96419,0.96351,2.33370,-1.55461,-0.12963,0.76875,0.48125,5.00546
4.03374,0.96432,2.26416,-1.56332,-0.12100,0.81875,0.43125,5.05201
4.10329,0.96455,2.19461,-1.57144,-0.11237,0.81875,0.43125,5.09865
4.17283,0.96423,2.12506,-1.57895,-0.10374,0.81875,0.43125,5.14536
4.24238,0.96341,2.05552,-1.58587,-0.09513,0.81875,0.43125,5.19212
4.31193,0.96213,1.98599,-1.59218,-0.08651,0.81875,0.43125,5.23889
4.38148,0.96044,1.91646,-1.59790,-0.07787,0.81875,0.43125,5.28566
4.45102,0.95836,1.84694,-1.60302,-0.06927,0.81875,0.43125,5.33237
4.52057,0.95596,1.77744,-1.60753,-0.06063,0.81875,0.43125,5.37900
4.59012,0.95325,1.70794,-1.61145,-0.05203,0.81875,0.43125,5.42550
4.65966,0.95030,1.63846,-1.61477,-0.04333,0.80625,0.39375,5.47183
4.72921,0.94714,1.56898,-1.61749,-0.03478,0.80625,0.39375,5.51792
4.79876,0.94381,1.49952,-1.61964,-0.02705,0.80625,0.39375,5.56374
4.86831,0.94035,1.43006,-1.62124,-0.01898,0.80625,0.40625,5.60917
4.93785,0.93680,1.36060,-1.62228,-0.01100,0.79375,0.40625,5.65420
5.00740,0.93319,1.29115,-1.62277,-0.00298,0.79375,0.40625,5.69875
5.07695,0.92957,1.22169,-1.62270,0.00499,0.79375,0.40625,5.74277
5.14649,0.92597,1.15224,-1.62208,0.01295,0.78125,0.41875,5.78618
5.21604,0.92244,1.08278,-1.62090,0.02097,0.78125,0.41875,5.82892
5.28559,0.91901,1.01332,-1.61916,0.02898,0.78125,0.41875,5.87091
5.35514,0.91572,0.94385,-1.61687,0.03694,0.78125,0.41875,5.91205
5.42468,0.91260,0.87437,-1.61402,0.04496,0.76875,0.43125,5.95227
5.49423,0.90971,0.80488,-1.61062,0.05288,0.76875,0.43125,5.99145
5.56378,0.90706,0.73539,-1.60666,0.06104,0.76875,0.43125,6.02951
5.63333,0.90472,0.66588,-1.60215,0.06859,0.76875,0.43125,6.06629
5.70287,0.90270,0.59636,-1.59707,0.07730,0.76875,0.43125,6.10174
5.77242,0.90106,0.52683,-1.59147,0.08589,0.75625,0.39375,6.13558
5.84197,0.89983,0.45730,-1.58572,0.08108,0.75625,0.39375,6.16765
5.91151,0.89899,0.38776,-1.58007,0.08083,0.75625,0.39375,6.19996
5.98106,0.89854,0.31821,-1.57455,0.07857,0.75625,0.39375,6.23183
6.05061,0.89847,0.24866,-1.56924,0.07428,0.75625,0.39375,6.26357
6.12016,0.89875,0.17912,-1.56420,0.07079,0.75625,0.39375,6.29547
6.18970,0.89938,0.10957,-1.55940,0.06711,0.75625,0.39375,6.32741
6.25925,0.90034,0.04003,-1.55486,0.06347,0.75625,0.39375,6.35939
6.32880,0.90160,-0.02950,-1.55057,0.05980,0.75625,0.39375,6.39141
6.39835,0.90315,-0.09903,-1.54654,0.05615,0.76875,0.38125,6.42344
6.46789,0.90497,-0.16856,-1.54276,0.05250,0.76875,0.38125,6.45548
6.53744,0.90705,-0.23807,-1.53924,0.04883,0.76875,0.38125,6.48751
6.60699,0.90936,-0.30758,-1.53597,0.04519,0.76875,0.38125,6.51951
6.67653,0.91189,-0.37708,-1.53296,0.04153,0.76875,0.38125,6.55147
6.74608,0.91463,-0.44658,-1.53019,0.03788,0.78125,0.38125,6.58338
6.81563,0.91754,-0.51606,-1.52769,0.03423,0.78125,0.36875,6.61521
6.88518,0.92062,-0.58554,-1.52543,0.03056,0.78125,0.36875,6.64695
6.95472,0.92385,-0.65501,-1.52344,0.02688,0.78125,0.36875,6.67858
7.02427,0.92720,-0.72448,-1.52169,0.02323,0.84375,0.36875,6.71008
7.09382,0.93067,-0.79394,-1.52020,0.01959,0.84375,0.35625,6.74144
7.16336,0.93424,-0.86340,-1.51897,0.01592,0.84375,0.35625,6.77263
7.23291,0.93788,-0.93285,-1.51799,0.01225,0.89375,0.35625,6.80362
7.30246,0.94158,-1.00230,-1.51727,0.00856,0.90625,0.34375,6.83441
7.37201,0.94532,-1.07174,-1.51680,0.00494,0.90625,0.34375,6.86495
7.44155,0.94909,-1.14119,-1.51658,0.00128,0.90625,0.34375,6.89524
7.51110,0.95286,-1.21063,-1.51662,-0.00241,0.91875,0.34375,6.92525
7.58065,0.95662,-1.28008,-1.51691,-0.00606,0.91875,0.33125,6.95494
7.65020,0.96035,-1.34953,-1.51746,-0.00971,0.91875,0.33125,6.98430
7.71974,0.96404,-1.41898,-1.51826,-0.01337,0.93125,0.33125,7.01329
7.78929,0.96765,-1.48843,-1.51932,-0.01703,0.93125,0.31875,7.04189
7.85884,0.97119,-1.55789,-1.52063,-0.02068,0.93125,0.31875,7.07006
7.92838,0.97463,-1.62735,-1.52220,-0.02435,0.98125,0.31875,7.09777
7.99793,0.97795,-1.69682,-1.52402,-0.02801,0.99375,0.30625,7.12500
8.06748,0.98113,-1.76629,-1.52609,-0.03166,0.99375,0.30625,7.15170
8.13703,0.98416,-1.83577,-1.52842,-0.03531,0.99375,0.30625,7.17784
8.20657,0.98703,-1.90526,-1.53101,-0.03894,0.99375,0.30625,7.20338
8.27612,0.98970,-1.97476,-1.53384,-0.04262,1.00625,0.30625,7.22829
8.34567,0.99216,-2.04426,-1.53693,-0.04627,1.05625,0.29375,7.25251
8.41522,0.99441,-2.11377,-1.54028,-0.04988,1.05625,0.29375,7.27602
8.48476,0.99641,-2.18329,-1.54387,-0.05353,1.05625,0.29375,7.29876
8.55431,0.99815,-2.25281,-1.54772,-0.05720,1.10625,0.29375,7.25593
8.62386,0.99962,-2.32235,-1.55183,-0.06091,1.10625,0.29375,7.19181
8.69340,1.00079,-2.39188,-1.55619,-0.06460,1.10625,0.29375,7.12796
8.76295,1.00165,-2.46143,-1.56082,-0.06829,1.15625,0.29375,7.06439
8.83250,1.00218,-2.53097,-1.56569,-0.07197,1.15625,0.29375,7.00110
8.90205,1.00236,-2.60052,-1.57083,-0.07569,1.15625,0.29375,6.93811
8.97159,1.00217,-2.67006,-1.57622,-0.07934,1.15625,0.29375,6.87539
9.04114,1.00160,-2.73961,-1.58187,-0.08308,1.15625,0.29375,6.81296
9.11069,1.00063,-2.80915,-1.58778,-0.08694,1.15625,0.29375,6.75085
9.18023,0.99924,-2.87868,-1.59397,-0.09081,1.15625,0.29375,6.68905
9.24978,0.99741,-2.94821,-1.60046,-0.09573,1.15625,0.29375,6.62782
9.31933,0.99512,-3.01772,-1.60728,-0.10050,1.15625,0.29375,6.56713
