# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-1.14396,5.22579,0.12757,-0.99132,0.39251,1.78249,2.46019
0.06795,-1.07657,5.23444,0.09591,-0.91873,0.36646,1.80854,2.55553
0.13683,-1.00783,5.23889,0.03489,-0.85281,0.36556,1.85944,2.65246
0.20665,-0.93801,5.23927,-0.02261,-0.79432,0.33990,1.88510,2.74839
0.27737,-0.86738,5.23571,-0.07699,-0.74348,0.33956,1.83544,2.84080
0.34895,-0.79619,5.22833,-0.12864,-0.70020,0.33961,1.81039,2.92728
0.42128,-0.72470,5.21726,-0.17798,-0.66419,0.34009,1.75991,3.00559
0.49428,-0.65319,5.20261,-0.22540,-0.63509,0.31605,1.73395,3.07368
0.56782,-0.58191,5.18451,-0.27127,-0.61254,0.31753,1.70747,3.12974
0.64178,-0.51112,5.16310,-0.31597,-0.59623,0.36954,1.68046,3.17227
0.71601,-0.44109,5.13848,-0.35984,-0.58591,0.34710,1.67790,3.20007
0.79038,-0.37207,5.11078,-0.40324,-0.58145,0.35022,1.64978,3.21233
0.86472,-0.30434,5.08014,-0.44651,-0.58280,0.32891,1.64609,3.20861
0.93889,-0.23815,5.04667,-0.49000,-0.59002,0.30814,1.64186,3.18890
1.01274,-0.17377,5.01049,-0.53406,-0.60331,0.28793,1.63707,3.15359
1.08612,-0.11145,4.97174,-0.57904,-0.62295,0.34324,1.63176,3.10348
1.15890,-0.05147,4.93053,-0.62533,-0.64934,0.32405,1.62595,3.03976
1.23094,0.00593,4.88700,-0.67331,-0.68298,0.33034,1.64466,2.96395
1.30212,0.06046,4.84125,-0.72339,-0.72444,0.33707,1.63793,2.87789
1.37234,0.11189,4.79342,-0.77599,-0.77430,0.36918,1.60582,2.78369
1.44153,0.15993,4.74364,-0.83084,-0.81452,0.35164,1.59836,2.71409
1.50973,0.20448,4.69201,-0.88619,-0.81040,0.38437,1.54063,2.72099
1.57716,0.24566,4.63861,-0.94044,-0.79697,0.39231,1.45769,2.74382
1.64404,0.28362,4.58355,-0.99305,-0.77508,0.37542,1.39958,2.78228
1.71056,0.31850,4.52689,-1.04369,-0.74594,0.40866,1.39134,2.83612
1.77691,0.35044,4.46874,-1.09205,-0.71092,0.44203,1.35797,2.90512
1.84324,0.37960,4.40917,-1.13792,-0.67150,0.45055,1.29945,2.98918
1.90965,0.40611,4.34828,-1.18113,-0.62907,0.45922,1.24078,3.08835
1.97627,0.43012,4.28614,-1.22158,-0.58489,0.44307,1.20693,3.19438
2.04317,0.45178,4.22284,-1.25921,-0.54004,0.45211,1.14789,3.29743
2.11041,0.47124,4.15848,-1.29403,-0.49536,0.46135,1.16365,3.39786
2.17803,0.48863,4.09313,-1.32604,-0.45148,0.44582,1.10418,3.49595
2.24606,0.50411,4.02688,-1.35530,-0.40887,0.43052,1.11948,3.59193
2.31450,0.51781,3.95983,-1.38188,-0.36779,0.41545,1.08455,3.68597
2.38335,0.52989,3.89205,-1.40584,-0.32839,0.40061,1.04939,3.77821
2.45259,0.54048,3.82363,-1.42726,-0.29069,0.36098,1.08902,3.86875
2.52218,0.54974,3.75465,-1.44623,-0.25463,0.32156,1.05344,3.95767
2.59208,0.55781,3.68522,-1.46282,-0.22009,0.30733,1.09267,4.04502
2.66225,0.56484,3.61540,-1.47710,-0.18691,0.26825,1.05675,4.13085
2.73263,0.57096,3.54529,-1.48912,-0.15488,0.27929,1.04571,4.21517
2.80316,0.57633,3.47497,-1.49894,-0.12376,0.29042,1.03458,4.29801
2.87376,0.58109,3.40453,-1.50661,-0.09332,0.25160,1.02340,4.37937
2.94436,0.58539,3.33406,-1.51213,-0.06327,0.26279,1.01221,4.45926
3.01490,0.58937,3.26363,-1.51557,-0.03336,0.27394,1.00106,4.53766
3.08529,0.59317,3.19334,-1.51749,-0.01981,0.23500,0.99000,4.61457
3.15550,0.59686,3.12322,-1.51888,-0.01938,0.24593,0.97907,4.69003
3.22556,0.60045,3.05327,-1.52022,-0.01893,0.25667,0.96833,4.76413
3.29545,0.60394,2.98346,-1.52153,-0.01846,0.26720,0.95780,4.83693
3.36520,0.60733,2.91379,-1.52280,-0.01798,0.27750,0.94750,4.90850
3.43482,0.61062,2.84425,-1.52403,-0.01748,0.33760,0.91240,4.97891
3.50431,0.61383,2.77483,-1.52523,-0.01697,0.32248,0.90252,5.04821
3.57369,0.61695,2.70552,-1.52639,-0.01644,0.33214,0.89286,5.11647
3.64296,0.61998,2.63632,-1.52751,-0.01590,0.34160,0.88340,5.18372
3.71214,0.62294,2.56720,-1.52859,-0.01535,0.35084,0.87416,5.25003
3.78124,0.62582,2.49816,-1.52963,-0.01478,0.35987,0.86513,5.31542
3.85026,0.62862,2.42920,-1.53063,-0.01421,0.36869,0.83131,5.37996
3.91922,0.63136,2.36029,-1.53159,-0.01362,0.35231,0.82269,5.44367
3.98813,0.63403,2.29144,-1.53251,-0.01302,0.36072,0.81428,5.50660
4.05699,0.63663,2.22262,-1.53339,-0.01241,0.41893,0.80607,5.56878
4.12582,0.63918,2.15384,-1.53422,-0.01179,0.42693,0.79807,5.63024
4.19463,0.64167,2.08507,-1.53501,-0.01116,0.43473,0.79027,5.69102
4.26343,0.64410,2.01632,-1.53575,-0.01053,0.44233,0.73267,5.75115
4.33223,0.64649,1.94756,-1.53646,-0.00989,0.47473,0.75027,5.81065
4.40103,0.64882,1.87880,-1.53712,-0.00925,0.48194,0.74306,5.86955
4.46985,0.65112,1.81002,-1.53773,-0.00860,0.48894,0.73606,5.92789
4.53870,0.65338,1.74121,-1.53830,-0.00794,0.49575,0.72925,5.98568
4.60759,0.65560,1.67235,-1.53882,-0.00729,0.50237,0.72263,6.04295
4.67652,0.65778,1.60345,-1.53930,-0.00663,0.50879,0.71621,6.09972
4.74552,0.65994,1.53449,-1.53974,-0.00597,0.51502,0.70998,6.15602
4.81458,0.66207,1.46546,-1.54013,-0.00531,0.52106,0.65394,6.21186
4.88373,0.66418,1.39635,-1.54047,-0.00465,0.50191,0.67309,6.26727
4.95296,0.66626,1.32715,-1.54077,-0.00400,0.50757,0.66743,6.32226
5.02229,0.66834,1.25785,-1.54103,-0.00334,0.51304,0.66196,6.37685
5.09173,0.67040,1.18844,-1.54127,-0.00354,0.51833,0.65667,6.43107
5.16128,0.67244,1.11892,-1.54157,-0.00500,0.52344,0.65156,6.48492
5.23094,0.67446,1.04929,-1.54197,-0.00645,0.52836,0.64664,6.53840
5.30069,0.67646,0.97957,-1.54247,-0.00790,0.53310,0.64190,6.59153
5.37052,0.67842,0.90976,-1.54307,-0.00934,0.53766,0.63734,6.64429
5.44044,0.68033,0.83987,-1.54377,-0.01078,0.54204,0.65796,6.69670
5.51043,0.68220,0.76991,-1.54458,-0.01221,0.52124,0.65376,6.74875
