# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-1.14396,5.22579,0.12757,-0.99173,1.00000,1.17500,2.45497
0.06796,-1.07657,5.23444,0.09591,-0.91825,0.97500,1.20000,2.46491
0.13685,-1.00783,5.23889,0.03489,-0.85239,0.97500,1.25000,2.51368
0.20668,-0.93801,5.23927,-0.02261,-0.79381,0.95000,1.27500,2.57197
0.27741,-0.86738,5.23571,-0.07699,-0.74298,0.95000,1.22500,2.63538
0.34899,-0.79619,5.22833,-0.12864,-0.69971,0.95000,1.20000,2.70143
0.42134,-0.72470,5.21726,-0.17798,-0.66372,0.95000,1.15000,2.76841
0.49434,-0.65319,5.20261,-0.22540,-0.63464,0.92500,1.12500,2.83495
0.56789,-0.58191,5.18451,-0.27127,-0.61211,0.92500,1.10000,2.89985
0.64186,-0.51112,5.16310,-0.31597,-0.59582,0.97500,1.07500,2.96197
0.71610,-0.44109,5.13848,-0.35984,-0.58551,0.95000,1.07500,3.02010
0.79046,-0.37207,5.11078,-0.40324,-0.58106,0.95000,1.05000,3.07289
0.86481,-0.30434,5.08014,-0.44651,-0.58240,0.92500,1.05000,3.08386
0.93899,-0.23815,5.04667,-0.49000,-0.58961,0.90000,1.05000,3.03550
1.01284,-0.17377,5.01049,-0.53406,-0.60287,0.87500,1.05000,2.98140
1.08623,-0.11145,4.97174,-0.57904,-0.62249,0.92500,1.05000,2.92339
1.15901,-0.05147,4.93053,-0.62533,-0.64878,0.90000,1.05000,2.86315
1.23106,0.00593,4.88700,-0.67331,-0.68263,0.90000,1.07500,2.80456
1.30225,0.06046,4.84125,-0.72339,-0.72307,0.90000,1.07500,2.75008
1.37248,0.11189,4.79342,-0.77599,-0.77659,0.92500,1.05000,2.70771
1.44168,0.15993,4.74364,-0.83084,-0.81979,0.90000,1.05000,2.70535
1.50988,0.20448,4.69201,-0.88619,-0.81025,0.92500,1.00000,2.70299
1.57732,0.24566,4.63861,-0.94044,-0.79818,0.92500,0.92500,2.72092
1.64421,0.28362,4.58355,-0.99305,-0.77579,0.90000,0.87500,2.73982
1.71074,0.31850,4.52689,-1.04369,-0.74661,0.92500,0.87500,2.76658
1.77710,0.35044,4.46874,-1.09205,-0.71142,0.95000,0.85000,2.80057
1.84343,0.37960,4.40917,-1.13792,-0.67186,0.95000,0.80000,2.84143
1.90985,0.40611,4.34828,-1.18113,-0.62929,0.95000,0.75000,2.88858
1.97647,0.43012,4.28614,-1.22158,-0.58501,0.92500,0.72500,2.94144
2.04338,0.45178,4.22284,-1.25921,-0.54006,0.92500,0.67500,2.99942
2.11062,0.47124,4.15848,-1.29403,-0.49531,0.92500,0.70000,3.06195
2.17824,0.48863,4.09313,-1.32604,-0.45139,0.90000,0.65000,3.12851
2.24628,0.50411,4.02688,-1.35530,-0.40875,0.87500,0.67500,3.19856
2.31472,0.51781,3.95983,-1.38188,-0.36765,0.85000,0.65000,3.27165
2.38357,0.52989,3.89205,-1.40584,-0.32824,0.82500,0.62500,3.34732
2.45281,0.54048,3.82363,-1.42726,-0.29054,0.77500,0.67500,3.42516
2.52240,0.54974,3.75465,-1.44623,-0.25450,0.72500,0.65000,3.50479
2.59230,0.55781,3.68522,-1.46282,-0.21997,0.70000,0.70000,3.58584
2.66248,0.56484,3.61540,-1.47710,-0.18681,0.65000,0.67500,3.66797
2.73285,0.57096,3.54529,-1.48912,-0.15479,0.65000,0.67500,3.75084
2.80338,0.57633,3.47497,-1.49894,-0.12375,0.65000,0.67500,3.83413
2.87398,0.58109,3.40453,-1.50661,-0.09311,0.60000,0.67500,3.91749
2.94458,0.58539,3.33406,-1.51213,-0.06393,0.60000,0.67500,4.00060
3.01512,0.58937,3.26363,-1.51557,-0.03091,0.60000,0.67500,4.08300
3.08551,0.59317,3.19334,-1.51749,-0.01764,0.55000,0.67500,4.16439
3.15573,0.59686,3.12322,-1.51888,-0.01996,0.55000,0.67500,4.24408
3.22578,0.60045,3.05327,-1.52022,-0.01877,0.55000,0.67500,4.32194
3.29567,0.60394,2.98346,-1.52153,-0.01851,0.55000,0.67500,4.39813
3.36542,0.60733,2.91379,-1.52280,-0.01797,0.55000,0.67500,4.47272
3.43504,0.61062,2.84425,-1.52403,-0.01749,0.60000,0.65000,4.54582
3.50453,0.61383,2.77483,-1.52523,-0.01697,0.57500,0.65000,4.61751
3.57391,0.61695,2.70552,-1.52639,-0.01645,0.57500,0.65000,4.68786
3.64318,0.61998,2.63632,-1.52751,-0.01591,0.57500,0.65000,4.75695
3.71236,0.62294,2.56720,-1.52859,-0.01535,0.57500,0.65000,4.82483
3.78146,0.62582,2.49816,-1.52963,-0.01478,0.57500,0.65000,4.89158
3.85048,0.62862,2.42920,-1.53063,-0.01421,0.57500,0.62500,4.95725
3.91944,0.63136,2.36029,-1.53159,-0.01362,0.55000,0.62500,5.02189
3.98835,0.63403,2.29144,-1.53251,-0.01302,0.55000,0.62500,5.08555
4.05722,0.63663,2.22262,-1.53339,-0.01241,0.60000,0.62500,5.14828
4.12605,0.63918,2.15384,-1.53422,-0.01179,0.60000,0.62500,5.21012
4.19486,0.64167,2.08507,-1.53501,-0.01116,0.60000,0.62500,5.27111
4.26365,0.64410,2.01632,-1.53575,-0.01053,0.60000,0.57500,5.33130
4.33245,0.64649,1.94756,-1.53646,-0.00989,0.62500,0.60000,5.39071
