# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-1.14396,5.22579,0.12766,-0.98648,1.00000,1.17500,2.82838
0.06795,-1.07657,5.23444,0.09594,-0.92239,0.97500,1.20000,2.85145
0.13685,-1.00783,5.23889,0.03484,-0.85220,0.97500,1.25000,2.90313
0.20668,-0.93801,5.23927,-0.02264,-0.79244,0.95000,1.27500,2.96865
0.27741,-0.86738,5.23571,-0.07699,-0.74410,0.95000,1.22500,3.04063
0.34899,-0.79619,5.22833,-0.12860,-0.69659,0.95000,1.20000,3.11504
0.42134,-0.72470,5.21726,-0.17796,-0.66704,0.95000,1.15000,3.19195
0.49434,-0.65319,5.20261,-0.22546,-0.63573,0.92500,1.12500,3.26652
0.56789,-0.58191,5.18451,-0.27125,-0.60685,0.92500,1.10000,3.34020
0.64185,-0.51112,5.16310,-0.31592,-0.60033,0.97500,1.07500,3.41292
0.71609,-0.44109,5.13848,-0.35988,-0.58512,0.95000,1.07500,3.47774
0.79046,-0.37207,5.11078,-0.40324,-0.57931,0.95000,1.05000,3.53872
0.86481,-0.30434,5.08014,-0.44648,-0.58230,0.92500,1.05000,3.55029
0.93899,-0.23815,5.04667,-0.49003,-0.59337,0.90000,1.05000,3.49336
1.01284,-0.17377,5.01049,-0.53407,-0.59713,0.87500,1.05000,3.43272
1.08623,-0.11145,4.97174,-0.57904,-0.62885,0.92500,1.05000,3.36638
1.15901,-0.05147,4.93053,-0.62529,-0.64022,0.90000,1.05000,3.30024
1.23106,0.00593,4.88700,-0.67330,-0.69251,0.90000,1.07500,3.23786
1.30224,0.06046,4.84125,-0.72343,-0.71583,0.90000,1.07500,3.17542
1.37249,0.11189,4.79342,-0.77596,-0.77973,0.92500,1.05000,3.13042
1.44168,0.15993,4.74364,-0.83083,-0.81795,0.90000,1.05000,3.12737
1.50988,0.20448,4.69201,-0.88623,-0.81439,0.92500,1.00000,3.12465
1.57732,0.24566,4.63861,-0.94043,-0.79227,0.92500,0.92500,3.13739
1.64420,0.28362,4.58355,-0.99303,-0.78000,0.90000,0.87500,3.16549
1.71075,0.31850,4.52689,-1.04371,-0.74593,0.92500,0.87500,3.19183
1.77710,0.35044,4.46874,-1.09204,-0.70961,0.95000,0.85000,3.23110
1.84343,0.37960,4.40917,-1.13789,-0.67290,0.95000,0.80000,3.27837
1.90984,0.40611,4.34828,-1.18116,-0.63068,0.95000,0.75000,3.33145
1.97647,0.43012,4.28614,-1.22163,-0.58543,0.92500,0.72500,3.39102
2.04337,0.45178,4.22284,-1.25918,-0.53524,0.92500,0.67500,3.45677
2.11061,0.47124,4.15848,-1.29399,-0.50070,0.92500,0.70000,3.52899
2.17824,0.48863,4.09313,-1.32603,-0.44704,0.90000,0.65000,3.60319
2.24628,0.50411,4.02688,-1.35529,-0.41266,0.87500,0.67500,3.68362
2.31472,0.51781,3.95983,-1.38187,-0.36396,0.85000,0.65000,3.76573
2.38356,0.52989,3.89205,-1.40586,-0.33271,0.82500,0.62500,3.85222
2.45280,0.54048,3.82363,-1.42732,-0.28782,0.77500,0.67500,3.93973
2.52240,0.54974,3.75465,-1.44624,-0.25502,0.72500,0.65000,4.03044
