# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-1.11300,5.03878,0.08130,-0.58856,1.00000,1.17500,2.62776
0.09978,-1.01356,5.04688,0.05365,-0.55162,0.97500,1.22255,2.76072
0.19957,-0.91382,5.04948,-0.00048,-0.53025,0.95245,1.27255,2.88340
0.29935,-0.81408,5.04679,-0.05267,-0.51355,0.95000,1.21618,2.99493
0.39913,-0.71462,5.03898,-0.10366,-0.50706,0.95000,1.15982,3.09614
0.49891,-0.61568,5.02615,-0.15400,-0.50007,0.92500,1.11864,3.18537
0.59869,-0.51750,5.00838,-0.20443,-0.50678,0.96027,1.08236,3.25188
0.69848,-0.42035,4.98565,-0.25603,-0.52442,0.95000,1.07109,3.17846
0.79826,-0.32453,4.95786,-0.30993,-0.55059,0.93482,1.05000,3.09979
0.89804,-0.23039,4.92481,-0.36766,-0.60216,0.89855,1.05000,3.03357
0.99783,-0.13841,4.88617,-0.43009,-0.65640,0.90045,1.05000,3.00231
1.09761,-0.04913,4.84166,-0.49545,-0.66734,0.90100,1.05000,2.99848
1.19739,0.03703,4.79136,-0.55980,-0.64228,0.90000,1.07500,2.99465
1.29720,0.11989,4.73575,-0.61660,-0.53601,0.92155,1.05345,3.03719
1.39703,0.19984,4.67597,-0.65547,-0.27203,0.90782,1.03436,3.12514
1.49676,0.27807,4.61412,-0.67286,0.00670,0.92500,0.94273,3.26125
1.59652,0.35584,4.55165,-0.68764,-0.22781,0.90536,0.87500,3.40677
1.69629,0.43225,4.48749,-0.71778,-0.39999,0.94164,0.85836,3.30203
1.79607,0.50612,4.42043,-0.76140,-0.49319,0.95000,0.79418,3.21759
1.89586,0.57665,4.34985,-0.81329,-0.55339,0.93582,0.73582,3.15057
1.99564,0.64318,4.27550,-0.87081,-0.60907,0.92500,0.67545,3.13217
2.09543,0.70514,4.19730,-0.93111,-0.61315,0.91327,0.67655,3.12818
2.19521,0.76224,4.11549,-0.99082,-0.58952,0.87700,0.67300,3.12418
2.29499,0.81444,4.03047,-1.04815,-0.56058,0.84073,0.64073,3.16518
2.39478,0.86180,3.94266,-1.10268,-0.53256,0.78391,0.66609,3.21620
2.49456,0.90444,3.85245,-1.15437,-0.50454,0.71818,0.66364,3.27306
2.59434,0.94249,3.76022,-1.20306,-0.47207,0.66382,0.68191,3.33448
2.69413,0.97616,3.66630,-1.24853,-0.44000,0.65000,0.67500,3.40202
2.79391,1.00568,3.57099,-1.29064,-0.40516,0.61873,0.67500,3.47446
2.89369,1.03133,3.47457,-1.32918,-0.36714,0.60000,0.67500,3.55232
2.99348,1.05342,3.37726,-1.36414,-0.33401,0.57364,0.67500,3.63604
3.09326,1.07227,3.27928,-1.39532,-0.29304,0.55000,0.67500,3.72325
3.19304,1.08825,3.18079,-1.42244,-0.24795,0.55000,0.67500,3.81596
3.29283,1.10176,3.08193,-1.44622,-0.22296,0.55000,0.67500,3.91424
3.39261,1.11305,2.98279,-1.46801,-0.21168,0.59173,0.65000,4.01278
3.49239,1.12224,2.88343,-1.48854,-0.19943,0.57500,0.65000,4.10883
3.59217,1.12945,2.78391,-1.50802,-0.19057,0.57500,0.65000,4.20301
3.69195,1.13476,2.68428,-1.52644,-0.18173,0.57500,0.65000,4.29489
3.79173,1.13829,2.58456,-1.54287,-0.15398,0.57164,0.62500,4.38480
3.89152,1.14033,2.48480,-1.55596,-0.10772,0.55000,0.62500,4.47720
3.99130,1.14126,2.38502,-1.56582,-0.08301,0.60000,0.62500,4.57439
4.09108,1.14132,2.28524,-1.57405,-0.07856,0.60000,0.62500,4.67191
4.19086,1.14061,2.18546,-1.58167,-0.07429,0.60000,0.57809,4.76730
4.29064,1.13915,2.08569,-1.58884,-0.06960,0.62500,0.60000,4.86072
4.39042,1.13701,1.98593,-1.59553,-0.06444,0.62500,0.60000,4.95236
4.49021,1.13422,1.88619,-1.60174,-0.05986,0.62500,0.60000,5.04240
4.58999,1.13083,1.78646,-1.60751,-0.05582,0.62500,0.60000,5.13089
4.68977,1.12689,1.68676,-1.61282,-0.05056,0.62500,0.59036,5.21787
4.78955,1.12245,1.58707,-1.61766,-0.04642,0.60891,0.56609,5.30357
4.88934,1.11754,1.48741,-1.62206,-0.04172,0.60000,0.57500,5.38794
4.98912,1.11222,1.38777,-1.62601,-0.03751,0.60000,0.57500,5.47111
5.08890,1.10653,1.28815,-1.62950,-0.03262,0.60000,0.57500,5.55308
5.18868,1.10051,1.18855,-1.63250,-0.02739,0.60000,0.57500,5.63398
5.28847,1.09422,1.08897,-1.63507,-0.02413,0.60000,0.57500,5.71383
5.38825,1.08770,0.98940,-1.63718,-0.01855,0.59127,0.60000,5.79255
5.48803,1.08098,0.88984,-1.63875,-0.01333,0.57500,0.60000,5.87030
5.58781,1.07415,0.79029,-1.63962,-0.00496,0.57500,0.60000,5.94704
5.68760,1.06726,0.69075,-1.63956,0.00605,0.57500,0.60000,6.02282
5.78738,1.06043,0.59120,-1.63856,0.01429,0.57500,0.55000,6.09744
