# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-1.11300,5.03878,0.08130,-0.58781,1.00000,1.17500,2.63684
0.09978,-1.01356,5.04688,0.05365,-0.55170,0.97500,1.22255,2.76870
0.19956,-0.91382,5.04948,-0.00048,-0.53024,0.95245,1.27255,2.89032
0.29935,-0.81408,5.04679,-0.05267,-0.51362,0.95000,1.21618,3.00094
0.39913,-0.71462,5.03898,-0.10366,-0.50696,0.95000,1.15982,3.10132
0.49891,-0.61568,5.02615,-0.15400,-0.50024,0.92500,1.11864,3.18984
0.59869,-0.51750,5.00838,-0.20443,-0.50708,0.96027,1.08236,3.25311
0.69848,-0.42035,4.98565,-0.25603,-0.52455,0.95000,1.07109,3.18011
0.79826,-0.32453,4.95786,-0.30993,-0.55136,0.93482,1.05000,3.10202
0.89804,-0.23039,4.92481,-0.36766,-0.60260,0.89855,1.05000,3.03694
0.99782,-0.13841,4.88617,-0.43009,-0.65490,0.90045,1.05000,3.00563
1.09761,-0.04913,4.84166,-0.49545,-0.66587,0.90100,1.05000,3.00180
1.19739,0.03703,4.79136,-0.55980,-0.64096,0.90000,1.07500,2.99796
1.29717,0.11989,4.73575,-0.61660,-0.53050,0.92155,1.05345,3.04035
1.39695,0.19984,4.67597,-0.65547,-0.26604,0.90782,1.03436,3.12971
1.49674,0.27807,4.61412,-0.67286,-0.00176,0.92500,0.94273,3.26632
1.59652,0.35584,4.55165,-0.68764,-0.22922,0.90536,0.87500,3.40936
1.69630,0.43225,4.48749,-0.71778,-0.39824,0.94164,0.85836,3.30265
1.79608,0.50612,4.42043,-0.76140,-0.49310,0.95000,0.79418,3.21828
1.89587,0.57665,4.34985,-0.81329,-0.55339,0.93582,0.73582,3.15147
1.99565,0.64318,4.27550,-0.87081,-0.60875,0.92500,0.67545,3.13160
2.09543,0.70514,4.19730,-0.93111,-0.61338,0.91327,0.67655,3.12760
2.19521,0.76224,4.11549,-0.99082,-0.58964,0.87700,0.67300,3.12361
2.29499,0.81444,4.03047,-1.04815,-0.56068,0.84073,0.64073,3.16470
2.39478,0.86180,3.94266,-1.10268,-0.53262,0.78391,0.66609,3.21578
2.49456,0.90444,3.85245,-1.15437,-0.50445,0.71818,0.66364,3.27270
2.59434,0.94249,3.76022,-1.20306,-0.47207,0.66382,0.68191,3.33423
2.69412,0.97616,3.66630,-1.24853,-0.43993,0.65000,0.67500,3.40182
2.79391,1.00568,3.57099,-1.29064,-0.40496,0.61873,0.67500,3.47431
2.89369,1.03133,3.47457,-1.32918,-0.36735,0.60000,0.67500,3.55227
2.99347,1.05342,3.37726,-1.36414,-0.33376,0.57364,0.67500,3.63592
3.09325,1.07227,3.27928,-1.39532,-0.29257,0.55000,0.67500,3.72321
3.19304,1.08825,3.18079,-1.42244,-0.24878,0.55000,0.67500,3.81605
3.29282,1.10176,3.08193,-1.44622,-0.22390,0.55000,0.67500,3.91413
3.39260,1.11305,2.98279,-1.46801,-0.21166,0.59173,0.65000,4.01248
3.49238,1.12224,2.88343,-1.48854,-0.19954,0.57500,0.65000,4.10854
3.59217,1.12945,2.78391,-1.50802,-0.19078,0.57500,0.65000,4.20271
3.69195,1.13476,2.68428,-1.52644,-0.18083,0.57500,0.65000,4.29456
3.79173,1.13829,2.58456,-1.54287,-0.15245,0.57164,0.62500,4.38470
3.89151,1.14033,2.48480,-1.55596,-0.10864,0.55000,0.62500,4.47741
3.99129,1.14126,2.38502,-1.56582,-0.08459,0.60000,0.62500,4.57446
4.09108,1.14132,2.28524,-1.57405,-0.07870,0.60000,0.62500,4.67180
4.19086,1.14061,2.18546,-1.58167,-0.07421,0.60000,0.57809,4.76718
4.29064,1.13915,2.08569,-1.58884,-0.06958,0.62500,0.60000,4.86061
4.39042,1.13701,1.98593,-1.59553,-0.06446,0.62500,0.60000,4.95225
4.49021,1.13422,1.88619,-1.60174,-0.05992,0.62500,0.60000,5.04229
4.58999,1.13083,1.78646,-1.60751,-0.05573,0.62500,0.60000,5.13078
4.68977,1.12689,1.68676,-1.61282,-0.05062,0.62500,0.59036,5.21777
4.78955,1.12245,1.58707,-1.61766,-0.04640,0.60891,0.56609,5.30347
4.88934,1.11754,1.48741,-1.62206,-0.04174,0.60000,0.57500,5.38784
4.98912,1.11222,1.38777,-1.62601,-0.03749,0.60000,0.57500,5.47101
5.08890,1.10653,1.28815,-1.62950,-0.03255,0.60000,0.57500,5.55299
5.18868,1.10051,1.18855,-1.63250,-0.02754,0.60000,0.57500,5.63389
5.28847,1.09422,1.08897,-1.63507,-0.02400,0.60000,0.57500,5.71374
5.38825,1.08770,0.98940,-1.63718,-0.01855,0.59127,0.60000,5.79247
5.48803,1.08098,0.88984,-1.63875,-0.01318,0.57500,0.60000,5.87021
5.58781,1.07415,0.79029,-1.63962,-0.00469,0.57500,0.60000,5.94696
5.68760,1.06726,0.69075,-1.63956,0.00587,0.57500,0.60000,6.02274
5.78738,1.06043,0.59120,-1.63856,0.01432,0.57500,0.55000,6.09737
5.88716,1.05375,0.49164,-1.63665,0.02385,0.57500,0.55000,6.17065
5.98694,1.04730,0.39207,-1.63379,0.03345,0.57500,0.55136,6.24227
6.08672,1.04119,0.29247,-1.62999,0.04276,0.56236,0.57500,6.31192
6.18651,1.03549,0.19285,-1.62528,0.05201,0.55000,0.57500,6.37929
6.28629,1.03032,0.09321,-1.61981,0.05859,0.55000,0.57500,6.44400
6.38607,1.02572,-0.00647,-1.61402,0.05835,0.55000,0.57500,6.50624
6.48585,1.02169,-0.10617,-1.60839,0.05483,0.55000,0.57500,6.56752
6.58564,1.01822,-0.20589,-1.60305,0.05146,0.55000,0.57500,6.62866
6.68542,1.01526,-0.30563,-1.59779,0.05376,0.55000,0.57500,6.68963
6.78520,1.01283,-0.40538,-1.59246,0.05413,0.55000,0.57500,6.74915
6.88498,1.01094,-0.50515,-1.58750,0.04647,0.57500,0.60000,6.80766
6.98477,1.00950,-0.60492,-1.58351,0.03351,0.57500,0.60000,6.86711
7.08455,1.00840,-0.70470,-1.58063,0.02355,0.62500,0.60000,6.92816
