#{"t_start": 1787601019.2743146, "env_id": "None"}
r,l,t
3650.798597,4400,245.955908
3671.87638,4400,490.828181
3585.354563,4400,736.614302
3488.311634,4400,982.653015
3507.237285,4400,1229.053275
3668.030084,4400,1475.479279
3707.244436,4400,1722.23788
3740.391051,4400,1968.828912
2516.246581,2993,2136.439732
3763.258882,4400,2383.602321
3758.987683,4400,2629.484562
3823.111685,4400,2876.10181
1506.240321,1767,2975.23967
3796.390206,4400,3221.824311
1355.27248,1602,3311.828172
3782.46537,4400,3558.416797
3188.414748,3909,3776.693074
3856.086324,4400,4023.323091
3805.3912,4400,4270.19381
2484.661886,2910,4433.442634
3742.728993,4260,4671.719937
3897.378959,4400,4917.859145
1984.870782,2333,5049.006107
3871.534869,4400,5295.174791
3810.926507,4400,5541.158912
3926.6946,4400,5788.87087
3898.415274,4400,6035.003304
3949.965432,4400,6281.595725
3979.140685,4400,6527.821736
4013.11468,4400,6774.350671
3930.374512,4400,7020.759664
2741.477558,3028,7190.708704
4025.640731,4400,7437.133126
4025.645744,4400,7684.069683
4015.780055,4400,7931.276847
2509.483012,2763,8086.058249
4070.502847,4400,8332.446223
309.308518,361,8353.868664
