#{"t_start": 1787641212.897058, "env_id": "None"}
r,l,t
88.65845,102,8.12055
-13.042586,14,9.683914
1.604121,28,12.023091
19.807219,42,15.370266
-5.170963,19,17.235925
-4.403506,22,19.297368
9.944759,29,22.24785
-12.431436,18,24.025676
21.161249,39,27.185649
39.716752,55,31.23696
46.191455,60,35.623464
45.190579,54,39.670336
44.795926,56,43.640379
47.952944,51,47.716109
40.380627,53,51.750071
37.524157,44,55.746616
38.09177,56,59.683088
45.817017,62,63.952709
36.269715,58,68.04895
36.895113,53,72.256358
-4.831837,15,74.333263
54.74183,107,81.007238
47.875368,72,85.77647
41.316638,60,90.273407
55.265922,78,95.425246
114.788912,133,103.580216
41.377798,62,107.802886
76.779869,95,114.159423
40.937133,61,118.367436
45.610693,61,122.539346
66.632507,92,128.417514
27.075084,42,131.903136
106.310479,133,140.05833
48.444257,65,144.466309
47.644458,71,149.221591
37.997903,58,153.679203
38.974102,60,157.914765
36.900555,56,162.446762
41.345827,58,166.549536
59.502311,104,173.371478
42.783954,68,177.931455
40.406593,69,182.53527
114.212885,147,191.440634
-5.837795,23,193.829993
36.829364,76,198.805251
43.747216,75,203.740184
43.977267,69,208.356259
41.379323,68,213.244356
38.668911,61,217.548118
112.872294,135,226.099199
72.164448,105,232.715225
29.614317,56,236.823648
41.940155,69,241.42725
43.267772,71,246.203288
109.734278,141,254.860337
135.922551,178,265.81937
36.780772,62,270.074045
43.40115,69,274.683577
100.430933,135,282.91531
186.28938,223,296.375345
32.530905,55,300.216024
48.779531,79,305.352482
94.681348,129,313.389218
138.092932,166,323.761019
-8.737859,27,326.036993
93.652125,128,333.929411
40.776126,66,338.427876
107.547998,144,347.396711
99.407596,141,356.051565
45.375785,83,361.432558
106.604395,140,369.990985
66.445767,94,376.432787
72.874081,106,383.09754
347.778868,393,405.83645
73.424285,111,412.806956
109.831602,150,422.343629
50.09583,85,427.848444
42.621678,87,433.472722
104.71573,135,441.767136
120.30647,149,451.297539
110.125335,141,459.900226
186.666163,237,473.877203
74.422612,104,480.41822
108.297023,128,488.6084
77.271205,97,494.813561
102.953385,134,503.004281
235.793746,287,519.865282
48.646392,72,525.148587
113.677557,133,533.283412
55.569406,94,539.267154
51.146164,89,544.987499
38.542077,61,549.687166
102.168636,142,558.378131
35.959224,69,562.994769
180.347533,207,575.377974
48.370991,72,580.430519
50.525297,79,585.596316
39.004617,70,590.268191
35.002501,64,594.600397
42.251569,69,599.534518
36.593333,59,603.636848
34.290924,65,608.031895
37.943013,57,612.051275
38.694193,59,616.505362
25.282149,59,620.560155
24.88371,61,624.732595
37.181049,67,629.236812
35.360298,63,633.894567
40.544963,66,638.352816
41.944104,62,642.573867
36.785624,68,647.222568
35.865471,67,651.998907
35.562768,63,656.32259
115.121797,157,665.944521
41.305525,65,670.331883
36.97846,69,675.266505
43.039603,74,680.14623
70.529804,112,687.136383
78.08969,104,693.834353
400.16589,464,720.580918
272.056754,291,737.618747
213.595037,229,751.126153
48.818464,79,756.449183
76.193139,104,763.014558
79.351864,105,769.658333
116.180296,150,778.78511
126.935297,141,787.352299
116.015569,139,795.854255
55.656396,77,800.943279
114.881213,141,809.544302
107.35251,133,817.81102
104.58507,145,826.716488
59.651165,82,832.04889
261.39354,292,849.110712
73.496643,106,855.75328
58.192934,83,861.133269
51.889422,78,866.194334
86.786026,120,873.729302
418.356418,440,898.959906
42.92981,71,903.652272
38.622568,66,908.09419
83.898814,115,915.333408
48.43581,79,920.476597
113.966184,149,929.535333
34.837489,64,933.924539
107.544275,136,942.342665
80.410922,119,949.853763
49.281577,78,954.948951
76.22178,107,961.641381
113.001979,168,971.839217
109.683765,132,979.979386
234.388355,255,995.028907
179.770579,231,1008.64132
50.989953,77,1013.785754
113.290262,145,1022.601058
147.578587,185,1033.722941
77.552973,106,1040.426647
116.881044,146,1049.340315
37.590864,65,1053.726389
34.818713,72,1058.607603
242.6098,292,1075.607296
267.334883,339,1095.270106
230.582684,278,1111.531504
70.842493,102,1118.089283
80.350931,111,1125.037722
121.204545,176,1135.633434
478.678102,574,1168.401299
59.639553,96,1174.545083
449.561274,525,1204.526268
114.508031,142,1213.218187
389.851535,429,1237.951596
77.067675,109,1244.815029
125.140721,152,1254.220367
66.000423,105,1260.808448
407.614466,465,1287.515207
704.720465,755,1330.514242
274.971389,317,1348.897065
51.380908,75,1354.179871
262.267906,310,1372.171651
515.386085,570,1404.698345
263.643869,297,1422.026353
225.324506,257,1437.206263
126.02545,150,1446.358419
227.970218,264,1461.898151
831.718135,907,1513.195505
566.180728,602,1547.940277
356.618463,400,1570.894634
214.388788,251,1585.686136
76.626729,105,1592.350441
214.22516,245,1606.822305
79.233321,105,1613.440428
49.699034,78,1618.659193
69.891014,99,1624.926686
364.047582,421,1649.008485
121.37796,146,1657.982803
118.316961,134,1666.277525
357.153961,402,1689.538231
913.614108,1001,1746.009703
823.328221,886,1796.098586
200.298865,255,1811.14284
115.856763,146,1819.985673
494.179223,542,1851.076468
122.052237,148,1860.135402
339.878691,377,1881.966265
360.90289,399,1904.94986
615.548213,711,1945.487829
813.07189,924,1997.542351
184.527533,216,2010.495543
