#{"t_start": 1787658536.5629458, "env_id": "None"}
r,l,t
269.653053,293,19.472004
45.183243,72,24.254161
190.059236,245,38.816758
55.225831,85,44.695742
110.990528,143,53.678577
87.331279,117,61.050291
194.718673,230,74.780443
254.272,313,93.362725
66.243225,104,100.005599
75.719443,105,106.8216
470.610875,548,138.485078
273.792509,364,159.725194
40.095826,86,165.506415
197.502082,240,179.902103
41.876925,68,184.490634
47.905881,86,190.079357
337.168218,412,213.963709
123.445173,175,224.565832
118.871075,156,234.12867
-5.484211,29,236.525455
146.139853,198,248.294094
-5.709487,26,250.511061
253.126615,368,272.036358
251.355806,428,296.763201
0.517145,27,299.054775
30.512416,69,303.731815
-0.819223,34,306.461733
102.185839,202,318.657048
47.816999,77,323.723302
43.913412,66,328.221572
106.924733,144,337.356435
38.247967,79,342.514589
-4.617486,39,345.535552
32.267844,74,350.420916
207.200691,281,366.921013
239.481817,287,384.52393
50.351346,150,393.685868
45.454536,80,398.892579
32.523476,75,403.862757
59.113519,88,409.853025
117.050789,183,420.765309
182.898452,280,437.1052
40.132864,77,442.144643
10.381362,34,444.969597
348.470914,433,469.876937
191.189203,204,484.36974
33.387932,66,489.495706
107.541657,146,498.363541
-5.337005,19,500.253459
-4.888411,27,502.536219
2.165442,29,505.091294
42.992817,78,510.345312
68.612049,109,517.654391
41.767175,68,522.236523
32.524668,59,526.354895
50.856296,81,531.684266
33.986853,69,536.437571
33.568876,67,540.979108
-4.37835,16,543.17264
78.582629,79,550.550294
8.88105,28,553.668467
55.913544,63,559.964048
-5.531354,16,562.070618
63.521331,92,568.486491
197.110441,266,584.022844
-6.393087,20,585.959383
43.11698,78,591.056789
105.275116,141,599.646525
8.32506,37,602.598104
152.282479,215,615.543733
249.786974,347,635.681476
32.004868,79,641.399797
187.963456,255,656.345179
35.48185,65,660.767901
44.449369,79,665.938351
32.855243,78,671.056794
49.855797,86,676.594086
74.392858,112,683.593004
206.685809,267,699.336381
330.317759,443,724.743336
108.896203,162,734.545202
65.340591,111,741.52153
65.465175,109,748.339921
-6.173645,24,750.445505
35.675046,72,755.267511
206.29516,286,772.393633
36.761632,68,776.946588
40.049138,79,782.201362
213.40579,270,797.987025
69.087611,114,805.208475
66.579544,111,812.162655
50.179546,85,817.647136
-13.285821,17,819.43102
71.371357,108,826.318686
67.311179,104,832.883549
48.23643,76,837.97972
216.869868,272,853.945692
67.906232,108,860.860538
49.756113,78,866.052517
43.687342,70,870.759362
633.39603,774,914.902308
49.504829,79,920.038666
338.438933,407,943.54405
74.382629,115,950.763654
45.367838,75,955.684817
193.288789,233,969.632711
1028.593158,1200,1037.489686
71.3894,107,1044.317413
1068.395125,1199,1112.35043
70.738682,107,1119.241227
69.909588,108,1126.131889
224.14387,287,1142.890409
45.070548,70,1147.651443
109.729224,148,1156.73397
60.23576,83,1162.229459
53.541397,79,1167.428493
188.55997,235,1181.305127
76.94756,113,1188.330801
100.400232,140,1196.957634
51.710406,79,1202.125869
118.970729,157,1211.709395
294.767604,382,1234.090949
73.508157,109,1240.991177
48.016561,75,1245.980553
332.200701,389,1268.507389
202.725402,251,1283.320314
49.375519,78,1288.535553
511.016976,572,1321.221618
931.410761,1061,1381.364505
503.226418,587,1415.016762
76.040053,116,1422.249993
219.521553,272,1438.472283
55.640501,83,1443.924078
255.360149,320,1462.75548
292.952529,337,1482.865019
195.449162,239,1497.170622
73.391434,78,1504.116379
664.709521,743,1548.400439
503.230937,576,1582.406933
216.629832,280,1598.734704
726.989313,792,1644.147382
41.305764,69,1648.935479
77.762216,107,1655.648911
257.467522,310,1673.689319
281.330235,356,1694.417451
81.827747,108,1701.247452
50.520048,81,1706.516643
107.183398,149,1715.533067
785.016428,889,1765.971696
662.922868,759,1808.994806
528.166592,608,1844.098819
83.414114,115,1851.291187
1074.936256,1200,1919.359529
645.100852,771,1963.694285
1014.649733,1200,2031.459135
228.590222,290,2048.42339
1064.3763,1200,2116.201935
639.263588,726,2157.802509
1024.385859,1200,2225.776046
1032.677379,1200,2293.434776
282.402609,348,2313.557862
203.862509,235,2327.516644
387.403664,480,2355.074561
499.957559,559,2386.972443
317.500461,422,2411.401602
44.754146,78,2416.543367
892.09537,1042,2475.670387
513.049476,589,2509.534104
1072.585345,1200,2577.496296
186.466689,226,2590.97081
327.434201,403,2614.203726
44.953827,78,2619.31858
469.601267,584,2652.722692
348.828415,400,2675.858533
326.674589,380,2698.050176
212.936063,265,2713.60589
80.510086,121,2721.109723
137.705561,184,2732.334344
692.921854,800,2777.952805
207.551801,273,2794.030439
183.758727,244,2808.412369
272.59567,350,2828.848366
360.251984,446,2854.364232
1034.373277,1200,2922.107306
766.436798,924,2974.576689
767.860043,922,3026.908529
690.376718,813,3072.99342
238.821416,304,3090.694668
693.791927,834,3138.335068
195.635764,254,3153.389639
176.61459,220,3166.59369
929.265192,1105,3229.363851
336.539921,403,3252.708813
193.455026,256,3267.703473
352.757385,421,3292.122717
393.229492,482,3320.020364
35.758858,62,3324.25522
310.323119,420,3348.710002
221.354391,274,3365.267624
915.558974,1098,3428.107882
774.311874,904,3480.524653
927.581635,1084,3542.87702
79.937251,105,3549.756716
774.860968,953,3604.87854
135.279833,179,3615.868686
211.027856,257,3631.174214
75.861038,107,3638.079582
573.082284,668,3676.564505
176.782183,218,3689.698037
36.051605,61,3693.855599
624.485472,716,3735.677537
315.380596,380,3758.157127
1030.894223,1200,3826.939904
922.829259,1071,3889.2388
418.751339,534,3920.233258
83.828402,116,3927.452837
714.269837,790,3973.342858
345.533539,380,3995.942687
222.586801,264,4011.715195
934.456615,1066,4073.197723
149.950721,185,4084.470722
396.354981,464,4111.943506
183.882991,234,4126.16663
-4.56062,18,4128.117394
76.025554,107,4134.990667
-6.952708,20,4136.934701
394.071142,449,4163.927973
1101.136959,1200,4233.1524
423.874573,494,4262.071252
271.796291,346,4282.291696
508.699114,586,4316.531567
1095.774943,1200,4385.884208
227.739946,288,4403.125769
765.174578,866,4453.926843
920.179877,1018,4513.204695
775.704237,814,4560.928658
553.846548,619,4597.878287
1111.408942,1200,4667.639849
453.85666,495,4696.721
77.175073,92,4703.451279
