#{"t_start": 1789494789.018607, "env_id": "None"}
r,l,t
-18.258721,20,3.382644
-16.219198,19,5.064723
5.805646,45,8.116891
-16.643335,17,9.850296
-8.627621,25,11.831453
-17.275406,17,13.434396
-14.599123,20,15.203364
-9.612027,23,17.174284
-15.558785,18,18.991608
-17.011965,14,20.546438
-8.424927,21,22.386658
-6.279602,27,24.519371
4.846292,34,27.351521
-9.502447,28,29.49752
-7.825387,31,31.881592
-16.654343,20,33.621002
-11.515158,26,35.707138
-8.410244,25,37.685053
-14.92711,17,39.406597
-10.687512,25,41.584201
-15.204027,17,43.320563
-7.201008,23,45.301149
-16.117054,20,47.036187
-18.465972,14,48.518288
-17.697295,19,50.205066
-18.453106,20,52.032855
0.508042,39,54.782727
-8.798953,32,57.266015
-19.273119,18,58.854702
-4.221703,28,61.332788
-17.76796,18,63.102054
-8.806628,24,65.118115
4.69458,32,67.71059
-9.307054,27,69.95037
-7.899861,28,72.185687
-15.941257,20,73.957372
-15.081034,20,75.760266
-6.76535,19,77.600632
-18.406008,14,79.033861
-16.804389,24,80.986393
-7.973032,21,82.90051
-16.753733,15,84.618492
-5.820421,27,86.871067
-17.735827,25,88.904983
-19.093687,16,90.473799
-16.620395,19,92.214622
-18.491338,16,93.805211
-18.008317,18,95.48839
16.857575,43,98.586335
-16.780289,18,100.37096
-8.012478,22,102.374202
-12.468378,15,103.920427
42.88158,68,108.257933
-7.026767,24,110.570822
-7.605704,25,112.739864
-15.894164,20,114.517946
-16.329853,18,116.207497
-16.416765,18,117.855401
-7.192124,25,119.985039
-6.404054,20,121.901761
-14.727758,21,123.733988
4.404252,30,126.223659
-13.41649,16,128.11743
-14.969334,19,130.118536
-17.693895,17,131.720998
-6.726385,17,133.603746
7.966357,36,136.522312
18.882,38,139.915038
-4.94248,12,141.968334
-7.244439,25,144.152609
-14.489389,13,145.955033
5.428226,35,148.642275
-9.695491,26,150.841467
-7.474506,17,152.790078
-9.386285,23,154.890771
6.106376,25,157.537721
-7.712832,25,159.586967
-16.734381,16,161.206196
-17.041367,16,162.873531
-14.861392,19,164.668575
-19.361049,16,166.291043
-16.996382,18,168.027407
-8.097025,22,170.035084
-17.220351,16,171.661566
18.322124,54,175.503621
-6.547778,21,177.706795
-19.158816,12,179.355196
-15.310942,16,181.46631
5.389543,31,184.608309
-3.055515,29,187.014134
