#{"t_start": 1789547604.873539, "env_id": "None"}
r,l,t
-57.252104,20,3.233699
-50.875407,18,4.933513
-52.571593,19,6.664688
-51.890553,19,8.417917
-48.744167,23,10.515514
-44.788114,43,13.618978
-48.10106,22,15.551163
-57.901206,21,17.465795
-48.919425,19,19.283558
-51.004144,16,20.888329
-57.25275,20,22.667214
-48.360403,23,24.601348
-50.720773,20,26.450097
-51.94864,29,28.731177
-39.74591,45,31.869186
-50.763371,16,33.500366
-50.528588,27,35.667179
-47.165351,34,38.151706
-50.883089,21,40.026587
-47.676227,32,42.383594
-48.449109,36,44.951796
-50.457396,35,47.556328
-49.726022,18,49.284649
-45.27491,60,53.173991
-48.497123,24,55.209385
-53.090789,19,56.8999
-49.566449,21,58.778042
-52.06556,18,60.450597
-47.459733,44,63.592283
-54.266935,13,65.36543
-50.29432,26,67.602855
-44.799235,30,69.902399
-51.034602,19,71.621552
-49.97453,37,74.154083
-51.181476,17,75.735838
-53.01781,23,77.634747
-50.252733,25,79.621463
-54.232313,23,81.587411
-57.100734,17,83.203023
-48.055487,34,85.70684
-56.83623,17,87.328803
-49.856138,27,89.497145
-52.023531,16,91.08514
-54.82957,24,93.112409
-55.483493,18,94.776199
-50.559472,16,96.424987
-47.233633,26,98.820087
-54.272964,18,100.527416
-57.357453,38,103.170648
-53.586065,18,104.854863
-52.538895,46,107.922525
-48.981812,28,110.066959
-55.619359,16,111.671511
-47.490335,22,113.550116
-45.685586,31,115.827639
-51.422991,18,117.478618
-55.576039,22,119.344035
-49.351361,22,121.306283
-52.377982,21,123.155112
-49.130084,17,125.253752
-49.962097,11,126.853094
-50.476567,13,128.654028
-50.305083,29,131.003459
-56.528263,20,132.790414
-46.992598,37,135.452901
-43.731578,47,138.522422
-43.547226,39,141.307002
-53.642734,23,143.276177
-49.304066,24,145.357798
-50.407719,19,147.159173
-51.896373,22,149.088899
-46.263246,33,151.604091
-49.340622,20,153.376674
-56.431458,18,155.096345
-49.141395,19,156.928455
-56.252509,11,158.50887
-55.188949,12,160.237426
-44.966106,19,162.590449
-51.56555,15,164.154158
-53.414208,28,166.322816
-51.370599,18,168.038645
-50.839228,18,169.674644
-47.126127,28,171.890282
-56.666687,20,173.609699
-50.902418,21,175.404962
-50.840215,23,177.324109
-48.350874,33,179.72404
-48.322542,27,181.879344
-52.803956,19,183.577935
-61.966545,27,185.762606
-48.10739,51,190.283501
-55.009178,25,192.524042
-50.417181,23,194.438377
-44.443945,71,198.891874
-55.637954,18,200.590526
-52.49487,13,201.973233
-49.244182,35,204.473756
-39.904592,58,208.303536
-58.472918,18,209.928154
-56.592585,60,213.907002
-51.412517,18,215.554889
-49.276838,21,217.427496
-49.965803,17,219.439281
-49.564628,13,221.29314
-47.293565,16,223.379861
-52.699715,14,225.037925
-51.1804,28,227.355864
-54.307124,18,229.021348
-47.986611,31,231.421634
-47.203371,21,233.273391
-57.470613,27,235.472998
