#{"t_start": 1787521111.830546, "env_id": "None"}
r,l,t
-16.686315,20,3.179696
-19.12034,25,5.450574
-19.908453,21,7.511074
-12.780516,26,9.874517
-17.098161,35,12.678104
-15.947143,19,14.606282
-17.252507,19,16.514931
-2.692447,67,21.232046
-5.164432,34,24.195505
-9.832003,46,27.658328
-13.097011,30,30.22295
-15.90047,18,32.110986
-17.341354,19,34.030736
-15.716541,48,37.657411
-15.908896,21,39.691301
-14.852649,28,42.124257
-15.568764,18,43.996193
-17.899611,23,46.209153
-17.250769,20,48.197176
-15.997161,20,50.177237
-16.564255,19,52.124569
-14.694781,29,54.638915
-13.506212,33,57.432085
-10.645424,26,59.763193
-9.050674,41,62.968859
-21.460853,23,65.109003
-14.092799,30,67.680647
-21.382717,28,70.015136
-16.809407,21,71.963131
-18.215658,27,74.229378
-12.768854,29,76.629137
-18.015058,24,78.741085
-16.668995,19,80.576967
-17.111586,39,83.572211
-17.944833,23,85.635325
-12.196212,29,88.007106
-12.734105,25,90.167329
-18.267357,21,92.11096
-11.217049,27,94.39033
-19.372143,24,96.504829
-14.472787,45,99.781941
-13.163686,42,102.886096
0.291125,93,108.870121
-7.538186,37,111.709997
-16.296648,17,113.423439
-11.916093,36,116.190446
-12.222185,31,118.686064
-11.008282,25,120.859479
-17.84961,22,122.845234
-16.685269,17,124.566645
-16.84807,22,126.574315
-11.517128,29,128.975809
-12.901057,32,131.530074
-19.465835,36,134.335188
-4.568948,33,136.947525
2.285937,103,143.431232
-19.303059,23,145.491377
-10.932179,44,148.699057
-8.038055,45,151.977912
-17.97343,25,154.137232
-17.950129,19,155.976297
-17.987522,21,157.954566
-17.696991,22,159.992909
-13.83138,27,162.270287
-21.933499,34,164.943131
-10.181851,41,167.991151
-18.290386,20,169.887018
-12.033017,26,172.114114
-9.258006,42,175.211274
-20.786748,23,177.273143
-17.779017,22,179.272943
-16.840601,19,181.091244
-17.70567,20,183.034533
-5.413817,69,187.636839
-17.094797,24,189.748474
-17.436161,49,193.247204
-18.043102,53,196.960466
-16.740464,33,199.586052
-9.49625,44,202.807714
-19.269155,24,204.917288
-15.79691,20,206.835745
-11.195655,24,208.953592
-11.325215,46,212.28949
-16.995241,22,214.289129
-12.66123,26,216.524168
-16.815935,22,218.518237
-17.944537,23,220.579134
-16.248793,18,222.338825
-10.245016,44,225.557542
-12.326727,26,227.7791
-7.077953,65,232.164573
-20.665909,22,234.206257
-10.832539,22,236.205701
-18.029083,23,238.24609
-7.866159,39,241.191239
-21.080254,24,243.300321
-13.003411,28,245.647296
