#{"t_start": 1787588238.8745835, "env_id": "None"}
r,l,t
-15.940597,24,3.244222
18.575785,81,8.540544
-10.377173,29,10.921692
-14.724541,17,12.658479
-18.337746,23,14.702802
-7.798518,43,17.877388
-16.040535,20,19.759963
-8.302968,28,22.091353
-5.774158,41,25.161634
-16.849483,21,27.09639
-11.313923,32,29.661438
-16.562603,19,31.483214
-8.94606,47,34.863151
-14.661683,22,36.863186
-14.985659,17,38.641579
-15.739621,22,40.62614
-12.832444,40,43.64793
-14.330094,21,45.59972
-9.986696,32,48.172915
-13.941206,29,50.548558
-6.367442,40,53.551226
-15.762071,27,55.827206
-9.289687,24,57.939947
-15.287131,17,59.666397
-1.850055,58,63.713797
-10.761177,30,66.173367
-9.073473,30,68.606295
-11.021559,31,71.133252
-15.877381,24,73.278559
-14.57692,17,75.007692
-14.494156,39,77.970523
-15.908168,23,80.026571
-9.505658,29,82.417264
-10.31138,26,84.635632
-16.052466,20,86.522327
-9.396461,25,88.695105
-17.294836,23,90.760237
-13.651571,30,93.230424
-16.156846,23,95.289966
-10.925435,32,97.845569
12.002757,87,103.459775
-16.294953,21,105.423896
-11.220598,33,108.034638
-14.708556,18,109.79994
-8.132643,30,112.242991
-7.737266,24,114.399675
-12.436686,20,116.287576
-15.213845,23,118.328164
-15.608573,23,120.383762
-14.271729,23,122.452083
-9.468343,29,124.840293
-9.125878,30,127.283376
-2.703137,60,131.40608
-9.176549,28,133.746101
-15.812876,22,135.744224
8.306618,80,141.013922
-8.733619,25,143.194563
-9.363911,27,145.477259
-3.923819,45,148.76118
-16.022853,24,150.877094
-16.435769,20,152.766572
-16.809704,21,154.688163
-14.558639,19,156.515117
-10.50307,24,158.624055
-16.37134,38,161.498511
-8.360025,23,163.574711
-15.044792,21,165.546276
-15.442144,18,167.350841
-10.077961,27,169.633939
-6.341668,43,172.808015
-18.73635,23,174.868488
-8.70463,22,176.868402
-15.078351,19,178.699579
-10.654667,25,180.915714
0.087995,52,184.579308
-14.913957,19,186.418012
-16.368573,26,188.662051
-14.365749,35,191.417503
-10.697704,32,193.987783
-15.54029,19,195.812663
-15.157634,15,197.43504
-11.632796,32,200.002143
-11.995592,27,202.2744
-19.043228,24,204.376049
-15.61819,19,206.195636
-17.154632,20,208.089101
-10.05278,25,210.257775
-8.650735,31,212.748608
-6.939954,21,214.761368
-10.284321,30,217.196564
-8.209327,21,219.147782
-16.050588,23,221.204221
-15.020075,19,223.045112
-2.424391,54,226.824929
-16.635227,24,228.930239
1.026494,59,232.988134
-18.209385,24,235.106902
-11.126903,28,237.424464
-17.148494,22,239.455493
-9.301123,32,242.065706
-18.984355,21,244.023329
-10.225598,29,246.421271
-13.745885,30,248.843584
-15.673347,16,250.510559
-9.386009,32,253.078292
-15.604642,18,254.854175
-9.772299,34,257.562185
-16.413829,20,259.457145
-15.739865,20,261.357407
-17.221061,20,263.239766
-11.100476,28,265.606832
-12.728494,41,268.641753
-12.782897,35,271.384245
8.21758,75,276.331903
-14.043737,37,279.201187
-15.020267,17,280.93591
-15.632674,22,282.93574
-12.282962,41,286.008938
-11.816552,30,288.508941
-8.722115,22,290.569889
4.550847,70,295.227901
-14.758749,17,296.959138
-16.865565,21,298.912616
-16.942994,28,301.237846
-5.651022,33,303.877783
-17.687865,20,305.764327
-11.415636,29,308.151481
-9.252696,28,310.495508
-16.233635,20,312.401161
