# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-4.42799,8.35265,0.25993,-1.32638,1.22524,1.28544,1.84193
0.14584,-4.28443,8.37733,0.09739,-1.00196,1.18669,1.23215,1.83049
0.29167,-4.13873,8.38091,-0.02518,-0.67263,1.14425,1.20271,2.06888
0.43751,-3.99334,8.37000,-0.10479,-0.40184,1.10153,1.18125,2.31260
0.58335,-3.84883,8.35042,-0.14808,-0.17968,1.04548,1.15625,2.56188
0.72919,-3.70489,8.32697,-0.16025,0.01702,1.00376,1.18912,2.80880
0.87503,-3.56089,8.30388,-0.14652,0.21459,0.97901,1.15625,3.04129
1.02086,-3.41637,8.28439,-0.12327,0.15087,0.94375,1.16189,3.23167
1.16671,-3.27145,8.26802,-0.10745,0.06939,0.96875,1.13977,3.41767
1.31254,-3.12638,8.25311,-0.10349,-0.01442,0.95625,1.10625,3.60143
1.45838,-2.98134,8.23789,-0.11194,-0.09957,0.94375,1.06875,3.77714
1.60422,-2.83654,8.22053,-0.13364,-0.19480,0.93125,1.04375,3.90521
1.75006,-2.69230,8.19903,-0.16863,-0.29993,0.94600,1.03125,3.85730
1.89590,-2.54908,8.17159,-0.21147,-0.30619,0.94375,1.03508,3.83364
2.04173,-2.40722,8.13783,-0.25546,-0.29972,0.96875,0.99375,3.80983
2.18757,-2.26696,8.09791,-0.29849,-0.29092,0.97948,0.99375,3.83510
2.33341,-2.12852,8.05208,-0.34017,-0.28155,0.95625,0.99943,3.87006
2.47925,-1.99207,8.00062,-0.38015,-0.26784,0.96875,1.00522,3.91165
2.62508,-1.85774,7.94388,-0.41807,-0.25264,0.97270,0.99375,3.96407
2.77092,-1.72558,7.88223,-0.45368,-0.23638,0.97734,1.01875,4.02566
2.91676,-1.59562,7.81607,-0.48679,-0.21770,0.98125,1.04810,4.09518
3.06260,-1.46783,7.74581,-0.51736,-0.20167,1.00342,1.03705,4.17317
3.20844,-1.34215,7.67183,-0.54535,-0.18224,1.01875,1.03096,4.25576
3.35427,-1.21849,7.59453,-0.57076,-0.16582,1.01875,1.01875,4.34494
3.50012,-1.09673,7.51426,-0.59369,-0.14920,1.04375,1.00625,4.43761
3.64595,-0.97674,7.43137,-0.61427,-0.12939,1.03125,1.00625,4.53356
3.79179,-0.85839,7.34616,-0.63404,-0.13480,1.05025,0.99375,4.46535
3.93763,-0.74177,7.25859,-0.65552,-0.15694,1.03125,1.01875,4.31266
4.08346,-0.62719,7.16838,-0.68000,-0.17874,1.05625,1.04375,4.16251
4.22930,-0.51500,7.07521,-0.70780,-0.20149,1.08125,1.05192,4.01464
4.37514,-0.40561,6.97877,-0.73936,-0.22992,1.09538,1.04375,3.87225
4.52098,-0.29952,6.87871,-0.77524,-0.26093,1.10625,1.06986,3.73708
4.66682,-0.19733,6.77468,-0.81613,-0.29670,1.12950,1.09841,3.61427
4.81266,-0.09977,6.66629,-0.86282,-0.34691,1.13107,1.12003,3.53987
4.95849,-0.00773,6.55319,-0.91369,-0.36357,1.14267,1.15581,3.51815
5.10433,0.07831,6.43546,-0.96432,-0.33791,1.11875,1.18276,3.49630
5.25017,0.15845,6.31363,-1.01167,-0.31250,1.09375,1.14375,3.55688
5.39601,0.23298,6.18828,-1.05481,-0.28096,1.09375,1.14375,3.63198
5.54184,0.30232,6.06000,-1.09315,-0.24545,1.09375,1.13153,3.72223
5.68768,0.36703,5.92931,-1.12627,-0.21011,1.11875,1.11875,3.82603
5.83352,0.42773,5.79671,-1.15441,-0.16730,1.10625,1.09375,3.93978
5.97936,0.48499,5.66258,-1.18087,-0.18284,1.08125,1.08125,4.06457
6.12520,0.53859,5.52696,-1.21008,-0.21622,1.12488,1.05625,4.06058
6.27104,0.58792,5.38972,-1.24335,-0.24084,1.10954,1.04375,3.93445
6.41687,0.63238,5.25084,-1.28063,-0.27040,1.09375,1.03013,3.82086
