# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-4.17205,7.76292,0.48130,-0.10220,0.58125,1.82071,2.85771
0.09995,-4.08290,7.80809,0.44372,-0.61745,0.56875,1.76019,2.84566
0.19990,-3.99158,7.84871,0.39440,-0.44990,0.59214,1.70233,2.83356
0.29985,-3.89842,7.88487,0.34691,-0.48424,0.61220,1.65270,2.94142
0.39980,-3.80366,7.91664,0.30240,-0.41476,0.59375,1.61105,3.02061
0.49974,-3.70765,7.94438,0.26136,-0.39997,0.61875,1.56223,3.11446
0.59969,-3.61061,7.96828,0.22195,-0.37049,0.63125,1.51485,3.20125
0.69964,-3.51271,7.98837,0.17961,-0.46467,0.66361,1.47134,3.15106
0.79959,-3.41399,8.00398,0.13304,-0.50784,0.68380,1.43361,3.13777
0.89954,-3.31465,8.01488,0.09005,-0.35976,0.71306,1.39176,3.12443
0.99948,-3.21496,8.02195,0.05263,-0.35970,0.71875,1.35455,3.22344
1.09943,-3.11508,8.02539,0.01538,-0.38757,0.73125,1.31833,3.31155
1.19938,-3.01513,8.02503,-0.02261,-0.37672,0.73125,1.29032,3.37634
1.29933,-2.91528,8.02087,-0.06041,-0.38156,0.71875,1.27332,3.43727
1.39928,-2.81565,8.01296,-0.09729,-0.35936,0.71875,1.24375,3.48524
1.49923,-2.71637,8.00146,-0.13264,-0.34647,0.74810,1.24340,3.53995
1.59917,-2.61755,7.98653,-0.16679,-0.33438,0.74375,1.23125,3.59452
1.69912,-2.51928,7.96828,-0.20040,-0.33722,0.77680,1.20625,3.64884
1.79907,-2.42169,7.94674,-0.23370,-0.33142,0.76875,1.18125,3.69336
1.89902,-2.32485,7.92200,-0.26623,-0.32047,0.79434,1.16875,3.73526
1.99897,-2.22886,7.89416,-0.29768,-0.30914,0.78125,1.15625,3.77903
2.09892,-2.13378,7.86338,-0.32805,-0.29748,0.80128,1.14375,3.82479
2.19887,-2.03966,7.82977,-0.35757,-0.29244,0.78125,1.18206,3.87260
2.29881,-1.94655,7.79342,-0.38645,-0.28586,0.79846,1.18493,3.91787
2.39876,-1.85453,7.75443,-0.41467,-0.27879,0.78125,1.19306,3.96215
2.49871,-1.76362,7.71290,-0.44223,-0.27272,0.81197,1.20499,4.00608
2.59866,-1.67388,7.66890,-0.46914,-0.26578,0.80625,1.20625,4.04916
2.69861,-1.58534,7.62253,-0.49536,-0.25882,0.81875,1.19375,4.09227
2.79856,-1.49803,7.57389,-0.52093,-0.25245,0.84375,1.18125,4.13555
2.89850,-1.41198,7.52306,-0.54596,-0.24813,0.84375,1.19175,4.17872
2.99845,-1.32721,7.47010,-0.57057,-0.24413,0.85625,1.16875,4.22047
