# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-4.15636,7.65358,0.41481,-0.59495,0.45625,1.92745,3.43013
0.09877,-4.06485,7.69071,0.35609,-0.59326,0.46875,1.87120,3.43013
0.19754,-3.97132,7.72242,0.29779,-0.58641,0.44375,1.82363,3.45501
0.29631,-3.87612,7.74867,0.24040,-0.57481,0.45625,1.78554,3.45501
0.39508,-3.77957,7.76947,0.18437,-0.55912,0.46440,1.74835,3.53832
0.49386,-3.68203,7.78492,0.13006,-0.54015,0.44375,1.71087,3.53832
0.59263,-3.58381,7.79515,0.07775,-0.51875,0.44375,1.67559,3.64487
0.69140,-3.48518,7.80033,0.02764,-0.49575,0.45625,1.64920,3.71545
0.79017,-3.38642,7.80068,-0.02015,-0.47193,0.48792,1.61762,3.79832
0.88894,-3.28774,7.79643,-0.06558,-0.44790,0.49375,1.59140,3.88786
0.98771,-3.18935,7.78782,-0.10864,-0.42419,0.49375,1.56719,3.98352
1.08648,-3.09141,7.77509,-0.14940,-0.40117,0.48125,1.54375,4.08433
1.18525,-2.99405,7.75849,-0.18792,-0.37913,0.46875,1.51875,4.18935
1.28402,-2.89738,7.73826,-0.22433,-0.35823,0.44375,1.54023,4.29776
1.38279,-2.80148,7.71462,-0.25873,-0.33859,0.43125,1.53125,4.40602
1.48157,-2.70643,7.68779,-0.29126,-0.32023,0.45382,1.53125,4.50912
1.58034,-2.61228,7.65796,-0.32203,-0.30316,0.43125,1.51875,4.60763
1.67911,-2.51907,7.62533,-0.35118,-0.28735,0.45625,1.51875,4.70203
1.77788,-2.42681,7.59007,-0.37883,-0.27275,0.41875,1.51875,4.79274
1.87665,-2.33553,7.55232,-0.40510,-0.25929,0.44112,1.51875,4.88009
1.97542,-2.24525,7.51225,-0.43009,-0.24690,0.41875,1.53125,4.96439
2.07419,-2.15598,7.47000,-0.45391,-0.23552,0.40625,1.55940,5.04588
2.17296,-2.06772,7.42568,-0.47665,-0.22507,0.41789,1.57208,5.12479
2.27173,-1.98045,7.37940,-0.49840,-0.21547,0.39375,1.58856,5.20131
2.37050,-1.89421,7.33128,-0.51924,-0.20667,0.42929,1.60775,5.27562
2.46928,-1.80895,7.28141,-0.53925,-0.19861,0.40625,1.59375,5.34788
2.56805,-1.72469,7.22987,-0.55850,-0.19121,0.44221,1.60724,5.41821
2.66682,-1.64142,7.17676,-0.57704,-0.18444,0.44375,1.59375,5.48675
2.76559,-1.55912,7.12212,-0.59495,-0.17825,0.44375,1.60530,5.55360
2.86436,-1.47782,7.06606,-0.61227,-0.17258,0.44375,1.58125,5.61887
2.96313,-1.39746,7.00861,-0.62906,-0.16740,0.44375,1.59375,5.68264
3.06190,-1.31809,6.94985,-0.64535,-0.16268,0.44375,1.61497,5.74500
3.16067,-1.23965,6.88981,-0.66121,-0.15837,0.45625,1.59375,5.80603
3.25944,-1.16217,6.82856,-0.67665,-0.15446,0.41875,1.61746,5.86579
3.35821,-1.08563,6.76613,-0.69173,-0.15092,0.44375,1.62473,5.92434
3.45699,-1.01003,6.70256,-0.70648,-0.14772,0.46851,1.63939,5.98175
3.55576,-0.93537,6.63790,-0.72092,-0.14484,0.44375,1.65499,6.03808
3.65453,-0.86163,6.57218,-0.73510,-0.14226,0.48506,1.65625,6.09336
3.75330,-0.78884,6.50543,-0.74904,-0.13998,0.48125,1.64375,6.14765
3.85207,-0.71697,6.43767,-0.76276,-0.13796,0.50625,1.67521,6.20100
3.95084,-0.64603,6.36895,-0.77630,-0.13621,0.51875,1.68125,6.25343
4.04961,-0.57602,6.29928,-0.78968,-0.13471,0.52981,1.70279,6.30500
4.14838,-0.50694,6.22867,-0.80292,-0.13345,0.54375,1.71473,6.35573
4.24715,-0.43880,6.15717,-0.81605,-0.13242,0.51875,1.73144,6.40566
4.34593,-0.37161,6.08478,-0.82908,-0.13163,0.54375,1.74173,6.45482
4.44470,-0.30535,6.01153,-0.84206,-0.13105,0.55366,1.71549,6.50323
4.54347,-0.24006,5.93742,-0.85498,-0.13070,0.56875,1.68321,6.55093
4.64224,-0.17572,5.86247,-0.86788,-0.13057,0.59354,1.64873,6.59795
4.74101,-0.11236,5.78670,-0.88078,-0.13066,0.61991,1.62077,6.64430
4.83978,-0.04998,5.71012,-0.89370,-0.13096,0.65902,1.59062,6.69000
4.93855,0.01140,5.63274,-0.90666,-0.13149,0.66875,1.55770,6.70510
5.03732,0.07178,5.55457,-0.91968,-0.13224,0.69931,1.51744,6.64812
5.13609,0.13112,5.47562,-0.93279,-0.13323,0.72108,1.47883,6.58929
5.23486,0.18942,5.39589,-0.94601,-0.13444,0.75404,1.44718,6.52876
5.33364,0.24666,5.31539,-0.95936,-0.13591,0.75625,1.40960,6.46664
5.43241,0.30282,5.23414,-0.97286,-0.13762,0.78481,1.35950,6.40305
5.53118,0.35786,5.15213,-0.98655,-0.13960,0.80224,1.31615,6.33809
