# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-4.17205,7.76292,0.51505,-0.59767,0.58387,1.82071,3.42229
0.10051,-4.08317,7.80982,0.45654,-0.56651,0.56875,1.75855,3.42229
0.20103,-3.99176,7.85159,0.40113,-0.53637,0.59375,1.69952,3.45953
0.30154,-3.89822,7.88837,0.34866,-0.50806,0.61567,1.64920,3.50556
0.40205,-3.80294,7.92032,0.29891,-0.48215,0.59375,1.60731,3.55704
0.50257,-3.70621,7.94762,0.25164,-0.45900,0.61875,1.55876,3.61205
0.60308,-3.60833,7.97043,0.20654,-0.43883,0.63125,1.51216,3.66923
0.70359,-3.50953,7.98890,0.16332,-0.42185,0.66405,1.47015,3.72754
0.80411,-3.41004,8.00315,0.12158,-0.40849,0.68345,1.43326,3.78604
0.90462,-3.31005,8.01332,0.08122,-0.39450,0.71273,1.39169,3.84380
1.00513,-3.20974,8.01951,0.04229,-0.38019,0.71875,1.35549,3.90129
1.10565,-3.10926,8.02186,0.00480,-0.36583,0.71875,1.31984,3.95886
1.20616,-3.00876,8.02052,-0.03126,-0.35165,0.71875,1.29312,4.01670
1.30667,-2.90837,8.01563,-0.06591,-0.33783,0.71875,1.27732,4.07490
1.40719,-2.80820,8.00733,-0.09919,-0.32451,0.70625,1.24375,4.13350
1.50770,-2.70836,7.99575,-0.13167,-0.32245,0.74452,1.24763,4.19246
1.60821,-2.60895,7.98094,-0.16402,-0.32133,0.74375,1.23125,4.24837
1.70873,-2.51007,7.96293,-0.19628,-0.32056,0.77443,1.20625,4.30104
1.80924,-2.41182,7.94175,-0.22847,-0.32014,0.75625,1.19375,4.35043
1.90976,-2.31430,7.91741,-0.26065,-0.32007,0.79370,1.16875,4.39646
2.01027,-2.21761,7.88995,-0.29283,-0.32037,0.76875,1.15625,4.43904
2.11078,-2.12186,7.85939,-0.32505,-0.31982,0.80234,1.15625,4.47800
2.21130,-2.02714,7.82578,-0.35675,-0.31088,0.76875,1.16875,4.51384
2.31181,-1.93351,7.78923,-0.38755,-0.30196,0.79375,1.18515,4.55160
2.41232,-1.84104,7.74985,-0.41746,-0.29316,0.80625,1.19282,4.59107
2.51284,-1.74977,7.70776,-0.44649,-0.28454,0.81510,1.20625,4.63203
2.61335,-1.65973,7.66308,-0.47467,-0.27619,0.80625,1.21072,4.67430
2.71386,-1.57097,7.61592,-0.50202,-0.26813,0.83125,1.18125,4.71769
2.81438,-1.48352,7.56638,-0.52858,-0.26044,0.85243,1.19374,4.76203
2.91489,-1.39739,7.51457,-0.55439,-0.25313,0.84375,1.18986,4.80714
3.01540,-1.31261,7.46059,-0.57948,-0.24662,0.84375,1.18125,4.85286
3.11592,-1.22919,7.40452,-0.60405,-0.24226,0.86875,1.15625,4.89889
3.21643,-1.14716,7.34643,-0.62819,-0.23804,0.85625,1.18125,4.94438
3.31694,-1.06655,7.28640,-0.65191,-0.23400,0.86875,1.19512,4.98937
3.41746,-0.98737,7.22449,-0.67524,-0.23015,0.86875,1.18125,5.03385
3.51797,-0.90964,7.16076,-0.69819,-0.22651,0.86875,1.20019,5.07783
3.61848,-0.83338,7.09528,-0.72078,-0.22309,0.85625,1.21155,5.12130
3.71900,-0.75862,7.02811,-0.74304,-0.21991,0.85625,1.23322,5.16421
3.81951,-0.68535,6.95930,-0.76500,-0.21698,0.84375,1.24375,5.20654
3.92002,-0.61360,6.88891,-0.78665,-0.21304,0.85625,1.25625,5.24824
4.02054,-0.54338,6.81700,-0.80765,-0.20459,0.88659,1.27732,5.28984
4.12105,-0.47464,6.74367,-0.82777,-0.19574,0.88125,1.28504,5.33340
4.22156,-0.40736,6.66899,-0.84698,-0.18655,0.88125,1.30244,5.37889
4.32208,-0.34150,6.59307,-0.86526,-0.17712,0.89375,1.32905,5.42628
4.42259,-0.27699,6.51599,-0.88258,-0.16751,0.89375,1.34674,5.47548
4.52310,-0.21379,6.43783,-0.89893,-0.15778,0.90625,1.37266,5.48275
4.62362,-0.15184,6.35868,-0.91430,-0.14798,0.90288,1.39587,5.38030
4.72413,-0.09108,6.27861,-0.92868,-0.13817,0.88125,1.40375,5.26979
4.82464,-0.03143,6.19771,-0.94208,-0.12839,0.85625,1.38645,5.15184
4.92516,0.02717,6.11605,-0.95449,-0.11867,0.88926,1.35625,5.02692
5.02567,0.08479,6.03369,-0.96609,-0.11978,0.90400,1.34375,4.89763
5.12618,0.14140,5.95064,-0.97954,-0.14798,0.91688,1.32204,4.77002
5.22670,0.19676,5.86674,-0.99586,-0.17689,0.93827,1.30824,4.64472
5.32721,0.25062,5.78188,-1.01514,-0.20679,0.96116,1.26875,4.52240
5.42772,0.30271,5.69592,-1.03748,-0.23794,0.95625,1.26064,4.40386
5.52824,0.35272,5.60874,-1.06302,-0.27052,0.97630,1.23125,4.29008
5.62875,0.40035,5.52022,-1.09191,-0.30461,0.98125,1.20793,4.18237
5.72927,0.44524,5.43030,-1.12430,-0.34019,0.99375,1.19555,4.08252
5.82978,0.48703,5.33889,-1.16034,-0.37704,0.99375,1.16853,3.99328
