# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-4.15636,7.65358,0.35743,-0.62939,0.47787,1.92745,3.33495
0.09832,-4.06326,7.68514,0.29651,-0.60905,0.45625,1.87636,3.33495
0.19664,-3.96844,7.71107,0.23779,-0.58486,0.41875,1.83442,3.44467
0.29496,-3.87228,7.73151,0.18159,-0.55806,0.44375,1.80223,3.50027
0.39328,-3.77515,7.74665,0.12810,-0.52982,0.44128,1.76966,3.58944
0.49160,-3.67735,7.75671,0.07742,-0.50113,0.40625,1.73662,3.67928
0.58992,-3.57918,7.76195,0.02955,-0.47276,0.40625,1.70685,3.77684
0.68824,-3.48087,7.76261,-0.01557,-0.44531,0.41875,1.68401,3.88013
0.78655,-3.38263,7.75897,-0.05806,-0.41919,0.44828,1.65575,3.98793
0.88487,-3.28462,7.75128,-0.09805,-0.39463,0.45625,1.63382,4.09916
0.98319,-3.18698,7.73980,-0.13572,-0.37179,0.44375,1.61210,4.21284
1.08151,-3.08982,7.72476,-0.17122,-0.35069,0.43125,1.59375,4.32492
1.17983,-2.99324,7.70637,-0.20473,-0.33134,0.41875,1.58125,4.43136
1.27815,-2.89731,7.68484,-0.23643,-0.31367,0.39375,1.59183,4.53284
1.37647,-2.80209,7.66037,-0.26647,-0.29760,0.36875,1.59375,4.62990
1.47479,-2.70762,7.63312,-0.29500,-0.28304,0.40418,1.58125,4.72299
1.57311,-2.61396,7.60325,-0.32217,-0.26988,0.36875,1.58125,4.81250
1.67143,-2.52111,7.57090,-0.34811,-0.25804,0.39375,1.56875,4.89875
1.76975,-2.42912,7.53621,-0.37295,-0.24740,0.38125,1.56875,4.98203
1.86807,-2.33800,7.49929,-0.39680,-0.23790,0.38125,1.56875,5.06258
1.96639,-2.24776,7.46025,-0.41976,-0.22944,0.38814,1.58125,5.14062
2.06471,-2.15843,7.41918,-0.44195,-0.22196,0.35625,1.60625,5.21634
2.16303,-2.07002,7.37618,-0.46344,-0.21538,0.36875,1.62003,5.28989
2.26134,-1.98254,7.33131,-0.48433,-0.20966,0.36875,1.63461,5.36144
2.35966,-1.89600,7.28464,-0.50469,-0.20475,0.38125,1.65307,5.43110
2.45798,-1.81042,7.23624,-0.52461,-0.20061,0.38974,1.63125,5.49901
2.55630,-1.72581,7.18617,-0.54416,-0.19721,0.39375,1.64460,5.56526
2.65462,-1.64219,7.13446,-0.56342,-0.19454,0.39375,1.63125,5.62996
2.75294,-1.55957,7.08116,-0.58244,-0.19257,0.39375,1.64021,5.69320
2.85126,-1.47798,7.02630,-0.60131,-0.19131,0.43125,1.60625,5.75504
2.94958,-1.39743,6.96992,-0.62008,-0.19077,0.39375,1.63125,5.81558
3.04790,-1.31796,6.91204,-0.63884,-0.19094,0.41875,1.64606,5.87487
3.14622,-1.23958,6.85268,-0.65766,-0.19187,0.42993,1.64375,5.93298
3.24454,-1.16234,6.79185,-0.67660,-0.19359,0.40625,1.64713,5.98997
3.34286,-1.08627,6.72955,-0.69573,-0.19505,0.43125,1.65579,5.98552
3.44118,-1.01141,6.66582,-0.71493,-0.19552,0.41875,1.66875,5.98007
3.53950,-0.93779,6.60065,-0.73416,-0.19574,0.41875,1.68125,5.98007
3.63782,-0.86544,6.53409,-0.75341,-0.19571,0.45625,1.66875,5.98007
3.73614,-0.79438,6.46614,-0.77264,-0.19542,0.46875,1.70465,5.98471
3.83445,-0.72464,6.39683,-0.79183,-0.19487,0.48125,1.71162,5.98836
3.93277,-0.65624,6.32621,-0.81095,-0.19407,0.46875,1.72604,6.00262
4.03109,-0.58920,6.25429,-0.82998,-0.19303,0.49262,1.74742,6.01376
4.12941,-0.52354,6.18112,-0.84890,-0.19174,0.50625,1.76243,6.03182
4.22773,-0.45927,6.10672,-0.86768,-0.19022,0.46875,1.78454,6.05200
4.32605,-0.39639,6.03113,-0.88630,-0.18847,0.48125,1.78737,6.07559
4.42437,-0.33494,5.95439,-0.90473,-0.18650,0.49375,1.76684,6.10244
4.52269,-0.27489,5.87653,-0.92296,-0.18434,0.49375,1.73629,6.13251
4.62101,-0.21627,5.79760,-0.94097,-0.18198,0.52795,1.71107,6.16574
4.71933,-0.15907,5.71764,-0.95874,-0.17945,0.55458,1.69194,6.20209
4.81765,-0.10329,5.63667,-0.97625,-0.17675,0.56875,1.66565,6.24151
4.91597,-0.04893,5.55475,-0.99349,-0.17390,0.55625,1.63559,6.28393
5.01429,0.00403,5.47192,-1.01044,-0.17092,0.60200,1.60250,6.32929
5.11261,0.05559,5.38820,-1.02710,-0.16783,0.61875,1.57646,6.37752
5.21093,0.10575,5.30364,-1.04344,-0.16462,0.60625,1.55089,6.42689
5.30924,0.15455,5.21829,-1.05947,-0.16133,0.64703,1.50861,6.47550
5.40756,0.20198,5.13217,-1.07516,-0.15796,0.65002,1.47317,6.52339
5.50588,0.24807,5.04532,-1.09053,-0.15452,0.64375,1.44504,6.57058
5.60420,0.29284,4.95779,-1.10555,-0.15103,0.67899,1.41227,6.61710
5.70252,0.33630,4.86960,-1.12022,-0.14750,0.66875,1.36871,6.66298
5.80084,0.37848,4.78079,-1.13455,-0.14395,0.70422,1.32653,6.70822
5.89916,0.41940,4.69139,-1.14853,-0.14037,0.70625,1.28571,6.75286
5.99748,0.45908,4.60143,-1.16215,-0.13678,0.73959,1.24615,6.79692
6.09580,0.49754,4.51095,-1.17542,-0.13319,0.75488,1.20754,6.84041
6.19412,0.53482,4.41997,-1.18834,-0.12960,0.75625,1.17147,6.88335
6.29244,0.57094,4.32853,-1.20091,-0.12603,0.78117,1.14348,6.92576
6.39076,0.60592,4.23664,-1.21313,-0.12247,0.76875,1.12463,6.96765
6.48908,0.63979,4.14434,-1.22499,-0.11894,0.80285,1.10625,7.00905
6.58740,0.67258,4.05165,-1.23651,-0.11543,0.78125,1.08268,7.04995
6.68572,0.70431,3.95859,-1.24769,-0.11196,0.81875,1.05082,7.09039
6.78403,0.73502,3.86519,-1.25853,-0.10851,0.83491,1.02587,7.13037
