# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,1.41581,4.19419,-2.91455,0.37099,1.47500,0.36250,2.37330
0.11000,1.30932,4.16666,-2.88047,0.15968,1.40000,0.36250,1.97125
0.22000,1.20329,4.13740,-2.80585,-1.34368,1.05000,0.36250,1.53773
0.32999,1.11800,4.09990,-2.35195,0.90579,0.98750,0.48750,1.59266
0.43999,1.06864,4.00160,-2.02885,0.13535,0.92500,0.48750,1.89249
0.54999,1.02072,3.90259,-2.00993,0.20796,0.87500,0.48750,2.16284
0.65999,0.97512,3.80250,-1.98199,0.29180,0.81250,0.48750,2.40027
0.76999,0.93281,3.70098,-1.94778,0.32753,0.77500,0.53750,2.61050
0.87998,0.89416,3.59802,-1.91240,0.32546,0.73750,0.58750,2.79929
0.98998,0.85914,3.49377,-1.87813,0.30720,0.70000,0.62500,2.97224
1.09998,0.82763,3.38840,-1.84569,0.28660,0.66250,0.65000,3.13331
1.20998,0.79944,3.28209,-1.81536,0.26719,0.63750,0.68750,3.28502
1.31998,0.77437,3.17499,-1.78710,0.24939,0.61250,0.71250,3.42901
1.42997,0.75223,3.06725,-1.76073,0.23238,0.60000,0.73750,3.56646
1.53997,0.73284,2.95898,-1.73575,0.21573,0.58750,0.75000,3.69846
1.64997,0.71611,2.85026,-1.71195,0.19939,0.57500,0.77500,3.82579
1.75997,0.70189,2.74119,-1.69044,0.18335,0.56250,0.78750,3.94923
1.86996,0.68985,2.63185,-1.67145,0.16752,0.55000,0.80000,4.06971
1.97996,0.67979,2.52232,-1.65417,0.15191,0.53750,0.81250,4.18775
2.08996,0.67153,2.41263,-1.63850,0.13649,0.53750,0.82500,4.30377
2.19996,0.66491,2.30284,-1.62448,0.12124,0.53750,0.83750,4.41810
2.30996,0.65973,2.19297,-1.61209,0.10614,0.52500,0.83750,4.53101
2.41995,0.65582,2.08304,-1.60132,0.09116,0.52500,0.85000,4.64269
2.52995,0.65302,1.97308,-1.59212,0.07637,0.52500,0.85000,4.75325
2.63995,0.65113,1.86310,-1.58444,0.06218,0.52500,0.85000,4.86278
2.74995,0.65001,1.75311,-1.57822,0.04995,0.52500,0.86250,4.97121
2.85995,0.64950,1.64311,-1.57309,0.04138,0.52500,0.86250,5.07836
2.96994,0.64951,1.53311,-1.56875,0.03475,0.50000,0.86250,5.18381
3.07994,0.64995,1.42311,-1.56527,0.02853,0.50000,0.86250,5.28751
3.18994,0.65072,1.31312,-1.56251,0.02238,0.50000,0.83750,5.38955
3.29994,0.65177,1.20313,-1.56043,0.01623,0.50000,0.82500,5.49002
3.40994,0.65301,1.09313,-1.55904,0.01020,0.50000,0.82500,5.58894
3.51993,0.65436,0.98315,-1.55820,0.00507,0.50000,0.82500,5.68633
3.62993,0.65578,0.87316,-1.55781,0.00211,0.51250,0.82500,5.78221
3.73993,0.65722,0.76317,-1.55764,0.00120,0.51250,0.82500,5.87656
3.84993,0.65867,0.65318,-1.55752,0.00109,0.53750,0.82500,5.96943
3.95993,0.66014,0.54319,-1.55740,0.00108,0.53750,0.82500,6.06090
4.06992,0.66162,0.43320,-1.55726,0.00107,0.53750,0.82500,6.15101
4.17992,0.66311,0.32322,-1.55714,0.00106,0.53750,0.82500,6.23982
4.28992,0.66462,0.21323,-1.55701,0.00105,0.53750,0.81250,6.32739
4.39992,0.66615,0.10324,-1.55692,0.00104,0.53750,0.81250,6.41372
4.50992,0.66767,-0.00675,-1.55680,0.00103,0.53750,0.81250,6.49886
4.61991,0.66922,-0.11673,-1.55667,0.00103,0.53750,0.81250,6.58292
4.72991,0.67078,-0.22672,-1.55659,0.00102,0.55000,0.81250,6.66592
4.83991,0.67235,-0.33671,-1.55648,0.00101,0.55000,0.81250,6.74791
4.94991,0.67393,-0.44669,-1.55637,0.00100,0.55000,0.81250,6.82891
5.05990,0.67552,-0.55668,-1.55623,0.00099,0.55000,0.81250,6.90898
5.16990,0.67713,-0.66667,-1.55611,0.00099,0.55000,0.80000,6.98813
5.27990,0.67875,-0.77665,-1.55604,0.00098,0.55000,0.80000,7.06641
5.38990,0.68038,-0.88664,-1.55594,0.00098,0.55000,0.80000,7.14383
5.49990,0.68202,-0.99662,-1.55583,0.00097,0.55000,0.80000,7.22042
5.60989,0.68367,-1.10661,-1.55570,0.00096,0.56250,0.80000,7.29622
5.71989,0.68534,-1.21659,-1.55558,0.00095,0.56250,0.80000,7.37123
5.82989,0.68702,-1.32658,-1.55549,0.00094,0.56250,0.80000,7.44550
5.93989,0.68871,-1.43656,-1.55539,0.00093,0.56250,0.78750,7.51897
6.04989,0.69041,-1.54655,-1.55530,0.00092,0.56250,0.78750,7.59174
6.15988,0.69212,-1.65653,-1.55521,0.00091,0.56250,0.78750,7.66383
6.26988,0.69384,-1.76652,-1.55511,0.00091,0.56250,0.78750,7.73525
6.37988,0.69557,-1.87650,-1.55500,0.00090,0.57500,0.78750,7.80601
6.48988,0.69731,-1.98649,-1.55488,0.00089,0.57500,0.78750,7.87614
6.59988,0.69907,-2.09647,-1.55479,0.00089,0.57500,0.78750,7.94566
6.70987,0.70083,-2.20645,-1.55470,0.00089,0.57500,0.77500,7.99035
6.81987,0.70261,-2.31644,-1.55462,0.00089,0.57500,0.77500,8.00000
6.92987,0.70439,-2.42642,-1.55451,0.00088,0.57500,0.77500,8.00000
7.03987,0.70619,-2.53641,-1.55439,0.00088,0.57500,0.77500,8.00000
7.14987,0.70800,-2.64639,-1.55429,0.00087,0.58750,0.77500,8.00000
7.25986,0.70982,-2.75637,-1.55421,0.00085,0.58750,0.77500,8.00000
7.36986,0.71165,-2.86635,-1.55412,0.00083,0.58750,0.77500,8.00000
7.47986,0.71349,-2.97634,-1.55404,0.00082,0.58750,0.76250,8.00000
7.58986,0.71534,-3.08632,-1.55396,0.00080,0.58750,0.76250,8.00000
7.69985,0.71719,-3.19630,-1.55388,0.00078,0.58750,0.76250,8.00000
7.80985,0.71906,-3.30628,-1.55378,0.00076,0.58750,0.76250,8.00000
7.91985,0.72094,-3.41626,-1.55368,0.00076,0.60000,0.76250,8.00000
8.02985,0.72282,-3.52625,-1.55361,0.00077,0.60000,0.76250,8.00000
8.13985,0.72472,-3.63623,-1.55354,0.00077,0.60000,0.76250,8.00000
8.24984,0.72662,-3.74621,-1.55345,0.00077,0.60000,0.75000,8.00000
8.35984,0.72854,-3.85619,-1.55335,0.00077,0.60000,0.75000,8.00000
8.46984,0.73046,-3.96617,-1.55326,0.00077,0.60000,0.75000,8.00000
8.57984,0.73239,-4.07615,-1.55316,0.00076,0.60000,0.75000,8.00000
8.68984,0.73434,-4.18613,-1.55307,0.00076,0.61250,0.75000,8.00000
8.79983,0.73629,-4.29611,-1.55303,0.00075,0.61250,0.75000,8.00000
8.90983,0.73825,-4.40609,-1.55297,0.00073,0.61250,0.73750,8.00000
9.01983,0.74021,-4.51608,-1.55284,0.00072,0.61250,0.73750,8.00000
9.12983,0.74220,-4.62606,-1.55276,0.00071,0.61250,0.73750,8.00000
9.23983,0.74418,-4.73604,-1.55272,0.00070,0.61250,0.73750,8.00000
9.34982,0.74618,-4.84602,-1.55262,0.00069,0.62500,0.73750,8.00000
9.45982,0.74818,-4.95599,-1.55253,0.00068,0.62500,0.73750,8.00000
9.56982,0.75019,-5.06597,-1.55247,0.00067,0.62500,0.73750,8.00000
9.67982,0.75221,-5.17595,-1.55242,0.00067,0.62500,0.72500,8.00000
9.78982,0.75424,-5.28593,-1.55231,0.00066,0.62500,0.72500,8.00000
9.89981,0.75628,-5.39591,-1.55224,0.00066,0.62500,0.72500,8.00000
10.00981,0.75832,-5.50589,-1.55220,0.00065,0.63750,0.72500,8.00000
10.11981,0.76037,-5.61587,-1.55210,0.00064,0.63750,0.72500,8.00000
10.22981,0.76243,-5.72585,-1.55203,0.00063,0.63750,0.72500,8.00000
10.33981,0.76450,-5.83583,-1.55199,0.00063,0.63750,0.71250,8.00000
10.44980,0.76657,-5.94581,-1.55191,0.00062,0.63750,0.71250,8.00000
10.55980,0.76865,-6.05578,-1.55184,0.00061,0.63750,0.71250,8.00000
10.66980,0.77074,-6.16576,-1.55176,0.00060,0.63750,0.71250,8.00000
10.77980,0.77284,-6.27574,-1.55168,0.00059,0.65000,0.71250,8.00000
10.88979,0.77494,-6.38572,-1.55163,0.00058,0.65000,0.71250,8.00000
10.99979,0.77705,-6.49570,-1.55160,0.00057,0.65000,0.70000,8.00000
11.10979,0.77917,-6.60567,-1.55153,0.00057,0.65000,0.70000,8.00000
11.21979,0.78129,-6.71565,-1.55146,0.00057,0.65000,0.70000,8.00000
11.32979,0.78342,-6.82563,-1.55138,0.00056,0.66250,0.70000,8.00000
11.43978,0.78556,-6.93560,-1.55131,0.00055,0.66250,0.70000,8.00000
11.54978,0.78771,-7.04558,-1.55127,0.00054,0.66250,0.68750,8.00000
11.65978,0.78986,-7.15556,-1.55123,0.00053,0.66250,0.68750,8.00000
11.76978,0.79201,-7.26554,-1.55115,0.00052,0.66250,0.68750,8.00000
11.87978,0.79418,-7.37551,-1.55107,0.00052,0.66250,0.68750,8.00000
11.98977,0.79635,-7.48549,-1.55103,0.00051,0.67500,0.68750,8.00000
12.09977,0.79853,-7.59546,-1.55099,0.00050,0.67500,0.68750,8.00000
12.20977,0.80071,-7.70544,-1.55092,0.00049,0.67500,0.67500,8.00000
12.31977,0.80290,-7.81542,-1.55087,0.00048,0.67500,0.67500,8.00000
12.42977,0.80509,-7.92539,-1.55083,0.00047,0.67500,0.67500,8.00000
12.53976,0.80729,-8.03537,-1.55077,0.00047,0.67500,0.67500,8.00000
12.64976,0.80950,-8.14534,-1.55071,0.00047,0.68750,0.67500,8.00000
12.75976,0.81171,-8.25532,-1.55067,0.00046,0.68750,0.67500,8.00000
12.86976,0.81393,-8.36530,-1.55062,0.00045,0.68750,0.66250,8.00000
12.97976,0.81615,-8.47527,-1.55055,0.00044,0.68750,0.66250,8.00000
13.08975,0.81838,-8.58525,-1.55051,0.00043,0.68750,0.66250,8.00000
13.19975,0.82061,-8.69522,-1.55051,0.00042,0.68750,0.66250,8.00000
13.30975,0.82284,-8.80520,-1.55043,0.00042,0.70000,0.66250,8.00000
13.41975,0.82509,-8.91517,-1.55034,0.00041,0.70000,0.65000,8.00000
13.52975,0.82734,-9.02515,-1.55034,0.00040,0.70000,0.65000,8.00000
13.63974,0.82959,-9.13512,-1.55031,0.00039,0.70000,0.65000,8.00000
13.74974,0.83185,-9.24510,-1.55026,0.00038,0.70000,0.65000,8.00000
13.85974,0.83411,-9.35507,-1.55023,0.00037,0.71250,0.65000,8.00000
13.96974,0.83638,-9.46505,-1.55016,0.00037,0.71250,0.65000,8.00000
14.07973,0.83865,-9.57502,-1.55010,0.00037,0.71250,0.63750,8.00000
14.18973,0.84093,-9.68500,-1.55008,0.00036,0.71250,0.63750,8.00000
14.29973,0.84321,-9.79497,-1.55007,0.00035,0.71250,0.63750,8.00000
14.40973,0.84549,-9.90494,-1.55002,0.00034,0.71250,0.63750,8.00000
14.51973,0.84778,-10.01492,-1.54999,0.00033,0.72500,0.63750,8.00000
14.62972,0.85007,-10.12489,-1.54995,0.00032,0.72500,0.62500,8.00000
14.73972,0.85236,-10.23487,-1.54991,0.00031,0.72500,0.62500,8.00000
14.84972,0.85466,-10.34484,-1.54987,0.00031,0.72500,0.62500,8.00000
14.95972,0.85697,-10.45481,-1.54982,0.00030,0.72500,0.62500,8.00000
15.06972,0.85927,-10.56479,-1.54979,0.00029,0.73750,0.62500,8.00000
15.17971,0.86159,-10.67476,-1.54977,0.00028,0.73750,0.62500,8.00000
15.28971,0.86390,-10.78473,-1.54975,0.00027,0.73750,0.61250,8.00000
15.39971,0.86622,-10.89471,-1.54971,0.00026,0.73750,0.61250,8.00000
15.50971,0.86854,-11.00468,-1.54970,0.00026,0.73750,0.61250,8.00000
15.61971,0.87086,-11.11465,-1.54965,0.00026,0.73750,0.61250,8.00000
15.72970,0.87319,-11.22463,-1.54961,0.00025,0.75000,0.61250,8.00000
15.83970,0.87552,-11.33460,-1.54961,0.00024,0.75000,0.60000,7.98949
15.94970,0.87785,-11.44457,-1.54959,0.00023,0.75000,0.60000,7.93770
16.05970,0.88019,-11.55455,-1.54952,0.00022,0.75000,0.60000,7.82609
16.16970,0.88253,-11.66452,-1.54953,0.00021,0.75000,0.60000,7.71288
16.27969,0.88486,-11.77449,-1.54953,0.00021,0.76250,0.60000,7.59800
16.38969,0.88721,-11.88447,-1.54949,0.00020,0.76250,0.60000,7.48123
16.49969,0.88955,-11.99444,-1.54945,0.00019,0.76250,0.58750,7.36260
16.60969,0.89190,-12.10441,-1.54941,0.00018,0.76250,0.58750,7.24203
16.71969,0.89426,-12.21439,-1.54941,0.00017,0.76250,0.58750,7.11943
