# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.52753,2.72573,-1.53495,-0.01200,0.39687,0.97812,4.20549
0.11051,0.53142,2.61529,-1.53627,-0.01186,0.40312,0.97187,4.31029
0.22102,0.53516,2.50484,-1.53757,-0.01172,0.40312,0.97187,4.40910
0.33154,0.53876,2.39438,-1.53886,-0.01158,0.40937,0.96562,4.50266
0.44205,0.54222,2.28392,-1.54013,-0.01144,0.41562,0.96562,4.59153
0.55256,0.54554,2.17346,-1.54139,-0.01130,0.41562,0.95937,4.67622
0.66307,0.54872,2.06300,-1.54263,-0.01116,0.42187,0.95312,4.75713
0.77359,0.55176,1.95253,-1.54386,-0.01102,0.42187,0.95312,4.83462
0.88410,0.55467,1.84205,-1.54507,-0.01088,0.42593,0.94687,4.90898
0.99461,0.55745,1.73157,-1.54626,-0.01074,0.41572,0.94687,4.98048
1.10512,0.56010,1.62109,-1.54744,-0.01060,0.42812,0.94687,5.04934
1.21563,0.56261,1.51061,-1.54860,-0.01046,0.42714,0.94062,5.11577
1.32615,0.56500,1.40012,-1.54975,-0.01032,0.40937,0.94062,5.17994
1.43666,0.56726,1.28964,-1.55088,-0.01018,0.42611,0.93437,5.24201
1.54717,0.56940,1.17914,-1.55200,-0.01003,0.42771,0.92477,5.30212
1.65768,0.57142,1.06865,-1.55310,-0.00989,0.41562,0.90937,5.36040
1.76820,0.57331,0.95815,-1.55419,-0.00975,0.43204,0.90312,5.41695
1.87871,0.57509,0.84766,-1.55526,-0.00961,0.43515,0.90312,5.47189
1.98922,0.57675,0.73716,-1.55631,-0.00947,0.44687,0.90312,5.52530
2.09973,0.57829,0.62665,-1.55735,-0.00933,0.44687,0.90312,5.57727
2.21025,0.57972,0.51615,-1.55837,-0.00919,0.45312,0.89687,5.62788
2.32076,0.58104,0.40565,-1.55938,-0.00904,0.45312,0.89687,5.67720
2.43127,0.58224,0.29514,-1.56037,-0.00890,0.45312,0.89687,5.72529
2.54178,0.58334,0.18463,-1.56135,-0.00876,0.45312,0.89687,5.77222
2.65229,0.58433,0.07413,-1.56231,-0.00862,0.45312,0.89687,5.81805
