# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,-1.11102,5.06566,0.21046,-0.92759,0.24375,1.86875,2.74708
0.06892,-1.04322,5.07793,0.14806,-0.89674,0.24375,1.88125,2.73903
0.13783,-0.97478,5.08598,0.08719,-0.86917,0.24375,1.95625,2.76564
0.20675,-0.90599,5.08992,0.02812,-0.84448,0.25625,2.00625,2.79638
0.27567,-0.83708,5.08986,-0.02934,-0.82288,0.24375,2.00625,2.82889
0.34459,-0.76829,5.08588,-0.08539,-0.80269,0.24375,1.90625,2.86173
0.41350,-0.69982,5.07811,-0.14018,-0.78885,0.24375,1.88125,2.89455
0.48242,-0.63187,5.06663,-0.19361,-0.76306,0.28125,1.80625,2.92514
0.55134,-0.56462,5.05160,-0.24553,-0.74291,0.26875,1.79375,2.95886
0.62026,-0.49823,5.03315,-0.29605,-0.72280,0.25625,1.78125,2.99306
0.68917,-0.43284,5.01140,-0.34532,-0.70830,0.23125,1.73125,3.02784
0.75809,-0.36858,4.98651,-0.39314,-0.68115,0.24375,1.73125,3.06130
0.82701,-0.30556,4.95862,-0.43935,-0.65909,0.24375,1.74375,3.09831
0.89593,-0.24388,4.92790,-0.48402,-0.63714,0.24375,1.70625,3.13659
0.96484,-0.18360,4.89450,-0.52723,-0.61670,0.25625,1.73125,3.17607
1.03376,-0.12480,4.85857,-0.56907,-0.59739,0.25625,1.75625,3.21626
1.10268,-0.06752,4.82025,-0.60962,-0.57912,0.28125,1.73125,3.25693
1.17160,-0.01182,4.77967,-0.64895,-0.56206,0.33125,1.70625,3.29786
1.24051,0.04227,4.73697,-0.68714,-0.54594,0.31875,1.65625,3.33887
1.30943,0.09471,4.69226,-0.72426,-0.53126,0.33125,1.58125,3.37983
1.37835,0.14548,4.64566,-0.76033,-0.51602,0.35625,1.51875,3.42051
1.44727,0.19457,4.59729,-0.79527,-0.49833,0.35625,1.46875,3.46124
1.51618,0.24196,4.54726,-0.82907,-0.48208,0.34375,1.41875,3.50285
1.58510,0.28766,4.49568,-0.86177,-0.46677,0.33125,1.31875,3.54495
1.65402,0.33169,4.44266,-0.89345,-0.45233,0.31875,1.29375,3.58737
1.72294,0.37404,4.38829,-0.92415,-0.43861,0.29375,1.20625,3.62997
1.79185,0.41472,4.33267,-0.95394,-0.42559,0.33125,1.19375,3.67266
1.86077,0.45376,4.27588,-0.98284,-0.41308,0.31875,1.13125,3.71536
1.92969,0.49116,4.21800,-1.01090,-0.40102,0.35625,1.11875,3.75804
1.99861,0.52695,4.15910,-1.03814,-0.38941,0.33125,1.05625,3.80069
2.06752,0.56115,4.09927,-1.06459,-0.37817,0.36875,1.00625,3.84329
2.13644,0.59378,4.03857,-1.09028,-0.36722,0.39375,1.00625,3.88585
2.20536,0.62486,3.97706,-1.11522,-0.35659,0.43125,0.96875,3.92837
2.27428,0.65442,3.91480,-1.13944,-0.34625,0.40625,0.96875,3.97086
2.34320,0.68248,3.85186,-1.16296,-0.33609,0.43125,0.93125,4.01332
2.41211,0.70908,3.78828,-1.18578,-0.32620,0.45625,0.89375,4.05579
2.48103,0.73424,3.72413,-1.20793,-0.31646,0.48125,0.85625,4.09826
2.54995,0.75800,3.65944,-1.22941,-0.30690,0.49375,0.83125,4.14077
2.61887,0.78039,3.59426,-1.25024,-0.29753,0.51875,0.80625,4.18331
2.68778,0.80143,3.52863,-1.27042,-0.28828,0.59375,0.76875,4.22591
2.75670,0.82117,3.46260,-1.28998,-0.27915,0.60625,0.74375,4.26858
2.82562,0.83963,3.39620,-1.30891,-0.27015,0.61875,0.73125,4.31134
2.89454,0.85685,3.32947,-1.32722,-0.26126,0.63125,0.70625,4.35419
2.96345,0.87287,3.26244,-1.34492,-0.25245,0.64375,0.68125,4.39716
3.03237,0.88772,3.19515,-1.36202,-0.24376,0.65625,0.61875,4.44026
3.10129,0.90144,3.12761,-1.37853,-0.23521,0.66875,0.59375,4.48348
3.17021,0.91406,3.05986,-1.39444,-0.22672,0.68125,0.58125,4.52683
3.23912,0.92562,2.99192,-1.40978,-0.21829,0.69375,0.56875,4.57031
3.30804,0.93615,2.92381,-1.42453,-0.20991,0.70625,0.55625,4.61394
3.37696,0.94570,2.85556,-1.43871,-0.20158,0.70625,0.54375,4.65772
