x,y,v,kappa,steer_deg
1.41581,4.19419,2.37330,0.37099,6.85406
1.36329,4.18140,2.19259,0.37388,6.90701
1.27979,4.15860,1.85012,0.04247,0.78839
1.19405,4.13484,1.50000,-1.51109,-26.08602
1.14580,4.12721,1.50000,7.27916,67.02269
1.13081,4.11965,1.50000,-97.27162,-88.18262
1.13090,4.12275,1.50000,-171.89824,-88.97137
1.13221,4.12513,1.50000,0.29510,5.46164
1.11849,4.10086,1.58969,0.92035,16.60417
1.09307,4.05096,1.74451,0.16184,3.00171
1.05673,3.97754,1.96463,0.12244,2.27172
1.01084,3.88202,2.21725,0.23144,4.28837
0.96358,3.77682,2.45938,0.31129,5.75918
0.91809,3.66470,2.68279,0.33530,6.20011
0.87658,3.54904,2.88486,0.31824,5.88698
0.84012,3.43351,3.06749,0.29516,5.46265
0.80809,3.31786,3.23623,0.27322,5.05881
0.77992,3.20142,3.39503,0.25358,4.69694
0.75524,3.08392,3.54609,0.23495,4.35320
0.73386,2.96561,3.69069,0.21673,4.01683
0.71555,2.84664,3.83003,0.19885,3.68633
0.70007,2.72713,3.96512,0.18128,3.36131
0.68721,2.60724,4.09673,0.16397,3.04101
0.67671,2.48712,4.22548,0.14691,2.72516
0.66835,2.36687,4.35187,0.13008,2.41342
0.66188,2.24661,4.47626,0.11347,2.10542
0.65706,2.12643,4.59892,0.09704,1.80082
0.65364,2.00636,4.72003,0.08078,1.49918
0.65139,1.88649,4.83968,0.06489,1.20441
0.65008,1.76674,4.95792,0.05102,0.94713
0.64950,1.64700,5.07463,0.04161,0.77243
0.64951,1.52774,5.18896,0.03443,0.63913
0.65001,1.40881,5.30098,0.02772,0.51452
0.65090,1.28968,5.41125,0.02107,0.39111
0.65210,1.17065,5.51957,0.01441,0.26752
0.65349,1.05161,5.62610,0.00794,0.14742
0.65500,0.93258,5.73082,0.00295,0.05476
0.65655,0.81376,5.83357,0.00128,0.02376
0.65812,0.69446,5.93494,0.00109,0.02023
0.65971,0.57493,6.03481,0.00108,0.02007
0.66131,0.45577,6.13275,0.00107,0.01989
0.66293,0.33663,6.22913,0.00106,0.01972
0.66456,0.21757,6.32398,0.00105,0.01955
0.66621,0.09863,6.41734,0.00104,0.01938
0.66786,-0.02025,6.50931,0.00103,0.01921
0.66954,-0.13907,6.59996,0.00103,0.01905
0.67122,-0.25787,6.68936,0.00102,0.01889
0.67292,-0.37665,6.77757,0.00101,0.01873
0.67463,-0.49543,6.86464,0.00100,0.01858
0.67636,-0.61422,6.95063,0.00099,0.01842
0.67811,-0.73301,7.03557,0.00098,0.01827
0.67986,-0.85180,7.11950,0.00098,0.01811
0.68163,-0.97059,7.20245,0.00097,0.01795
0.68341,-1.08934,7.28443,0.00096,0.01779
0.68521,-1.20804,7.36545,0.00095,0.01763
0.68702,-1.32664,7.44554,0.00094,0.01746
0.68884,-1.44512,7.52469,0.00093,0.01728
0.69067,-1.56347,7.60293,0.00092,0.01711
0.69251,-1.68173,7.68032,0.00091,0.01696
0.69436,-1.80000,7.75694,0.00091,0.01682
0.69623,-1.91845,7.83292,0.00090,0.01670
0.69812,-2.03726,7.90840,0.00089,0.01660
0.70003,-2.15655,7.98347,0.00089,0.01651
0.70196,-2.27639,8.00000,0.00089,0.01644
0.70391,-2.39684,8.00000,0.00088,0.01637
0.70589,-2.51806,8.00000,0.00088,0.01626
0.70789,-2.63960,8.00000,0.00087,0.01608
0.70989,-2.76041,8.00000,0.00085,0.01580
0.71188,-2.88005,8.00000,0.00083,0.01548
0.71386,-2.99837,8.00000,0.00082,0.01513
0.71582,-3.11501,8.00000,0.00079,0.01475
0.71776,-3.22972,8.00000,0.00077,0.01437
0.71967,-3.34222,8.00000,0.00076,0.01409
0.72159,-3.45429,8.00000,0.00076,0.01408
0.72356,-3.56908,8.00000,0.00077,0.01423
0.72559,-3.68673,8.00000,0.00077,0.01435
0.72766,-3.80603,8.00000,0.00077,0.01436
0.72976,-3.92634,8.00000,0.00077,0.01429
0.73188,-4.04712,8.00000,0.00076,0.01418
0.73402,-4.16820,8.00000,0.00076,0.01403
0.73617,-4.28924,8.00000,0.00075,0.01383
0.73831,-4.40961,8.00000,0.00073,0.01360
0.74045,-4.52923,8.00000,0.00072,0.01337
0.74260,-4.64833,8.00000,0.00071,0.01316
0.74474,-4.76700,8.00000,0.00070,0.01297
0.74689,-4.88537,8.00000,0.00069,0.01279
0.74905,-5.00362,8.00000,0.00068,0.01263
0.75122,-5.12190,8.00000,0.00067,0.01248
0.75339,-5.24030,8.00000,0.00066,0.01234
0.75559,-5.35885,8.00000,0.00066,0.01220
0.75779,-5.47751,8.00000,0.00065,0.01205
0.76000,-5.59627,8.00000,0.00064,0.01191
0.76223,-5.71509,8.00000,0.00063,0.01176
0.76446,-5.83394,8.00000,0.00063,0.01160
0.76670,-5.95280,8.00000,0.00062,0.01145
0.76895,-6.07167,8.00000,0.00061,0.01129
0.77121,-6.19054,8.00000,0.00060,0.01114
0.77348,-6.30941,8.00000,0.00059,0.01098
0.77576,-6.42828,8.00000,0.00058,0.01083
0.77804,-6.54715,8.00000,0.00057,0.01067
0.78033,-6.66601,8.00000,0.00057,0.01051
0.78263,-6.78488,8.00000,0.00056,0.01036
0.78494,-6.90374,8.00000,0.00055,0.01020
0.78726,-7.02260,8.00000,0.00054,0.01005
0.78958,-7.14146,8.00000,0.00053,0.00989
0.79191,-7.26032,8.00000,0.00052,0.00974
0.79425,-7.37917,8.00000,0.00052,0.00958
0.79660,-7.49802,8.00000,0.00051,0.00942
0.79895,-7.61687,8.00000,0.00050,0.00927
0.80131,-7.73571,8.00000,0.00049,0.00911
0.80368,-7.85454,8.00000,0.00048,0.00896
0.80605,-7.97337,8.00000,0.00047,0.00880
0.80843,-8.09220,8.00000,0.00047,0.00865
0.81082,-8.21102,8.00000,0.00046,0.00849
0.81321,-8.32983,8.00000,0.00045,0.00833
0.81561,-8.44864,8.00000,0.00044,0.00818
0.81802,-8.56744,8.00000,0.00043,0.00802
0.82043,-8.68623,8.00000,0.00042,0.00787
0.82284,-8.80502,8.00000,0.00042,0.00771
0.82527,-8.92380,8.00000,0.00041,0.00756
0.82770,-9.04257,8.00000,0.00040,0.00740
0.83013,-9.16134,8.00000,0.00039,0.00724
0.83257,-9.28010,8.00000,0.00038,0.00709
0.83501,-9.39885,8.00000,0.00037,0.00693
0.83746,-9.51760,8.00000,0.00037,0.00678
0.83992,-9.63634,8.00000,0.00036,0.00662
0.84238,-9.75507,8.00000,0.00035,0.00647
0.84484,-9.87379,8.00000,0.00034,0.00631
0.84731,-9.99251,8.00000,0.00033,0.00616
0.84978,-10.11123,8.00000,0.00032,0.00600
0.85226,-10.22994,8.00000,0.00031,0.00585
0.85474,-10.34864,8.00000,0.00031,0.00569
0.85723,-10.46734,8.00000,0.00030,0.00553
0.85972,-10.58603,8.00000,0.00029,0.00538
0.86222,-10.70472,8.00000,0.00028,0.00522
0.86471,-10.82341,8.00000,0.00027,0.00507
