# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.78592,3.15444,-1.66630,0.21786,0.65937,0.72187,3.40657
0.09979,0.77746,3.05502,-1.64537,0.20152,0.64687,0.72812,3.57850
0.19957,0.77100,2.95544,-1.62609,0.18475,0.64062,0.73437,3.73483
0.29936,0.76637,2.85576,-1.60851,0.16769,0.64062,0.74062,3.87871
0.39914,0.76342,2.75602,-1.59263,0.15044,0.63437,0.74062,4.01238
0.49893,0.76196,2.65625,-1.57849,0.13310,0.63437,0.74062,4.13749
0.59871,0.76182,2.55647,-1.56607,0.11571,0.63437,0.74062,4.25530
0.69850,0.76284,2.45669,-1.55539,0.09833,0.63437,0.74062,4.36681
0.79828,0.76484,2.35692,-1.54645,0.08099,0.63437,0.74062,4.47280
0.89807,0.76764,2.25717,-1.53923,0.06369,0.64062,0.73437,4.57391
0.99785,0.77108,2.15745,-1.53374,0.04644,0.64062,0.73437,4.67066
1.09764,0.77498,2.05774,-1.52996,0.02924,0.64687,0.72812,4.76351
1.19742,0.77917,1.95804,-1.52790,0.01206,0.65312,0.72812,4.85282
1.29721,0.78348,1.85835,-1.52755,-0.00510,0.65299,0.72187,4.93892
1.39700,0.78774,1.75866,-1.52892,-0.02228,0.63437,0.71562,5.02208
1.49678,0.79178,1.65895,-1.53200,-0.03948,0.65474,0.71562,5.10254
1.59657,0.79546,1.55923,-1.53587,-0.03793,0.66492,0.70937,5.18052
1.69635,0.79875,1.45950,-1.53957,-0.03624,0.64687,0.70312,5.25618
1.79614,0.80169,1.35976,-1.54310,-0.03453,0.66051,0.70312,5.32971
1.89592,0.80429,1.26001,-1.54646,-0.03283,0.66252,0.70312,5.40125
1.99571,0.80655,1.16025,-1.54965,-0.03111,0.65312,0.68688,5.47091
2.09549,0.80851,1.06048,-1.55267,-0.02940,0.66674,0.67187,5.53884
2.19528,0.81018,0.96071,-1.55552,-0.02768,0.66881,0.67187,5.60512
2.29506,0.81157,0.86094,-1.55820,-0.02596,0.67032,0.66562,5.66986
2.39485,0.81270,0.76116,-1.56070,-0.02423,0.68272,0.66562,5.73313
