# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
0.00000,0.53063,3.09217,-1.84576,0.37799,0.41389,0.98615,3.48108
0.09958,0.50536,2.99586,-1.80948,0.35044,0.38437,1.01144,3.58221
0.19915,0.48346,2.89872,-1.77598,0.32241,0.35937,1.03337,3.68147
0.29873,0.46470,2.80093,-1.74528,0.29432,0.34062,1.05213,3.77976
0.39831,0.44881,2.70264,-1.71736,0.26647,0.32187,1.06562,3.87768
0.49789,0.43553,2.60395,-1.69219,0.23906,0.30937,1.07812,3.97560
0.59746,0.42460,2.50498,-1.66973,0.21216,0.29687,1.08437,4.07371
0.69704,0.41577,2.40579,-1.64992,0.18581,0.28437,1.09062,4.17210
0.79662,0.40878,2.30646,-1.63271,0.16044,0.27813,1.09687,4.27075
0.89619,0.40338,2.20703,-1.61747,0.14569,0.27188,1.10312,4.36951
0.99577,0.39944,2.10754,-1.60370,0.13074,0.27188,1.10312,4.46672
1.09535,0.39678,2.00800,-1.59143,0.11564,0.26563,1.10937,4.56263
1.19493,0.39528,1.90843,-1.58067,0.10045,0.26563,1.10937,4.65742
1.29450,0.39477,1.80885,-1.57143,0.08520,0.26287,1.10937,4.75120
1.39408,0.39510,1.70928,-1.56370,0.06993,0.25490,1.10937,4.84402
1.49366,0.39613,1.60971,-1.55750,0.05464,0.26563,1.10937,4.93587
1.59323,0.39770,1.51014,-1.55282,0.03935,0.26563,1.10937,5.02668
1.69281,0.39966,1.41058,-1.54966,0.02407,0.25892,1.10312,5.11635
1.79239,0.40185,1.31103,-1.54803,0.00880,0.24688,1.10312,5.20471
1.89197,0.40414,1.21148,-1.54791,-0.00648,0.24688,1.09212,5.29152
1.99154,0.40636,1.11193,-1.54932,-0.02176,0.26582,1.08541,5.37653
2.09112,0.40837,1.01237,-1.55223,-0.03501,0.26775,1.07187,5.45938
2.19070,0.41005,0.91281,-1.55561,-0.03280,0.26941,1.07187,5.53982
2.29027,0.41140,0.81324,-1.55877,-0.03060,0.27967,1.06562,5.61880
2.38985,0.41245,0.71367,-1.56170,-0.02839,0.28437,1.06562,5.69639
2.48943,0.41322,0.61409,-1.56442,-0.02618,0.28437,1.06562,5.77267
2.58901,0.41373,0.51452,-1.56692,-0.02398,0.28437,1.06562,5.84769
2.68858,0.41400,0.41494,-1.56920,-0.02177,0.28437,1.06562,5.92151
2.78816,0.41405,0.31537,-1.57125,-0.01956,0.28437,1.06562,5.99417
2.88774,0.41391,0.21579,-1.57309,-0.01735,0.28437,1.06562,6.06573
2.98731,0.41360,0.11621,-1.57471,-0.01514,0.28437,1.06562,6.13622
3.08689,0.41314,0.01664,-1.57611,-0.01294,0.28437,1.06562,6.20569
3.18647,0.41255,-0.08294,-1.57729,-0.01073,0.28437,1.06562,6.27416
3.28604,0.41185,-0.18251,-1.57824,-0.00852,0.28437,1.06562,6.34166
3.38562,0.41107,-0.28209,-1.57898,-0.00631,0.28437,1.06562,6.40823
3.48520,0.41023,-0.38166,-1.57950,-0.00411,0.27813,1.07187,6.47388
3.58478,0.40935,-0.48124,-1.57980,-0.00190,0.27813,1.07187,6.53863
3.68435,0.40845,-0.58081,-1.57988,0.00031,0.27813,1.07187,6.60250
3.78393,0.40755,-0.68038,-1.57974,0.00251,0.27813,1.07187,6.66551
3.88351,0.40667,-0.77995,-1.57938,0.00472,0.27813,1.07187,6.72766
3.98308,0.40584,-0.87953,-1.57880,0.00693,0.27813,1.07187,6.78896
4.08266,0.40509,-0.97910,-1.57801,0.00851,0.27813,1.07187,6.84942
