# s_m,x_m,y_m,psi_rad,kappa_radpm,w_right_m,w_left_m,v_mps
# ellipse a_lat 8.75 lat_zones [16.5:21.0:8.0,28.0:36.0:9.0,36.0:38.5:6.75,39.0:41.0:5.3,41.0:43.4:8.0] a_long 7.0 a_brake 5.5 v_max 9.0 -> 8.247 s
0.00000,0.64213,3.16167,-1.81676,0.13608,0.51592,0.86534,3.75439
0.10716,0.61604,3.05773,-1.80206,0.20251,0.49026,0.89099,3.90885
0.21257,0.59342,2.95478,-1.77339,0.26563,0.46510,0.90990,4.04173
0.31637,0.57395,2.85282,-1.74657,0.25313,0.44745,0.92755,4.16690
0.41882,0.55735,2.75172,-1.72130,0.24167,0.43152,0.94347,4.28556
0.52047,0.54335,2.65104,-1.69735,0.23091,0.41745,0.95754,4.39907
0.62160,0.53176,2.55058,-1.67453,0.22146,0.40521,0.96979,4.50810
0.72232,0.52245,2.45029,-1.65268,0.21297,0.39480,0.98020,4.61317
0.82272,0.51531,2.35014,-1.63171,0.20513,0.38618,0.98882,4.71467
0.92286,0.51024,2.25013,-1.61156,0.19696,0.37933,0.99567,4.81316
1.02286,0.50716,2.15018,-1.59231,0.17796,0.38048,0.99452,4.90900
1.12276,0.50594,2.05029,-1.57599,0.12118,0.37704,0.99795,5.00496
1.22256,0.50612,1.95048,-1.56812,0.04471,0.37484,1.00016,5.10759
1.32233,0.50648,1.85072,-1.56708,0.00503,0.37572,0.99601,5.21473
1.42216,0.50686,1.75089,-1.56711,-0.00115,0.35185,0.99815,5.32040
1.52175,0.50721,1.65130,-1.56731,-0.00181,0.35594,1.00030,5.42324
1.62120,0.50756,1.55185,-1.56747,-0.00266,0.35391,0.99608,5.52353
1.72062,0.50788,1.45243,-1.56784,-0.00658,0.35200,0.99799,5.62148
1.82006,0.50814,1.35299,-1.56878,-0.01403,0.35643,0.99356,5.71717
1.91946,0.50828,1.25359,-1.57062,-0.01809,0.35463,0.99536,5.81068
2.01886,0.50818,1.15419,-1.57238,-0.01367,0.35275,0.98522,5.90228
2.11826,0.50796,1.05479,-1.57334,-0.00790,0.35087,0.97412,5.99216
2.21763,0.50767,0.95542,-1.57395,-0.00520,0.35533,0.96967,6.08041
2.31703,0.50734,0.85602,-1.57438,-0.00388,0.36612,0.97136,6.16706
2.41641,0.50696,0.75664,-1.57472,-0.00322,0.37702,0.97298,6.25213
2.51580,0.50656,0.65726,-1.57502,-0.00280,0.37552,0.97448,6.33570
2.61519,0.50612,0.55786,-1.57528,-0.00249,0.37413,0.97587,6.41784
2.71455,0.50567,0.45850,-1.57551,-0.00222,0.37910,0.97091,6.49857
2.81394,0.50519,0.35912,-1.57572,-0.00181,0.37794,0.97206,6.57800
2.91335,0.50469,0.25971,-1.57587,-0.00121,0.37685,0.97315,6.65619
3.01274,0.50418,0.16032,-1.57596,-0.00072,0.37591,0.97409,6.73313
3.11212,0.50366,0.06094,-1.57601,-0.00046,0.37508,0.97492,6.80889
3.21153,0.50314,-0.03847,-1.57605,-0.00033,0.37437,0.97563,6.88354
3.31095,0.50262,-0.13788,-1.57608,-0.00027,0.37377,0.97623,6.95711
3.41033,0.50209,-0.23727,-1.57610,-0.00022,0.37329,0.97671,7.02959
3.50973,0.50156,-0.33667,-1.57612,-0.00019,0.37293,0.97707,7.10108
3.60916,0.50103,-0.43609,-1.57614,-0.00017,0.37269,0.97731,7.17159
3.70858,0.50050,-0.53551,-1.57616,-0.00016,0.37255,0.97745,7.24116
3.80799,0.49996,-0.63492,-1.57617,-0.00015,0.37252,0.97747,7.30979
3.90743,0.49943,-0.73436,-1.57619,-0.00014,0.37261,0.97739,7.37756
4.00686,0.49889,-0.83379,-1.57620,-0.00014,0.36655,0.98345,7.44445
4.10630,0.49835,-0.93322,-1.57621,-0.00014,0.36685,0.98315,7.51051
4.20574,0.49782,-1.03267,-1.57623,-0.00013,0.36725,0.98275,7.57577
4.30520,0.49728,-1.13212,-1.57624,-0.00013,0.36775,0.98225,7.64024
4.40466,0.49673,-1.23159,-1.57625,-0.00012,0.36835,0.98165,7.70395
4.50414,0.49619,-1.33106,-1.57626,-0.00012,0.36907,0.98093,7.76692
4.60361,0.49565,-1.43053,-1.57628,-0.00013,0.36362,0.98638,7.82916
4.70308,0.49510,-1.53000,-1.57629,-0.00013,0.36451,0.98549,7.89070
4.80258,0.49455,-1.62950,-1.57630,-0.00013,0.36549,0.98451,7.95157
4.90205,0.49400,-1.72896,-1.57631,-0.00013,0.36657,0.98343,8.01175
5.00156,0.49345,-1.82847,-1.57633,-0.00013,0.36150,0.98850,8.07131
5.10109,0.49290,-1.92801,-1.57634,-0.00013,0.36274,0.98726,8.13025
5.20059,0.49235,-2.02750,-1.57635,-0.00013,0.36408,0.98592,8.18854
5.30011,0.49180,-2.12702,-1.57637,-0.00013,0.36551,0.99075,8.24624
5.39966,0.49124,-2.22657,-1.57638,-0.00013,0.36075,0.98926,8.30337
5.49918,0.49069,-2.32609,-1.57639,-0.00013,0.36236,0.98765,8.35991
5.59873,0.49013,-2.42564,-1.57640,-0.00013,0.36402,0.99224,8.41590
5.69830,0.48957,-2.52520,-1.57642,-0.00014,0.35951,0.99050,8.47135
5.79787,0.48901,-2.62477,-1.57643,-0.00014,0.36132,0.98868,8.52627
5.89745,0.48845,-2.72435,-1.57645,-0.00014,0.35697,0.90611,8.58066
5.99704,0.48788,-2.82394,-1.57646,-0.00014,0.35892,0.80700,8.63455
6.09663,0.48732,-2.92353,-1.57647,-0.00013,0.36097,0.70904,8.68794
6.19625,0.48675,-3.02315,-1.57648,-0.00014,0.35680,0.61338,8.74084
6.29586,0.48619,-3.12275,-1.57650,-0.00012,0.35896,0.52270,8.79326
