t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu
0.000,0.000,0.8005,3.1583,-89.997,0.7970,3.1540,-90.105,0.0043,-0.0035,0.0055,-0.108,0.7954,3.1528,-0.003,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0123,1.6887,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8005,3.1583,-89.997,0.7954,3.1528,-90.000,0.0055,-0.0051,0.0075,-0.003,0.7951,3.1507,0.052,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0121,1.6556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8005,3.1583,-89.997,0.7954,3.1528,-90.000,0.0055,-0.0051,0.0075,-0.003,0.7951,3.1507,0.052,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0121,1.6556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8005,3.1583,-89.997,0.7954,3.1528,-90.000,0.0055,-0.0051,0.0075,-0.003,0.7951,3.1507,0.052,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0121,1.6447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8005,3.1583,-89.997,0.7954,3.1528,-90.000,0.0055,-0.0051,0.0075,-0.003,0.7951,3.1507,0.052,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0121,1.6447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8005,3.1583,-89.997,0.7954,3.1528,-90.000,0.0055,-0.0051,0.0075,-0.003,0.7951,3.1507,0.052,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0121,1.6340,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8005,3.1583,-89.997,0.7954,3.1528,-90.000,0.0055,-0.0051,0.0075,-0.003,0.7951,3.1507,0.052,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0121,1.6340,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8005,3.1583,-89.997,0.7954,3.1528,-90.000,0.0055,-0.0051,0.0075,-0.003,0.7951,3.1507,0.052,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0121,1.6340,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8005,3.1583,-89.997,0.7954,3.1528,-90.000,0.0055,-0.0051,0.0075,-0.003,0.7968,3.1491,0.216,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0121,1.6340,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8005,3.1583,-89.997,0.7953,3.1520,-89.980,0.0063,-0.0052,0.0082,0.016,0.7968,3.1491,0.216,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0120,1.6144,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8005,3.1583,-89.997,0.7951,3.1507,-89.945,0.0076,-0.0054,0.0093,0.052,0.7968,3.1491,0.216,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8005,3.1583,-89.997,0.7951,3.1507,-89.945,0.0076,-0.0054,0.0093,0.052,0.7968,3.1491,0.216,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8005,3.1583,-89.997,0.7951,3.1507,-89.945,0.0076,-0.0054,0.0093,0.052,0.7968,3.1491,0.216,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8005,3.1583,-89.997,0.7951,3.1507,-89.945,0.0076,-0.0054,0.0093,0.052,0.7968,3.1491,0.216,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8005,3.1583,-89.997,0.7951,3.1507,-89.945,0.0076,-0.0054,0.0093,0.052,0.7968,3.1491,0.216,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8005,3.1583,-89.997,0.7951,3.1507,-89.945,0.0076,-0.0054,0.0093,0.052,0.7968,3.1491,0.216,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8005,3.1583,-89.997,0.7958,3.1500,-89.879,0.0083,-0.0047,0.0095,0.118,0.7968,3.1491,0.216,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0106,1.4314,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.000,0.8005,3.1583,-89.997,0.7968,3.1491,-89.781,0.0092,-0.0037,0.0099,0.216,0.7940,3.1484,0.045,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0094,1.2745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.000,0.8005,3.1583,-89.997,0.7968,3.1491,-89.781,0.0092,-0.0037,0.0099,0.216,0.7940,3.1484,0.045,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0094,1.2745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.000,0.8005,3.1583,-89.997,0.7968,3.1491,-89.781,0.0092,-0.0037,0.0099,0.216,0.7940,3.1484,0.045,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0094,1.2745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
