t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu
0.000,0.000,0.8004,3.1583,-89.997,0.7981,3.1557,-90.112,0.0026,-0.0023,0.0035,-0.115,0.7981,3.1569,-0.110,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0111,1.5232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8004,3.1583,-89.997,0.7979,3.1560,-90.078,0.0023,-0.0025,0.0034,-0.081,0.7981,3.1569,-0.110,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0111,1.5232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8004,3.1583,-89.997,0.7979,3.1560,-90.078,0.0023,-0.0025,0.0034,-0.081,0.7981,3.1569,-0.110,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0111,1.5232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8004,3.1583,-89.997,0.7979,3.1560,-90.078,0.0023,-0.0025,0.0034,-0.081,0.7981,3.1569,-0.110,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0111,1.5232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8004,3.1583,-89.997,0.7979,3.1560,-90.078,0.0023,-0.0025,0.0034,-0.081,0.7981,3.1569,-0.110,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0111,1.5232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8004,3.1583,-89.997,0.7979,3.1560,-90.078,0.0023,-0.0025,0.0034,-0.081,0.7981,3.1569,-0.110,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0112,1.5298,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8004,3.1583,-89.997,0.7979,3.1560,-90.078,0.0023,-0.0025,0.0034,-0.081,0.7981,3.1569,-0.110,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0112,1.5298,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8004,3.1583,-89.997,0.7979,3.1560,-90.078,0.0023,-0.0025,0.0034,-0.081,0.7960,3.1574,-0.024,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0112,1.5298,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8004,3.1583,-89.997,0.7980,3.1566,-90.097,0.0017,-0.0024,0.0029,-0.100,0.7960,3.1574,-0.024,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0110,1.5033,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8004,3.1583,-89.997,0.7981,3.1569,-90.107,0.0014,-0.0023,0.0027,-0.110,0.7960,3.1574,-0.024,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0111,1.5232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8004,3.1583,-89.997,0.7981,3.1569,-90.107,0.0014,-0.0023,0.0027,-0.110,0.7960,3.1574,-0.024,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0111,1.5232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8004,3.1583,-89.997,0.7981,3.1569,-90.107,0.0014,-0.0023,0.0027,-0.110,0.7960,3.1574,-0.024,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0111,1.5232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8004,3.1583,-89.997,0.7981,3.1569,-90.107,0.0014,-0.0023,0.0027,-0.110,0.7960,3.1574,-0.024,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0111,1.5232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8004,3.1583,-89.997,0.7981,3.1569,-90.107,0.0014,-0.0023,0.0027,-0.110,0.7960,3.1574,-0.024,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0111,1.5232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8004,3.1583,-89.997,0.7981,3.1569,-90.107,0.0014,-0.0023,0.0027,-0.110,0.7960,3.1574,-0.024,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0111,1.5232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8004,3.1583,-89.997,0.7981,3.1569,-90.107,0.0014,-0.0023,0.0027,-0.110,0.7960,3.1574,-0.024,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0111,1.5232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8004,3.1583,-89.997,0.7965,3.1573,-90.040,0.0010,-0.0039,0.0041,-0.044,0.7960,3.1574,-0.024,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0122,1.6645,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.851,0.000,0.8004,3.1583,-89.997,0.7960,3.1574,-90.021,0.0009,-0.0044,0.0045,-0.024,0.7974,3.1564,-0.118,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0123,1.6776,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.000,0.8004,3.1583,-89.997,0.7960,3.1574,-90.021,0.0009,-0.0044,0.0045,-0.024,0.7974,3.1564,-0.118,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0123,1.6667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.000,0.8004,3.1583,-89.997,0.7960,3.1574,-90.021,0.0009,-0.0044,0.0045,-0.024,0.7974,3.1564,-0.118,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0123,1.6667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000,0.000,0.8004,3.1583,-89.997,0.7960,3.1574,-90.021,0.0009,-0.0044,0.0045,-0.024,0.7974,3.1564,-0.118,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0123,1.6667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.050,0.000,0.8004,3.1583,-89.997,0.7960,3.1574,-90.021,0.0009,-0.0044,0.0045,-0.024,0.7974,3.1564,-0.118,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0123,1.6667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100,0.000,0.8004,3.1583,-89.997,0.7960,3.1574,-90.021,0.0009,-0.0044,0.0045,-0.024,0.7974,3.1564,-0.118,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0123,1.6667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.150,0.000,0.8004,3.1583,-89.997,0.7960,3.1574,-90.021,0.0009,-0.0044,0.0045,-0.024,0.7974,3.1564,-0.118,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0123,1.6667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200,0.000,0.8004,3.1583,-89.997,0.7960,3.1574,-90.021,0.0009,-0.0044,0.0045,-0.024,0.7974,3.1564,-0.118,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0123,1.6667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.250,0.000,0.8004,3.1583,-89.997,0.7967,3.1569,-90.070,0.0014,-0.0037,0.0040,-0.073,0.7963,3.1557,-0.082,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0123,1.6667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300,0.000,0.8004,3.1583,-89.997,0.7974,3.1564,-90.115,0.0019,-0.0030,0.0036,-0.118,0.7963,3.1557,-0.082,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0121,1.6275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.350,0.000,0.8004,3.1583,-89.997,0.7974,3.1564,-90.115,0.0019,-0.0030,0.0036,-0.118,0.7963,3.1557,-0.082,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0121,1.6275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.400,0.000,0.8004,3.1583,-89.997,0.7974,3.1564,-90.115,0.0019,-0.0030,0.0036,-0.118,0.7963,3.1557,-0.082,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0121,1.6275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.450,0.000,0.8004,3.1583,-89.997,0.7974,3.1564,-90.115,0.0019,-0.0030,0.0036,-0.118,0.7963,3.1557,-0.082,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0121,1.6275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.500,0.000,0.8004,3.1583,-89.997,0.7974,3.1564,-90.115,0.0019,-0.0030,0.0036,-0.118,0.7963,3.1557,-0.082,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0121,1.6275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
