t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu
0.000,0.000,0.8005,3.1583,-89.997,0.7977,3.1547,-90.142,0.0036,-0.0028,0.0046,-0.145,0.7956,3.1526,0.067,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0120,1.6358,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8005,3.1583,-89.997,0.7958,3.1527,-89.947,0.0056,-0.0047,0.0073,0.050,0.7970,3.1513,0.016,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0115,1.5695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8005,3.1583,-89.997,0.7956,3.1526,-89.930,0.0057,-0.0049,0.0075,0.067,0.7970,3.1513,0.016,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0113,1.5497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8005,3.1583,-89.997,0.7956,3.1526,-89.930,0.0057,-0.0049,0.0075,0.067,0.7970,3.1513,0.016,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0113,1.5497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8005,3.1583,-89.997,0.7956,3.1526,-89.930,0.0057,-0.0049,0.0075,0.067,0.7970,3.1513,0.016,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0113,1.5497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.251,0.000,0.8005,3.1583,-89.997,0.7956,3.1526,-89.930,0.0057,-0.0049,0.0075,0.067,0.7970,3.1513,0.016,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0113,1.5497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8005,3.1583,-89.997,0.7956,3.1526,-89.930,0.0057,-0.0049,0.0075,0.067,0.7970,3.1513,0.016,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0113,1.5497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8005,3.1583,-89.997,0.7956,3.1526,-89.930,0.0057,-0.0049,0.0075,0.067,0.7970,3.1513,0.016,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0113,1.5497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8005,3.1583,-89.997,0.7956,3.1526,-89.930,0.0057,-0.0049,0.0075,0.067,0.7970,3.1513,0.016,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0113,1.5497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8005,3.1583,-89.997,0.7957,3.1525,-89.931,0.0058,-0.0048,0.0075,0.066,0.7970,3.1513,0.016,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0113,1.5497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
