t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu
0.000,0.000,0.8003,3.1583,-89.997,0.7976,3.1550,-89.968,0.0033,-0.0027,0.0043,0.029,0.7973,3.1564,0.013,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0106,1.4248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8003,3.1583,-89.997,0.7974,3.1550,-89.877,0.0033,-0.0029,0.0044,0.120,0.7973,3.1564,0.013,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0099,1.3399,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8003,3.1583,-89.997,0.7974,3.1550,-89.877,0.0033,-0.0029,0.0044,0.120,0.7973,3.1564,0.013,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0099,1.3399,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8003,3.1583,-89.997,0.7974,3.1550,-89.877,0.0033,-0.0029,0.0044,0.120,0.7973,3.1564,0.013,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0099,1.3399,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8003,3.1583,-89.997,0.7974,3.1550,-89.877,0.0033,-0.0029,0.0044,0.120,0.7973,3.1564,0.013,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0099,1.3399,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8003,3.1583,-89.997,0.7974,3.1550,-89.877,0.0033,-0.0029,0.0044,0.120,0.7973,3.1564,0.013,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0099,1.3399,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8003,3.1583,-89.997,0.7974,3.1550,-89.877,0.0033,-0.0029,0.0044,0.120,0.7973,3.1564,0.013,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0099,1.3399,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8003,3.1583,-89.997,0.7974,3.1550,-89.877,0.0033,-0.0029,0.0044,0.120,0.7973,3.1564,0.013,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0099,1.3399,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8003,3.1583,-89.997,0.7973,3.1560,-89.954,0.0023,-0.0030,0.0038,0.043,0.7973,3.1564,0.013,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0107,1.4444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8003,3.1583,-89.997,0.7973,3.1564,-89.984,0.0019,-0.0030,0.0035,0.013,0.7933,3.1555,-0.010,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0109,1.4771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8003,3.1583,-89.997,0.7973,3.1564,-89.984,0.0019,-0.0030,0.0035,0.013,0.7933,3.1555,-0.010,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0109,1.4771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8003,3.1583,-89.997,0.7973,3.1564,-89.984,0.0019,-0.0030,0.0035,0.013,0.7933,3.1555,-0.010,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0109,1.4771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8003,3.1583,-89.997,0.7973,3.1564,-89.984,0.0019,-0.0030,0.0035,0.013,0.7933,3.1555,-0.010,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0109,1.4771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8003,3.1583,-89.997,0.7973,3.1564,-89.984,0.0019,-0.0030,0.0035,0.013,0.7933,3.1555,-0.010,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0109,1.4675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8003,3.1583,-89.997,0.7973,3.1564,-89.984,0.0019,-0.0030,0.0035,0.013,0.7933,3.1555,-0.010,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0109,1.4675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8003,3.1583,-89.997,0.7973,3.1564,-89.984,0.0019,-0.0030,0.0035,0.013,0.7933,3.1555,-0.010,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0109,1.4675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8003,3.1583,-89.997,0.7973,3.1564,-89.984,0.0019,-0.0030,0.0035,0.013,0.7933,3.1555,-0.010,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0109,1.4675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.000,0.8003,3.1583,-89.997,0.7955,3.1560,-89.994,0.0023,-0.0048,0.0053,0.003,0.7926,3.1552,0.106,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0122,1.6429,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.000,0.8003,3.1583,-89.997,0.7933,3.1555,-90.007,0.0028,-0.0070,0.0076,-0.010,0.7926,3.1552,0.106,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0137,1.8377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.000,0.8003,3.1583,-89.997,0.7933,3.1555,-90.007,0.0028,-0.0070,0.0076,-0.010,0.7926,3.1552,0.106,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0137,1.8377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000,0.000,0.8003,3.1583,-89.997,0.7933,3.1555,-90.007,0.0028,-0.0070,0.0076,-0.010,0.7926,3.1552,0.106,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0137,1.8377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.050,0.000,0.8003,3.1583,-89.997,0.7933,3.1555,-90.007,0.0028,-0.0070,0.0076,-0.010,0.7926,3.1552,0.106,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0137,1.8377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100,0.000,0.8003,3.1583,-89.997,0.7933,3.1555,-90.007,0.0028,-0.0070,0.0076,-0.010,0.7926,3.1552,0.106,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0137,1.8377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.150,0.000,0.8003,3.1583,-89.997,0.7933,3.1555,-90.007,0.0028,-0.0070,0.0076,-0.010,0.7926,3.1552,0.106,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0137,1.8377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200,0.000,0.8004,3.1583,-89.997,0.7933,3.1555,-90.007,0.0028,-0.0071,0.0077,-0.010,0.7955,3.1575,0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0137,1.8867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.250,0.000,0.8004,3.1583,-89.997,0.7930,3.1553,-89.960,0.0029,-0.0074,0.0079,0.037,0.7955,3.1575,0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0133,1.8333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300,0.000,0.8004,3.1583,-89.997,0.7926,3.1552,-89.890,0.0031,-0.0078,0.0084,0.106,0.7955,3.1575,0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0127,1.7417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.350,0.000,0.8004,3.1583,-89.997,0.7926,3.1552,-89.890,0.0031,-0.0078,0.0084,0.106,0.7955,3.1575,0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0127,1.7417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.400,0.000,0.8004,3.1583,-89.997,0.7926,3.1552,-89.890,0.0031,-0.0078,0.0084,0.106,0.7955,3.1575,0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0127,1.7417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.450,0.000,0.8004,3.1583,-89.997,0.7926,3.1552,-89.890,0.0031,-0.0078,0.0084,0.106,0.7955,3.1575,0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0128,1.7550,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.500,0.000,0.8004,3.1583,-89.997,0.7926,3.1552,-89.890,0.0031,-0.0078,0.0084,0.106,0.7955,3.1575,0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0128,1.7550,0.0000,0.0000,nan,4.4361,0.7053,0.0279,0.4742,0.8000,-0.1709,-0.2024,-0.2405,3.1262,0.0800,0.0003
1.550,0.000,0.8004,3.1583,-89.997,0.7926,3.1552,-89.890,0.0031,-0.0078,0.0084,0.106,0.7955,3.1575,0.224,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0128,1.7550,0.0000,0.0000,nan,4.4361,0.7053,0.0279,0.4742,0.8000,-0.1709,-0.2024,-0.2405,3.1262,0.0800,-0.0001
1.600,0.000,0.8004,3.1583,-89.997,0.7926,3.1548,-89.890,0.0035,-0.0078,0.0085,0.106,0.7955,3.1575,0.224,0.0000,-0.0004,-89.997,0.004,0.0000,0.000,0.0004,0.0073,0.0128,1.7550,0.0057,0.0065,nan,4.4361,0.7110,0.0282,0.4742,0.8000,-0.1709,-0.2024,-0.2405,3.1262,0.0800,4.0881
1.650,0.000,0.8004,3.1583,-89.997,0.7943,3.1562,-89.820,0.0021,-0.0061,0.0064,0.176,0.7955,3.1575,0.224,0.0000,-0.0004,-89.997,0.004,0.0000,0.000,0.0004,0.0073,0.0111,1.5232,0.0063,0.0065,nan,4.4361,0.7116,0.0282,0.4699,0.8000,-0.1693,-0.2014,-0.2405,3.1262,0.0800,4.0881
1.700,0.011,0.8003,3.1472,-89.732,0.7958,3.1181,-88.727,0.0290,-0.0046,0.0294,1.005,0.7955,3.1575,0.224,0.0002,-0.0394,-88.951,0.337,0.2141,0.039,0.0283,0.0065,0.0097,1.4917,0.3513,0.6581,nan,4.5178,1.0613,0.0420,0.4154,0.8000,-0.1749,-0.1668,-0.2320,3.1957,0.0800,5.1269
1.750,0.039,0.8007,3.1197,-88.538,0.7969,3.0835,-86.744,0.0361,-0.0048,0.0365,1.794,0.7955,3.1575,0.224,0.0011,-0.0740,-86.968,0.622,0.4625,0.074,0.0354,0.0061,0.0169,2.7704,0.5701,0.6377,nan,4.5178,1.2800,0.0507,0.4020,0.8000,-0.1803,-0.1334,-0.2320,3.1957,0.0800,2.7193
1.800,0.076,0.8022,3.0824,-86.964,0.7991,3.0443,-85.297,0.0378,-0.0051,0.0382,1.667,0.7955,3.1575,0.224,0.0031,-0.1132,-85.521,0.720,0.4889,0.113,0.0373,0.0068,0.0122,1.7933,0.6578,0.6783,nan,4.5588,1.3725,0.0544,0.3382,0.8000,-0.1850,-0.0925,-0.2235,3.2651,0.0800,6.4676
1.850,0.123,0.8055,3.0354,-85.175,0.8038,2.9913,-83.204,0.0438,-0.0054,0.0441,1.971,0.7978,3.1601,0.084,0.0076,-0.1662,-83.428,0.993,0.6456,0.166,0.0434,0.0056,0.0151,2.7077,0.8949,0.9801,nan,4.6412,1.6144,0.0639,0.2703,0.8000,-0.1891,-0.0415,-0.2151,3.3346,0.0800,5.9755
