t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu
0.000,0.000,0.8005,3.1583,-89.997,0.7983,3.1555,-90.158,0.0028,-0.0022,0.0036,-0.162,0.7989,3.1570,-0.008,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0114,1.5563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.052,0.000,0.8005,3.1583,-89.997,0.7981,3.1554,-90.063,0.0029,-0.0024,0.0038,-0.066,0.7989,3.1570,-0.008,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0109,1.4901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.103,0.000,0.8005,3.1583,-89.997,0.7980,3.1554,-90.022,0.0029,-0.0026,0.0038,-0.025,0.7989,3.1570,-0.008,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0107,1.4636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8005,3.1583,-89.997,0.7980,3.1554,-90.022,0.0029,-0.0026,0.0038,-0.025,0.7989,3.1570,-0.008,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0107,1.4636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8005,3.1583,-89.997,0.7980,3.1554,-90.022,0.0029,-0.0026,0.0038,-0.025,0.7989,3.1570,-0.008,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0107,1.4636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8005,3.1583,-89.997,0.7980,3.1554,-90.022,0.0029,-0.0026,0.0038,-0.025,0.7989,3.1570,-0.008,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0107,1.4636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8005,3.1583,-89.997,0.7980,3.1555,-90.021,0.0028,-0.0025,0.0038,-0.025,0.7989,3.1570,-0.008,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0107,1.4636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8005,3.1583,-89.997,0.7984,3.1562,-90.014,0.0021,-0.0021,0.0030,-0.017,0.7989,3.1570,-0.008,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0100,1.3709,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8005,3.1583,-89.997,0.7989,3.1569,-90.006,0.0014,-0.0016,0.0022,-0.009,0.7997,3.1575,-0.033,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0095,1.2980,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.452,0.000,0.8005,3.1583,-89.997,0.7989,3.1570,-90.005,0.0013,-0.0016,0.0021,-0.008,0.7997,3.1575,-0.033,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0094,1.2848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8005,3.1583,-89.997,0.7989,3.1570,-90.005,0.0013,-0.0016,0.0021,-0.008,0.7997,3.1575,-0.033,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0094,1.2848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8005,3.1583,-89.997,0.7989,3.1570,-90.005,0.0013,-0.0016,0.0021,-0.008,0.7997,3.1575,-0.033,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0094,1.2848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8005,3.1583,-89.997,0.7989,3.1570,-90.005,0.0013,-0.0016,0.0021,-0.008,0.7997,3.1575,-0.033,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0094,1.2848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8005,3.1583,-89.997,0.7989,3.1570,-90.005,0.0013,-0.0016,0.0021,-0.008,0.7997,3.1575,-0.033,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0094,1.2848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8005,3.1583,-89.997,0.7989,3.1570,-90.005,0.0013,-0.0016,0.0021,-0.008,0.7997,3.1575,-0.033,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0094,1.2848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.754,0.000,0.8005,3.1583,-89.997,0.7989,3.1570,-90.005,0.0013,-0.0016,0.0021,-0.008,0.7997,3.1575,-0.033,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0094,1.2848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8005,3.1583,-89.997,0.7993,3.1572,-90.017,0.0011,-0.0012,0.0016,-0.021,0.7993,3.1553,-0.059,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0090,1.2318,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.851,0.000,0.8005,3.1583,-89.997,0.7997,3.1575,-90.030,0.0008,-0.0008,0.0011,-0.033,0.7993,3.1553,-0.059,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0085,1.1656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.901,0.000,0.8005,3.1583,-89.997,0.7997,3.1575,-90.030,0.0008,-0.0008,0.0011,-0.033,0.7993,3.1553,-0.059,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0085,1.1656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.000,0.8005,3.1583,-89.997,0.7997,3.1575,-90.030,0.0008,-0.0008,0.0011,-0.033,0.7993,3.1553,-0.059,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0086,1.1722,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000,0.000,0.8005,3.1583,-89.997,0.7997,3.1575,-90.030,0.0008,-0.0008,0.0011,-0.033,0.7993,3.1553,-0.059,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0086,1.1711,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.050,0.000,0.8005,3.1583,-89.997,0.7997,3.1575,-90.030,0.0008,-0.0008,0.0011,-0.033,0.7993,3.1553,-0.059,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0086,1.1711,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100,0.000,0.8005,3.1583,-89.997,0.7997,3.1575,-90.030,0.0008,-0.0008,0.0011,-0.033,0.7993,3.1553,-0.059,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0086,1.1634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.152,0.000,0.8005,3.1583,-89.997,0.7997,3.1575,-90.030,0.0008,-0.0008,0.0011,-0.033,0.7993,3.1553,-0.059,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0086,1.1634,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200,0.000,0.8005,3.1583,-89.997,0.7995,3.1565,-90.042,0.0018,-0.0010,0.0020,-0.045,0.7993,3.1553,-0.059,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0088,1.1830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.250,0.000,0.8005,3.1583,-89.997,0.7993,3.1553,-90.056,0.0030,-0.0012,0.0032,-0.059,0.8018,3.1586,-0.162,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0091,1.2353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.301,0.000,0.8005,3.1583,-89.997,0.7993,3.1553,-90.056,0.0030,-0.0012,0.0032,-0.059,0.8018,3.1586,-0.162,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0091,1.2353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.350,0.000,0.8005,3.1583,-89.997,0.7993,3.1553,-90.056,0.0030,-0.0012,0.0032,-0.059,0.8018,3.1586,-0.162,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0091,1.2353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
