t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu
0.000,0.000,0.8008,3.1583,-89.997,0.7983,3.1550,-90.111,0.0033,-0.0025,0.0042,-0.115,0.7980,3.1537,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0114,1.5425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8008,3.1583,-89.997,0.7985,3.1535,-89.884,0.0048,-0.0023,0.0053,0.113,0.7980,3.1537,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0097,1.3072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8008,3.1583,-89.997,0.7985,3.1532,-89.839,0.0051,-0.0023,0.0056,0.157,0.7980,3.1537,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0092,1.2418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8008,3.1583,-89.997,0.7985,3.1532,-89.839,0.0051,-0.0023,0.0056,0.157,0.7980,3.1537,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0092,1.2418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8008,3.1583,-89.997,0.7985,3.1532,-89.839,0.0051,-0.0023,0.0056,0.157,0.7980,3.1537,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0092,1.2418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8008,3.1583,-89.997,0.7985,3.1532,-89.839,0.0051,-0.0023,0.0056,0.157,0.7980,3.1537,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0092,1.2418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8008,3.1583,-89.997,0.7985,3.1532,-89.839,0.0051,-0.0023,0.0056,0.157,0.7980,3.1537,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0092,1.2418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8008,3.1583,-89.997,0.7985,3.1532,-89.839,0.0051,-0.0023,0.0056,0.157,0.7980,3.1537,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0092,1.2418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8008,3.1583,-89.997,0.7985,3.1532,-89.839,0.0051,-0.0023,0.0056,0.157,0.7980,3.1537,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0092,1.2418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8008,3.1583,-89.997,0.7982,3.1535,-89.872,0.0048,-0.0026,0.0055,0.125,0.7963,3.1536,0.089,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0097,1.3052,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8008,3.1583,-89.997,0.7980,3.1537,-89.894,0.0046,-0.0028,0.0054,0.103,0.7963,3.1536,0.089,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0100,1.3377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8008,3.1583,-89.997,0.7980,3.1537,-89.894,0.0046,-0.0028,0.0054,0.103,0.7963,3.1536,0.089,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0100,1.3377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8008,3.1583,-89.997,0.7980,3.1537,-89.894,0.0046,-0.0028,0.0054,0.103,0.7963,3.1536,0.089,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0100,1.3377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8008,3.1583,-89.997,0.7980,3.1537,-89.894,0.0046,-0.0028,0.0054,0.103,0.7963,3.1536,0.089,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0100,1.3377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
