t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8004,3.1583,-89.997,0.7985,3.1552,-90.164,0.0031,-0.0019,0.0036,-0.167,0.7969,3.1577,-0.057,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0109,1.5067,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8004,3.1583,-89.997,0.7979,3.1558,-90.094,0.0025,-0.0025,0.0036,-0.098,0.7969,3.1577,-0.057,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0112,1.5400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8004,3.1583,-89.997,0.7977,3.1560,-90.074,0.0023,-0.0027,0.0036,-0.077,0.7969,3.1577,-0.057,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0113,1.5430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8004,3.1583,-89.997,0.7977,3.1560,-90.074,0.0023,-0.0027,0.0036,-0.077,0.7969,3.1577,-0.057,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0113,1.5430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8004,3.1583,-89.997,0.7977,3.1560,-90.074,0.0023,-0.0027,0.0036,-0.077,0.7969,3.1577,-0.057,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0113,1.5430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8004,3.1583,-89.997,0.7977,3.1560,-90.074,0.0023,-0.0027,0.0036,-0.077,0.7969,3.1577,-0.057,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0113,1.5430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8004,3.1583,-89.997,0.7977,3.1560,-90.074,0.0023,-0.0027,0.0036,-0.077,0.7969,3.1577,-0.057,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0113,1.5430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8004,3.1583,-89.997,0.7976,3.1561,-90.072,0.0022,-0.0028,0.0035,-0.075,0.7969,3.1577,-0.057,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0114,1.5563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8004,3.1583,-89.997,0.7970,3.1574,-90.057,0.0009,-0.0034,0.0035,-0.061,0.7969,3.1577,-0.057,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0121,1.6490,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8004,3.1583,-89.997,0.7969,3.1577,-90.054,0.0006,-0.0035,0.0035,-0.057,0.7961,3.1527,0.206,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0121,1.6556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8004,3.1583,-89.997,0.7969,3.1577,-90.054,0.0006,-0.0035,0.0035,-0.057,0.7961,3.1527,0.206,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0121,1.6556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8004,3.1583,-89.997,0.7969,3.1577,-90.054,0.0006,-0.0035,0.0035,-0.057,0.7961,3.1527,0.206,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0121,1.6556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8004,3.1583,-89.997,0.7969,3.1577,-90.054,0.0006,-0.0035,0.0035,-0.057,0.7961,3.1527,0.206,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0121,1.6556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8004,3.1583,-89.997,0.7969,3.1577,-90.054,0.0006,-0.0035,0.0035,-0.057,0.7961,3.1527,0.206,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0121,1.6556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8004,3.1583,-89.997,0.7969,3.1577,-90.054,0.0006,-0.0035,0.0035,-0.057,0.7961,3.1527,0.206,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0121,1.6556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8004,3.1583,-89.997,0.7969,3.1577,-90.054,0.0006,-0.0035,0.0035,-0.057,0.7961,3.1527,0.206,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0121,1.6556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8004,3.1583,-89.997,0.7969,3.1577,-90.054,0.0006,-0.0035,0.0035,-0.057,0.7966,3.1519,0.154,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0121,1.6556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.000,0.8004,3.1583,-89.997,0.7967,3.1561,-89.968,0.0022,-0.0037,0.0044,0.028,0.7966,3.1519,0.154,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0112,1.5364,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.000,0.8004,3.1583,-89.997,0.7961,3.1527,-89.791,0.0056,-0.0043,0.0070,0.206,0.7966,3.1519,0.154,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0099,1.3510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.000,0.8004,3.1583,-89.997,0.7961,3.1527,-89.791,0.0056,-0.0043,0.0070,0.206,0.7966,3.1519,0.154,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0099,1.3510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000,0.000,0.8004,3.1583,-89.997,0.7961,3.1527,-89.791,0.0056,-0.0043,0.0070,0.206,0.7966,3.1519,0.154,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0099,1.3510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
