t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8004,3.1583,-89.997,0.7967,3.1545,-90.084,0.0038,-0.0037,0.0053,-0.087,0.7945,3.1499,0.191,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0123,1.6887,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8004,3.1583,-89.997,0.7955,3.1538,-89.976,0.0045,-0.0049,0.0067,0.021,0.7945,3.1499,0.191,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0119,1.6225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8004,3.1583,-89.997,0.7955,3.1538,-89.976,0.0045,-0.0049,0.0067,0.021,0.7945,3.1499,0.191,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0119,1.6225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8004,3.1583,-89.997,0.7955,3.1538,-89.976,0.0045,-0.0049,0.0067,0.021,0.7945,3.1499,0.191,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0119,1.6225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8004,3.1583,-89.997,0.7955,3.1538,-89.976,0.0045,-0.0049,0.0067,0.021,0.7945,3.1499,0.191,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0119,1.6225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8004,3.1583,-89.997,0.7955,3.1538,-89.976,0.0045,-0.0049,0.0067,0.021,0.7945,3.1499,0.191,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0119,1.6225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8004,3.1583,-89.997,0.7955,3.1538,-89.976,0.0045,-0.0049,0.0067,0.021,0.7945,3.1499,0.191,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0119,1.6225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8004,3.1583,-89.997,0.7955,3.1538,-89.976,0.0045,-0.0049,0.0067,0.021,0.7945,3.1499,0.191,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0119,1.6225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8004,3.1583,-89.997,0.7952,3.1530,-89.940,0.0053,-0.0052,0.0074,0.057,0.7933,3.1497,0.121,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5855,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8004,3.1583,-89.997,0.7946,3.1504,-89.824,0.0079,-0.0058,0.0099,0.173,0.7933,3.1497,0.121,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0107,1.4605,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
