t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8007,3.1583,-89.997,0.7980,3.1554,-90.164,0.0029,-0.0027,0.0039,-0.168,0.7976,3.1562,-0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0121,1.6623,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8007,3.1583,-89.997,0.7976,3.1562,-90.068,0.0021,-0.0031,0.0038,-0.071,0.7954,3.1571,-0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0118,1.6118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8007,3.1583,-89.997,0.7976,3.1562,-90.068,0.0021,-0.0031,0.0038,-0.071,0.7954,3.1571,-0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0118,1.6013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8007,3.1583,-89.997,0.7976,3.1562,-90.068,0.0021,-0.0031,0.0038,-0.071,0.7954,3.1571,-0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0118,1.5909,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8007,3.1583,-89.997,0.7976,3.1562,-90.068,0.0021,-0.0031,0.0038,-0.071,0.7954,3.1571,-0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0119,1.5974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8007,3.1583,-89.997,0.7976,3.1562,-90.068,0.0021,-0.0031,0.0038,-0.071,0.7954,3.1571,-0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0119,1.5974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8007,3.1583,-89.997,0.7976,3.1562,-90.068,0.0021,-0.0031,0.0038,-0.071,0.7954,3.1571,-0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0119,1.5974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8007,3.1583,-89.997,0.7976,3.1562,-90.068,0.0021,-0.0031,0.0038,-0.071,0.7954,3.1571,-0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0119,1.5974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8007,3.1583,-89.997,0.7976,3.1562,-90.068,0.0021,-0.0031,0.0038,-0.071,0.7954,3.1571,-0.192,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0119,1.5974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8007,3.1583,-89.997,0.7971,3.1564,-90.095,0.0019,-0.0036,0.0041,-0.098,0.7942,3.1569,-0.007,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0126,1.6948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8007,3.1583,-89.997,0.7954,3.1571,-90.189,0.0012,-0.0053,0.0054,-0.192,0.7942,3.1569,-0.007,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0150,2.0195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8007,3.1583,-89.997,0.7954,3.1571,-90.189,0.0012,-0.0053,0.0054,-0.192,0.7942,3.1569,-0.007,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0150,2.0195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
