t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8013,3.1583,-89.997,0.7999,3.1544,-89.950,0.0039,-0.0014,0.0041,0.046,0.7999,3.1544,0.046,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0088,1.1830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8013,3.1583,-89.997,0.7999,3.1544,-89.950,0.0039,-0.0014,0.0041,0.046,0.7999,3.1544,0.046,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0088,1.1830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8013,3.1583,-89.997,0.7999,3.1544,-89.950,0.0039,-0.0014,0.0041,0.046,0.7999,3.1544,0.046,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0088,1.1830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8013,3.1583,-89.997,0.7999,3.1544,-89.950,0.0039,-0.0014,0.0041,0.046,0.7999,3.1544,0.046,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0088,1.1830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8014,3.1583,-89.997,0.7999,3.1544,-89.950,0.0039,-0.0015,0.0041,0.046,0.7999,3.1544,0.046,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0088,1.2133,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8014,3.1583,-89.997,0.7999,3.1544,-89.950,0.0039,-0.0015,0.0041,0.046,0.7999,3.1544,0.046,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0088,1.2133,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8014,3.1583,-89.997,0.7999,3.1544,-89.950,0.0039,-0.0015,0.0041,0.046,0.7999,3.1544,0.046,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0088,1.2133,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8014,3.1583,-89.997,0.7999,3.1544,-89.950,0.0039,-0.0015,0.0041,0.046,0.7999,3.1544,0.046,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0088,1.2133,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8014,3.1583,-89.997,0.7999,3.1545,-89.920,0.0038,-0.0015,0.0041,0.077,0.7999,3.1545,0.077,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0087,1.2000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8014,3.1583,-89.997,0.7999,3.1545,-89.920,0.0038,-0.0015,0.0041,0.077,0.7999,3.1545,0.077,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0087,1.2000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8014,3.1583,-89.997,0.7999,3.1545,-89.920,0.0038,-0.0015,0.0041,0.077,0.7999,3.1545,0.077,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0087,1.2000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8014,3.1583,-89.997,0.7999,3.1545,-89.920,0.0038,-0.0015,0.0041,0.077,0.7999,3.1545,0.077,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0087,1.2000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8014,3.1583,-89.997,0.7999,3.1545,-89.920,0.0038,-0.0015,0.0041,0.077,0.7999,3.1545,0.077,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0087,1.2000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8014,3.1583,-89.997,0.7999,3.1545,-89.920,0.0038,-0.0015,0.0041,0.077,0.7999,3.1545,0.077,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0087,1.2000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8014,3.1583,-89.997,0.7999,3.1545,-89.920,0.0038,-0.0015,0.0041,0.077,0.7999,3.1545,0.077,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0087,1.2000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8014,3.1583,-89.997,0.7999,3.1545,-89.920,0.0038,-0.0015,0.0041,0.077,0.7999,3.1545,0.077,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0088,1.1987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8014,3.1583,-89.997,0.7999,3.1545,-89.920,0.0038,-0.0015,0.0041,0.077,0.7999,3.1545,0.077,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0088,1.1987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.000,0.8014,3.1583,-89.997,0.8001,3.1562,-90.026,0.0021,-0.0013,0.0025,-0.029,0.8001,3.1562,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0091,1.2517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.000,0.8014,3.1583,-89.997,0.8001,3.1562,-90.026,0.0021,-0.0013,0.0025,-0.029,0.8001,3.1562,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0091,1.2517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.000,0.8014,3.1583,-89.997,0.8001,3.1562,-90.026,0.0021,-0.0013,0.0025,-0.029,0.8001,3.1562,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0091,1.2517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000,0.000,0.8014,3.1583,-89.997,0.8001,3.1562,-90.026,0.0021,-0.0013,0.0025,-0.029,0.8001,3.1562,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0091,1.2517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.050,0.000,0.8014,3.1583,-89.997,0.8001,3.1562,-90.026,0.0021,-0.0013,0.0025,-0.029,0.8001,3.1562,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0091,1.2517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100,0.000,0.8014,3.1583,-89.997,0.8001,3.1562,-90.026,0.0021,-0.0013,0.0025,-0.029,0.8001,3.1562,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0091,1.2517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.150,0.000,0.8014,3.1583,-89.997,0.8001,3.1562,-90.026,0.0021,-0.0013,0.0025,-0.029,0.8001,3.1562,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0091,1.2517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200,0.000,0.8014,3.1583,-89.997,0.8001,3.1562,-90.026,0.0021,-0.0013,0.0025,-0.029,0.8001,3.1562,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0091,1.2517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.250,0.000,0.8014,3.1583,-89.997,0.8001,3.1562,-90.026,0.0021,-0.0013,0.0025,-0.029,0.8001,3.1562,-0.029,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0091,1.2517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300,0.000,0.8014,3.1583,-89.997,0.7979,3.1561,-90.087,0.0022,-0.0035,0.0042,-0.091,0.7979,3.1561,-0.091,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0124,1.6954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.350,0.000,0.8014,3.1583,-89.997,0.7979,3.1561,-90.087,0.0022,-0.0035,0.0042,-0.091,0.7979,3.1561,-0.091,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0124,1.6954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.400,0.000,0.8014,3.1583,-89.997,0.7979,3.1561,-90.087,0.0022,-0.0035,0.0042,-0.091,0.7979,3.1561,-0.091,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0124,1.6954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.450,0.000,0.8014,3.1583,-89.997,0.7979,3.1561,-90.087,0.0022,-0.0035,0.0042,-0.091,0.7979,3.1561,-0.091,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0124,1.6954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.500,0.000,0.8014,3.1583,-89.997,0.7979,3.1561,-90.087,0.0022,-0.0035,0.0042,-0.091,0.7979,3.1561,-0.091,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0124,1.6842,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.550,0.000,0.8014,3.1583,-89.997,0.7979,3.1561,-90.087,0.0022,-0.0035,0.0042,-0.091,0.7979,3.1561,-0.091,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0124,1.6842,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.600,0.000,0.8014,3.1583,-89.997,0.7979,3.1561,-90.087,0.0022,-0.0035,0.0042,-0.091,0.7979,3.1561,-0.091,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0124,1.6842,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.650,0.000,0.8014,3.1583,-89.997,0.7979,3.1561,-90.087,0.0022,-0.0035,0.0042,-0.091,0.7979,3.1561,-0.091,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0124,1.6908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.700,0.000,0.8014,3.1583,-89.997,0.7979,3.1561,-90.087,0.0022,-0.0035,0.0042,-0.091,0.7979,3.1561,-0.091,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0124,1.6908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.750,0.000,0.8014,3.1583,-89.997,0.7995,3.1554,-90.151,0.0029,-0.0019,0.0034,-0.155,0.7995,3.1554,-0.155,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0109,1.4868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.800,0.000,0.8014,3.1583,-89.997,0.7995,3.1554,-90.151,0.0029,-0.0019,0.0034,-0.155,0.7995,3.1554,-0.155,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0109,1.4868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.850,0.000,0.8014,3.1583,-89.997,0.7995,3.1554,-90.151,0.0029,-0.0019,0.0034,-0.155,0.7995,3.1554,-0.155,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0109,1.4868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.900,0.000,0.8014,3.1583,-89.997,0.7995,3.1554,-90.151,0.0029,-0.0019,0.0034,-0.155,0.7995,3.1554,-0.155,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0109,1.4868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.950,0.000,0.8014,3.1583,-89.997,0.7995,3.1554,-90.151,0.0029,-0.0019,0.0034,-0.155,0.7995,3.1554,-0.155,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0109,1.4868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.000,0.000,0.8014,3.1583,-89.997,0.7995,3.1554,-90.151,0.0029,-0.0019,0.0034,-0.155,0.7995,3.1554,-0.155,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0109,1.4868,0.0000,0.0000,nan,4.4210,0.7854,0.0311,0.2913,0.8000,-0.0952,-0.1694,-0.2345,3.1296,0.0800,-0.0001,0.1750
2.050,0.000,0.8014,3.1583,-89.997,0.7995,3.1554,-90.151,0.0029,-0.0019,0.0034,-0.155,0.7995,3.1554,-0.155,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0109,1.4868,0.0000,0.0000,nan,4.4210,0.7854,0.0311,0.2913,0.8000,-0.0952,-0.1694,-0.2345,3.1296,0.0800,0.0003,0.1750
2.100,0.000,0.8014,3.1582,-89.997,0.7995,3.1554,-90.151,0.0028,-0.0019,0.0033,-0.155,0.7995,3.1554,-0.155,0.0000,0.0000,-89.997,0.031,0.0019,0.004,0.0001,0.0074,0.0109,1.4868,0.0589,0.0683,nan,4.4210,0.8443,0.0334,0.2954,0.8000,-0.0963,-0.1693,-0.2345,3.1296,0.0800,5.3564,0.1750
2.150,0.010,0.8014,3.1482,-89.781,0.7995,3.1480,-90.145,0.0002,-0.0019,0.0019,-0.364,0.7995,3.1554,-0.155,0.0000,-0.0074,-89.991,0.322,0.1531,0.042,0.0027,0.0064,0.0113,1.7759,0.4015,0.7184,nan,4.5058,1.1923,0.0472,0.2776,0.8000,-0.1058,-0.1444,-0.2256,3.1992,0.0800,5.2563,0.1750
2.200,0.037,0.8016,3.1214,-89.052,0.7998,3.0725,-89.437,0.0488,-0.0026,0.0489,-0.386,0.7995,3.1554,-0.155,0.0005,-0.0829,-89.283,0.646,0.3018,0.081,0.0460,0.0071,0.0112,1.5919,0.6142,0.6794,nan,4.5058,1.4050,0.0556,0.2751,0.8000,-0.1090,-0.1293,-0.2256,3.1992,0.0800,6.4490,0.1750
