t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip
0.000,0.000,0.8006,3.1583,-89.997,0.7977,3.1561,-89.965,0.0022,-0.0029,0.0036,0.032,0.7988,3.1589,-0.116,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0107,1.4416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8006,3.1583,-89.997,0.7977,3.1562,-89.949,0.0021,-0.0029,0.0036,0.048,0.7988,3.1589,-0.116,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0106,1.4286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8006,3.1583,-89.997,0.7977,3.1562,-89.949,0.0021,-0.0029,0.0036,0.048,0.7988,3.1589,-0.116,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0106,1.4286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8006,3.1583,-89.997,0.7977,3.1562,-89.949,0.0021,-0.0029,0.0036,0.048,0.7988,3.1589,-0.116,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0106,1.4286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8006,3.1583,-89.997,0.7977,3.1562,-89.949,0.0021,-0.0029,0.0036,0.048,0.7988,3.1589,-0.116,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0106,1.4286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8006,3.1583,-89.997,0.7977,3.1562,-89.949,0.0021,-0.0029,0.0036,0.048,0.7988,3.1589,-0.116,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0106,1.4286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8006,3.1583,-89.997,0.7977,3.1562,-89.949,0.0021,-0.0029,0.0036,0.048,0.7988,3.1589,-0.116,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0106,1.4286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8007,3.1583,-89.997,0.7981,3.1571,-90.004,0.0012,-0.0026,0.0029,-0.007,0.7994,3.1615,-0.088,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0108,1.4867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8007,3.1583,-89.997,0.7988,3.1589,-90.113,-0.0006,-0.0019,0.0020,-0.116,0.7994,3.1615,-0.088,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0107,1.4800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8007,3.1583,-89.997,0.7988,3.1589,-90.113,-0.0006,-0.0019,0.0020,-0.116,0.7994,3.1615,-0.088,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0107,1.4800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8007,3.1583,-89.997,0.7988,3.1589,-90.113,-0.0006,-0.0019,0.0020,-0.116,0.7994,3.1615,-0.088,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0107,1.4800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8007,3.1583,-89.997,0.7988,3.1589,-90.113,-0.0006,-0.0019,0.0020,-0.116,0.7994,3.1615,-0.088,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0107,1.4800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8007,3.1583,-89.997,0.7988,3.1589,-90.113,-0.0006,-0.0019,0.0020,-0.116,0.7994,3.1615,-0.088,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0107,1.4800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8007,3.1583,-89.997,0.7988,3.1589,-90.113,-0.0006,-0.0019,0.0020,-0.116,0.7994,3.1615,-0.088,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0107,1.4800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8007,3.1583,-89.997,0.7988,3.1589,-90.113,-0.0006,-0.0019,0.0020,-0.116,0.7994,3.1615,-0.088,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0107,1.4800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
