t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip
0.000,0.000,0.8003,3.1583,-89.997,0.7981,3.1558,-90.156,0.0025,-0.0022,0.0033,-0.159,0.7966,3.1568,-0.097,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0114,1.5563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8003,3.1583,-89.997,0.7966,3.1568,-90.093,0.0015,-0.0037,0.0040,-0.097,0.7998,3.1582,-0.122,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8003,3.1583,-89.997,0.7966,3.1568,-90.093,0.0015,-0.0037,0.0040,-0.097,0.7998,3.1582,-0.122,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8003,3.1583,-89.997,0.7966,3.1568,-90.093,0.0015,-0.0037,0.0040,-0.097,0.7998,3.1582,-0.122,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8003,3.1583,-89.997,0.7966,3.1568,-90.093,0.0015,-0.0037,0.0040,-0.097,0.7998,3.1582,-0.122,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8003,3.1583,-89.997,0.7966,3.1568,-90.093,0.0015,-0.0037,0.0040,-0.097,0.7998,3.1582,-0.122,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8003,3.1583,-89.997,0.7966,3.1568,-90.093,0.0015,-0.0037,0.0040,-0.097,0.7998,3.1582,-0.122,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8003,3.1583,-89.997,0.7966,3.1568,-90.093,0.0015,-0.0037,0.0040,-0.097,0.7998,3.1582,-0.122,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8003,3.1583,-89.997,0.7966,3.1568,-90.093,0.0015,-0.0037,0.0040,-0.097,0.7998,3.1582,-0.122,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8003,3.1583,-89.997,0.7979,3.1573,-90.104,0.0010,-0.0024,0.0026,-0.107,0.8002,3.1568,-0.136,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0114,1.5563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
