t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,-2.2680,-4.1829,29.114,0.6892,-0.2879,-97.519,4.4787,1.9641,4.8904,-126.634,0.7100,0.0200,-124.672,0.2650,0.1580,27.153,1.816,-0.4552,0.153,0.0000,0.0519,0.1411,2.7187,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.020,0.000,-2.2680,-4.1829,29.114,0.6892,-0.2879,-97.519,4.4787,1.9641,4.8904,-126.634,0.7100,0.0200,-124.672,0.2650,0.1580,27.153,1.816,-0.4552,0.153,0.0000,0.0519,0.1411,2.7187,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.040,0.080,-2.1975,-4.1443,28.948,0.7005,-0.1371,-98.347,4.4755,2.1039,4.9454,-127.294,0.7120,0.0185,-126.172,0.1324,0.0825,27.826,1.540,0.0033,0.153,0.2330,0.0562,0.1482,2.6357,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.060,0.080,-2.1975,-4.1443,28.948,0.6986,-0.1419,-99.862,4.4715,2.1006,4.9403,-128.810,0.7142,0.0133,-127.688,0.1324,0.0825,27.826,1.540,0.0033,0.153,0.2330,0.0562,0.1375,2.4441,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.080,0.150,-2.1365,-4.1107,28.950,0.6990,-0.1393,-98.731,4.4035,2.1026,4.8798,-127.681,0.7142,0.0133,-127.688,0.1301,0.0813,28.957,1.252,0.0026,0.153,0.3053,0.0563,0.1560,2.7718,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.150,-2.1365,-4.1107,28.950,0.6990,-0.1393,-98.731,4.4035,2.1026,4.8798,-127.681,0.7142,0.0133,-127.688,0.1301,0.0813,28.957,1.252,0.0026,0.153,0.3053,0.0563,0.1560,2.7718,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.120,0.150,-2.1365,-4.1107,28.950,0.6990,-0.1393,-98.731,4.4035,2.1026,4.8798,-127.681,0.7142,0.0133,-127.688,0.1301,0.0813,28.957,1.252,0.0026,0.153,0.3053,0.0563,0.1560,2.7718,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.140,0.200,-2.0924,-4.0864,28.953,0.6990,-0.1393,-98.730,4.3533,2.1025,4.8344,-127.683,0.7142,0.0133,-127.688,0.1301,0.0813,28.957,0.996,0.0021,0.153,0.3556,0.0582,0.1632,2.8023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.160,0.200,-2.0924,-4.0864,28.953,0.6990,-0.1393,-98.730,4.3533,2.1025,4.8344,-127.683,0.7142,0.0133,-127.688,0.1301,0.0813,28.957,0.996,0.0021,0.153,0.3556,0.0582,0.1632,2.8023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.180,0.243,-2.0551,-4.0659,28.966,0.6990,-0.1393,-98.729,4.3112,2.1016,4.7962,-127.694,0.7142,0.0133,-127.688,0.1301,0.0813,28.959,0.715,0.0017,0.153,0.3982,0.0584,0.1698,2.9057,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
