t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,-2.6888,4.2037,101.238,-2.7219,4.4616,100.526,0.2594,-0.0178,0.2601,-0.711,-2.6399,3.9692,-1.892,-0.0982,0.4895,102.418,1.889,-0.0014,0.252,0.0000,0.0148,0.1102,7.4424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.020,0.000,-2.6888,4.2037,101.238,-2.7219,4.4616,100.526,0.2594,-0.0178,0.2601,-0.711,-2.6399,3.9692,-1.892,-0.0982,0.4895,102.418,1.889,-0.0014,0.252,0.0000,0.0148,0.1102,7.4424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.040,0.085,-2.7055,4.2873,101.243,-2.6903,4.2125,101.917,-0.0763,-0.0003,0.0763,0.674,-2.6384,3.9610,0.683,-0.0489,0.2520,101.234,1.601,-0.0012,0.252,0.3278,0.0133,0.0006,0.0417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.060,0.085,-2.7055,4.2873,101.243,-2.6903,4.2125,101.917,-0.0763,-0.0003,0.0763,0.674,-2.6384,3.9610,0.683,-0.0489,0.2520,101.234,1.601,-0.0012,0.252,0.3278,0.0133,0.0006,0.0417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.080,0.157,-2.7194,4.3572,101.232,-2.6894,4.2083,101.923,-0.1519,-0.0004,0.1519,0.691,-2.6384,3.9610,0.683,-0.0481,0.2478,101.240,1.318,-0.0010,0.252,0.4033,0.0112,0.0216,1.9236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.157,-2.7194,4.3572,101.232,-2.6894,4.2083,101.923,-0.1519,-0.0004,0.1519,0.691,-2.6384,3.9610,0.683,-0.0481,0.2478,101.240,1.318,-0.0010,0.252,0.4033,0.0112,0.0216,1.9236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.120,0.157,-2.7194,4.3572,101.232,-2.6894,4.2083,101.923,-0.1519,-0.0004,0.1519,0.691,-2.6384,3.9610,0.683,-0.0481,0.2478,101.240,1.318,-0.0010,0.252,0.4033,0.0112,0.0216,1.9236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.140,0.213,-2.7305,4.4127,101.237,-2.6894,4.2083,101.913,-0.2085,-0.0004,0.2085,0.676,-2.6384,3.9610,0.683,-0.0481,0.2478,101.230,1.044,-0.0008,0.252,0.4599,0.0101,0.0487,4.8074,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.160,0.213,-2.7305,4.4127,101.237,-2.6894,4.2083,101.913,-0.2085,-0.0004,0.2085,0.676,-2.6384,3.9610,0.683,-0.0481,0.2478,101.230,1.044,-0.0008,0.252,0.4599,0.0101,0.0487,4.8074,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.180,0.256,-2.7388,4.4545,101.242,-2.6894,4.2083,101.919,-0.2511,-0.0004,0.2511,0.677,-2.6384,3.9610,0.683,-0.0481,0.2478,101.235,0.780,-0.0006,0.252,0.5025,0.0154,0.0598,3.8756,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
