t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8001,3.1583,-89.997,0.7981,3.1555,-90.034,0.0028,-0.0020,0.0035,-0.038,0.7981,3.1555,-0.038,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0102,1.3725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8001,3.1583,-89.997,0.7981,3.1555,-90.034,0.0028,-0.0020,0.0035,-0.038,0.7981,3.1555,-0.038,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0102,1.3725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8001,3.1583,-89.997,0.7981,3.1555,-90.034,0.0028,-0.0020,0.0035,-0.038,0.7981,3.1555,-0.038,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0102,1.3725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8001,3.1583,-89.997,0.7981,3.1555,-90.034,0.0028,-0.0020,0.0035,-0.038,0.7981,3.1555,-0.038,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0102,1.3636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8001,3.1583,-89.997,0.7981,3.1555,-90.034,0.0028,-0.0020,0.0035,-0.038,0.7981,3.1555,-0.038,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0102,1.3636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8001,3.1583,-89.997,0.7981,3.1555,-90.034,0.0028,-0.0020,0.0035,-0.038,0.7981,3.1555,-0.038,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0102,1.3636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8001,3.1583,-89.997,0.7981,3.1555,-90.034,0.0028,-0.0020,0.0035,-0.038,0.7981,3.1555,-0.038,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0102,1.3636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8001,3.1583,-89.997,0.7981,3.1555,-90.034,0.0028,-0.0020,0.0035,-0.038,0.7981,3.1555,-0.038,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0102,1.3636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8001,3.1583,-89.997,0.7981,3.1555,-90.034,0.0028,-0.0020,0.0035,-0.038,0.7981,3.1555,-0.038,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0102,1.3636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8001,3.1583,-89.997,0.7984,3.1595,-90.016,-0.0012,-0.0017,0.0021,-0.019,0.7984,3.1595,-0.019,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0099,1.3247,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8001,3.1583,-89.997,0.7984,3.1595,-90.016,-0.0012,-0.0017,0.0021,-0.019,0.7984,3.1595,-0.019,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0099,1.3247,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8001,3.1583,-89.997,0.7984,3.1595,-90.016,-0.0012,-0.0017,0.0021,-0.019,0.7984,3.1595,-0.019,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0099,1.3247,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8002,3.1583,-89.997,0.7984,3.1595,-90.016,-0.0012,-0.0018,0.0022,-0.019,0.7984,3.1595,-0.019,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0099,1.3600,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8002,3.1583,-89.997,0.7984,3.1595,-90.016,-0.0012,-0.0018,0.0022,-0.019,0.7984,3.1595,-0.019,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0099,1.3510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8002,3.1583,-89.997,0.7984,3.1595,-90.016,-0.0012,-0.0018,0.0022,-0.019,0.7984,3.1595,-0.019,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0099,1.3510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
