t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu
0.000,0.000,0.8002,3.1583,-89.997,0.7977,3.1560,-90.128,0.0023,-0.0025,0.0034,-0.132,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0115,1.5455,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8002,3.1583,-89.997,0.7957,3.1567,-90.050,0.0016,-0.0045,0.0047,-0.053,0.7968,3.1586,-0.076,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0126,1.6948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8003,3.1583,-89.997,0.7963,3.1578,-90.063,0.0005,-0.0040,0.0040,-0.066,0.7973,3.1584,-0.117,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0073,0.0125,1.7086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
