t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu
0.000,0.000,0.8022,3.1583,-89.997,0.7994,3.1563,-90.103,0.0020,-0.0028,0.0035,-0.106,0.8006,3.1591,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0119,1.6184,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8022,3.1583,-89.997,0.7991,3.1577,-90.026,0.0006,-0.0031,0.0031,-0.029,0.8006,3.1591,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5921,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8022,3.1583,-89.997,0.7991,3.1577,-90.026,0.0006,-0.0031,0.0031,-0.029,0.8006,3.1591,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5921,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8022,3.1583,-89.997,0.7991,3.1577,-90.026,0.0006,-0.0031,0.0031,-0.029,0.8006,3.1591,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5921,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8022,3.1583,-89.997,0.7991,3.1577,-90.026,0.0006,-0.0031,0.0031,-0.029,0.8006,3.1591,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5921,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8022,3.1583,-89.997,0.7991,3.1577,-90.026,0.0006,-0.0031,0.0031,-0.029,0.8006,3.1591,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5921,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8022,3.1583,-89.997,0.7991,3.1577,-90.026,0.0006,-0.0031,0.0031,-0.029,0.8006,3.1591,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5921,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8022,3.1583,-89.997,0.7991,3.1577,-90.026,0.0006,-0.0031,0.0031,-0.029,0.8006,3.1591,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5921,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8022,3.1583,-89.997,0.7995,3.1580,-90.002,0.0003,-0.0027,0.0027,-0.005,0.8006,3.1591,0.071,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0110,1.5000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8022,3.1583,-89.997,0.8006,3.1591,-89.926,-0.0008,-0.0016,0.0018,0.071,0.8021,3.1602,-0.017,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0092,1.2566,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
