t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu
0.000,0.000,0.8003,3.1583,-89.997,0.7988,3.1558,-90.039,0.0025,-0.0015,0.0029,-0.042,0.7951,3.1581,0.055,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0095,1.2980,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8003,3.1583,-89.997,0.7988,3.1562,-89.980,0.0021,-0.0015,0.0026,0.017,0.7951,3.1581,0.055,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0091,1.2517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8003,3.1583,-89.997,0.7988,3.1562,-89.980,0.0021,-0.0015,0.0026,0.017,0.7951,3.1581,0.055,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0091,1.2517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8003,3.1583,-89.997,0.7988,3.1562,-89.980,0.0021,-0.0015,0.0026,0.017,0.7951,3.1581,0.055,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0091,1.2353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8003,3.1583,-89.997,0.7988,3.1562,-89.980,0.0021,-0.0015,0.0026,0.017,0.7951,3.1581,0.055,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0091,1.2353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8003,3.1583,-89.997,0.7988,3.1562,-89.980,0.0021,-0.0015,0.0026,0.017,0.7951,3.1581,0.055,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0091,1.2353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8003,3.1583,-89.997,0.7988,3.1562,-89.980,0.0021,-0.0015,0.0026,0.017,0.7951,3.1581,0.055,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0091,1.2353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8003,3.1583,-89.997,0.7988,3.1562,-89.980,0.0021,-0.0015,0.0026,0.017,0.7951,3.1581,0.055,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0091,1.2353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8003,3.1583,-89.997,0.7988,3.1562,-89.980,0.0021,-0.0015,0.0026,0.017,0.7951,3.1581,0.055,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0091,1.2353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8003,3.1583,-89.997,0.7962,3.1576,-89.953,0.0007,-0.0041,0.0042,0.044,0.7939,3.1581,0.057,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0114,1.5425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
