t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu
0.000,0.000,0.8003,3.1583,-89.997,0.7975,3.1560,-90.150,0.0023,-0.0028,0.0036,-0.153,0.7973,3.1586,-0.162,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0121,1.6490,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8003,3.1583,-89.997,0.7966,3.1564,-90.125,0.0019,-0.0037,0.0041,-0.128,0.7973,3.1586,-0.162,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0129,1.7682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8003,3.1583,-89.997,0.7966,3.1564,-90.125,0.0019,-0.0037,0.0041,-0.128,0.7973,3.1586,-0.162,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0129,1.7682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8003,3.1583,-89.997,0.7966,3.1564,-90.125,0.0019,-0.0037,0.0041,-0.128,0.7973,3.1586,-0.162,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0129,1.7682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8003,3.1583,-89.997,0.7966,3.1564,-90.125,0.0019,-0.0037,0.0041,-0.128,0.7973,3.1586,-0.162,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0129,1.7682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8003,3.1583,-89.997,0.7966,3.1564,-90.125,0.0019,-0.0037,0.0041,-0.128,0.7973,3.1586,-0.162,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0129,1.7682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8003,3.1583,-89.997,0.7966,3.1564,-90.125,0.0019,-0.0037,0.0041,-0.128,0.7973,3.1586,-0.162,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0129,1.7682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8003,3.1583,-89.997,0.7966,3.1564,-90.125,0.0019,-0.0037,0.0041,-0.128,0.7973,3.1586,-0.162,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0129,1.7682,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8003,3.1583,-89.997,0.7971,3.1579,-90.148,0.0004,-0.0032,0.0033,-0.151,0.7973,3.1586,-0.162,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0128,1.7483,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8003,3.1583,-89.997,0.7973,3.1586,-90.159,-0.0003,-0.0030,0.0030,-0.162,0.7971,3.1603,-0.113,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8003,3.1583,-89.997,0.7973,3.1586,-90.159,-0.0003,-0.0030,0.0030,-0.162,0.7971,3.1603,-0.113,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8003,3.1583,-89.997,0.7973,3.1586,-90.159,-0.0003,-0.0030,0.0030,-0.162,0.7971,3.1603,-0.113,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8003,3.1583,-89.997,0.7973,3.1586,-90.159,-0.0003,-0.0030,0.0030,-0.162,0.7971,3.1603,-0.113,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8003,3.1583,-89.997,0.7973,3.1586,-90.159,-0.0003,-0.0030,0.0030,-0.162,0.7971,3.1603,-0.113,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8003,3.1583,-89.997,0.7973,3.1586,-90.159,-0.0003,-0.0030,0.0030,-0.162,0.7971,3.1603,-0.113,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8003,3.1583,-89.997,0.7973,3.1586,-90.159,-0.0003,-0.0030,0.0030,-0.162,0.7971,3.1603,-0.113,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0126,1.7219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
