t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu
0.000,0.000,0.8180,3.1583,-89.997,0.8143,3.1562,-89.976,0.0021,-0.0037,0.0043,0.021,0.8144,3.1576,0.117,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0115,1.5355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8180,3.1583,-89.997,0.8142,3.1561,-89.945,0.0022,-0.0038,0.0044,0.052,0.8144,3.1576,0.117,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0114,1.5161,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8180,3.1583,-89.997,0.8142,3.1561,-89.945,0.0022,-0.0038,0.0044,0.052,0.8144,3.1576,0.117,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0114,1.5161,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8180,3.1583,-89.997,0.8142,3.1561,-89.945,0.0022,-0.0038,0.0044,0.052,0.8144,3.1576,0.117,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0114,1.5161,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8181,3.1583,-89.997,0.8142,3.1561,-89.945,0.0022,-0.0039,0.0045,0.052,0.8144,3.1576,0.117,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0114,1.5461,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8181,3.1583,-89.997,0.8142,3.1561,-89.945,0.0022,-0.0039,0.0045,0.052,0.8144,3.1576,0.117,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0114,1.5461,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8181,3.1583,-89.997,0.8142,3.1561,-89.945,0.0022,-0.0039,0.0045,0.052,0.8144,3.1576,0.117,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0114,1.5359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8181,3.1583,-89.997,0.8142,3.1561,-89.945,0.0022,-0.0039,0.0045,0.052,0.8144,3.1576,0.117,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0114,1.5461,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8181,3.1583,-89.997,0.8142,3.1561,-89.945,0.0022,-0.0039,0.0045,0.052,0.8144,3.1576,0.117,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0114,1.5461,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8181,3.1583,-89.997,0.8143,3.1571,-89.903,0.0012,-0.0038,0.0040,0.094,0.8137,3.1530,0.129,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0110,1.4837,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8181,3.1583,-89.997,0.8144,3.1576,-89.880,0.0007,-0.0037,0.0038,0.117,0.8137,3.1530,0.129,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0107,1.4510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8181,3.1583,-89.997,0.8144,3.1576,-89.880,0.0007,-0.0037,0.0038,0.117,0.8137,3.1530,0.129,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0107,1.4510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8181,3.1583,-89.997,0.8144,3.1576,-89.880,0.0007,-0.0037,0.0038,0.117,0.8137,3.1530,0.129,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0107,1.4510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8181,3.1583,-89.997,0.8144,3.1576,-89.880,0.0007,-0.0037,0.0038,0.117,0.8137,3.1530,0.129,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0107,1.4510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8181,3.1583,-89.997,0.8144,3.1576,-89.880,0.0007,-0.0037,0.0038,0.117,0.8137,3.1530,0.129,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0107,1.4510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8181,3.1583,-89.997,0.8144,3.1576,-89.880,0.0007,-0.0037,0.0038,0.117,0.8137,3.1530,0.129,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0107,1.4510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8181,3.1583,-89.997,0.8144,3.1576,-89.880,0.0007,-0.0037,0.0038,0.117,0.8137,3.1530,0.129,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0107,1.4510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.000,0.8181,3.1583,-89.997,0.8144,3.1576,-89.880,0.0007,-0.0037,0.0038,0.117,0.8134,3.1539,0.165,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0107,1.4510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.000,0.8181,3.1583,-89.997,0.8140,3.1550,-89.873,0.0033,-0.0041,0.0053,0.123,0.8134,3.1539,0.165,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0106,1.4314,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.000,0.8181,3.1583,-89.997,0.8137,3.1530,-89.868,0.0053,-0.0044,0.0069,0.129,0.8134,3.1539,0.165,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0106,1.4248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000,0.000,0.8181,3.1583,-89.997,0.8137,3.1530,-89.868,0.0053,-0.0044,0.0069,0.129,0.8134,3.1539,0.165,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0106,1.4248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.050,0.000,0.8181,3.1583,-89.997,0.8137,3.1530,-89.868,0.0053,-0.0044,0.0069,0.129,0.8134,3.1539,0.165,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0106,1.4248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100,0.000,0.8181,3.1583,-89.997,0.8137,3.1530,-89.868,0.0053,-0.0044,0.0069,0.129,0.8134,3.1539,0.165,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0106,1.4248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.150,0.000,0.8181,3.1583,-89.997,0.8137,3.1530,-89.868,0.0053,-0.0044,0.0069,0.129,0.8134,3.1539,0.165,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0106,1.4248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200,0.000,0.8181,3.1583,-89.997,0.8137,3.1530,-89.868,0.0053,-0.0044,0.0069,0.129,0.8134,3.1539,0.165,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0106,1.4248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.250,0.000,0.8181,3.1583,-89.997,0.8137,3.1530,-89.868,0.0053,-0.0044,0.0069,0.129,0.8136,3.1495,0.198,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0106,1.4314,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300,0.000,0.8181,3.1583,-89.997,0.8135,3.1537,-89.842,0.0046,-0.0046,0.0065,0.155,0.8136,3.1495,0.198,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0074,0.0106,1.4248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.350,0.000,0.8181,3.1583,-89.997,0.8134,3.1539,-89.832,0.0044,-0.0047,0.0064,0.165,0.8136,3.1495,0.198,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0075,0.0106,1.4156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.400,0.000,0.8181,3.1583,-89.997,0.8134,3.1539,-89.832,0.0044,-0.0047,0.0064,0.165,0.8136,3.1495,0.198,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0075,0.0106,1.4156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.450,0.000,0.8181,3.1583,-89.997,0.8134,3.1539,-89.832,0.0044,-0.0047,0.0064,0.165,0.8136,3.1495,0.198,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0075,0.0106,1.4156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.500,0.000,0.8181,3.1583,-89.997,0.8134,3.1539,-89.832,0.0044,-0.0047,0.0064,0.165,0.8136,3.1495,0.198,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0075,0.0106,1.4156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.550,0.000,0.8181,3.1583,-89.997,0.8134,3.1539,-89.832,0.0044,-0.0047,0.0064,0.165,0.8136,3.1495,0.198,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0075,0.0106,1.4156,0.0000,0.0000,nan,3.9513,0.6710,0.0266,0.4442,0.8000,-0.1508,-0.2014,-0.2405,3.1262,0.0800,0.0002
1.600,0.000,0.8181,3.1583,-89.997,0.8134,3.1539,-89.832,0.0044,-0.0047,0.0064,0.165,0.8136,3.1495,0.198,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0001,0.0075,0.0106,1.4156,0.0000,0.0000,nan,3.9513,0.6710,0.0266,0.4442,0.8000,-0.1508,-0.2014,-0.2405,3.1262,0.0800,0.0002
1.650,0.000,0.8181,3.1582,-89.997,0.8134,3.1511,-89.827,0.0071,-0.0047,0.0085,0.170,0.8136,3.1495,0.198,0.0000,-0.0027,-89.993,0.026,0.0013,0.003,0.0026,0.0075,0.0104,1.3896,0.0000,0.0000,nan,3.9513,0.6710,0.0266,0.4442,0.8000,-0.1508,-0.2014,-0.2405,3.1262,0.0800,-0.0004
1.700,0.010,0.8181,3.1482,-89.765,0.8138,3.1139,-89.132,0.0343,-0.0044,0.0346,0.633,0.8136,3.1495,0.198,0.0001,-0.0360,-89.326,0.321,0.1946,0.036,0.0259,0.0062,0.0079,1.2713,0.0387,0.0445,nan,3.9513,0.7097,0.0281,0.4473,0.8000,-0.1514,-0.2013,-0.2405,3.1262,0.0800,5.3604
