t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu
0.000,0.000,0.8003,3.1583,-89.997,0.7984,3.1548,-90.150,0.0035,-0.0019,0.0039,-0.153,0.7953,3.1580,-0.025,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0108,1.4768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8003,3.1583,-89.997,0.7981,3.1552,-89.934,0.0031,-0.0022,0.0038,0.063,0.7953,3.1580,-0.025,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0097,1.3311,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8003,3.1583,-89.997,0.7981,3.1552,-89.922,0.0031,-0.0022,0.0038,0.074,0.7953,3.1580,-0.025,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0097,1.3245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8003,3.1583,-89.997,0.7981,3.1552,-89.922,0.0031,-0.0022,0.0038,0.074,0.7953,3.1580,-0.025,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0097,1.3072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8003,3.1583,-89.997,0.7981,3.1552,-89.922,0.0031,-0.0022,0.0038,0.074,0.7953,3.1580,-0.025,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0097,1.3072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8003,3.1583,-89.997,0.7981,3.1552,-89.922,0.0031,-0.0022,0.0038,0.074,0.7953,3.1580,-0.025,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0097,1.3072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8003,3.1583,-89.997,0.7981,3.1552,-89.922,0.0031,-0.0022,0.0038,0.074,0.7953,3.1580,-0.025,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0097,1.3072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8003,3.1583,-89.997,0.7981,3.1552,-89.922,0.0031,-0.0022,0.0038,0.074,0.7953,3.1580,-0.025,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0097,1.3072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8003,3.1583,-89.997,0.7975,3.1559,-89.946,0.0024,-0.0028,0.0037,0.051,0.7963,3.1603,-0.023,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0105,1.4183,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8003,3.1583,-89.997,0.7953,3.1580,-90.022,0.0003,-0.0050,0.0050,-0.025,0.7963,3.1603,-0.023,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0128,1.7320,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8003,3.1583,-89.997,0.7953,3.1580,-90.022,0.0003,-0.0050,0.0050,-0.025,0.7963,3.1603,-0.023,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0128,1.7320,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8003,3.1583,-89.997,0.7953,3.1580,-90.022,0.0003,-0.0050,0.0050,-0.025,0.7963,3.1603,-0.023,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0128,1.7320,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8003,3.1583,-89.997,0.7953,3.1580,-90.022,0.0003,-0.0050,0.0050,-0.025,0.7963,3.1603,-0.023,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0128,1.7320,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8003,3.1583,-89.997,0.7953,3.1580,-90.022,0.0003,-0.0050,0.0050,-0.025,0.7963,3.1603,-0.023,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0128,1.7320,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8003,3.1583,-89.997,0.7953,3.1580,-90.022,0.0003,-0.0050,0.0050,-0.025,0.7963,3.1603,-0.023,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0128,1.7320,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8003,3.1583,-89.997,0.7953,3.1580,-90.022,0.0003,-0.0050,0.0050,-0.025,0.7963,3.1603,-0.023,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0129,1.7386,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8003,3.1583,-89.997,0.7956,3.1586,-90.022,-0.0003,-0.0047,0.0047,-0.025,0.7963,3.1603,-0.023,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0127,1.7078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.000,0.8003,3.1583,-89.997,0.7963,3.1603,-90.020,-0.0020,-0.0040,0.0045,-0.023,0.7964,3.1598,-0.144,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0123,1.6494,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.000,0.8003,3.1583,-89.997,0.7963,3.1603,-90.020,-0.0020,-0.0040,0.0045,-0.023,0.7964,3.1598,-0.144,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0123,1.6494,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
