t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip
0.000,0.000,0.8006,3.1583,-89.997,0.7972,3.1542,-90.058,0.0041,-0.0034,0.0054,-0.061,0.7953,3.1487,0.104,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0118,1.5987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8006,3.1583,-89.997,0.7962,3.1532,-89.905,0.0051,-0.0044,0.0068,0.092,0.7953,3.1487,0.104,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0109,1.4868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8006,3.1583,-89.997,0.7962,3.1532,-89.905,0.0051,-0.0044,0.0068,0.092,0.7953,3.1487,0.104,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0109,1.4771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8006,3.1583,-89.997,0.7962,3.1532,-89.905,0.0051,-0.0044,0.0068,0.092,0.7953,3.1487,0.104,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0110,1.4740,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8006,3.1583,-89.997,0.7962,3.1532,-89.905,0.0051,-0.0044,0.0068,0.092,0.7953,3.1487,0.104,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0110,1.4740,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8006,3.1583,-89.997,0.7962,3.1532,-89.905,0.0051,-0.0044,0.0068,0.092,0.7953,3.1487,0.104,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0110,1.4740,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8006,3.1583,-89.997,0.7962,3.1532,-89.905,0.0051,-0.0044,0.0068,0.092,0.7953,3.1487,0.104,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0110,1.4740,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8006,3.1583,-89.997,0.7962,3.1532,-89.905,0.0051,-0.0044,0.0068,0.092,0.7953,3.1487,0.104,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0110,1.4740,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8006,3.1583,-89.997,0.7962,3.1532,-89.905,0.0051,-0.0044,0.0068,0.092,0.7946,3.1470,-0.066,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0110,1.4740,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8006,3.1583,-89.997,0.7957,3.1510,-89.899,0.0073,-0.0049,0.0088,0.098,0.7946,3.1470,-0.066,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0109,1.4610,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
