t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip
0.000,0.000,0.8004,3.1583,-89.997,0.7974,3.1550,-90.071,0.0033,-0.0030,0.0045,-0.074,0.7978,3.1545,-0.143,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0116,1.5894,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,0.8004,3.1583,-89.997,0.7973,3.1546,-89.931,0.0037,-0.0031,0.0049,0.066,0.7978,3.1545,-0.143,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0104,1.4172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8004,3.1583,-89.997,0.7973,3.1546,-89.931,0.0037,-0.0031,0.0049,0.066,0.7978,3.1545,-0.143,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0104,1.4172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,0.8004,3.1583,-89.997,0.7973,3.1546,-89.931,0.0037,-0.0031,0.0049,0.066,0.7978,3.1545,-0.143,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0104,1.4238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8004,3.1583,-89.997,0.7973,3.1546,-89.931,0.0037,-0.0031,0.0049,0.066,0.7978,3.1545,-0.143,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0104,1.4238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8004,3.1583,-89.997,0.7973,3.1546,-89.931,0.0037,-0.0031,0.0049,0.066,0.7978,3.1545,-0.143,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0104,1.4238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,0.8004,3.1583,-89.997,0.7973,3.1546,-89.931,0.0037,-0.0031,0.0049,0.066,0.7978,3.1545,-0.143,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0104,1.4238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,0.8004,3.1583,-89.997,0.7973,3.1546,-89.931,0.0037,-0.0031,0.0049,0.066,0.7978,3.1545,-0.143,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0104,1.4238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8004,3.1583,-89.997,0.7976,3.1545,-90.073,0.0038,-0.0028,0.0047,-0.076,0.7974,3.1528,-0.085,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0114,1.5563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,0.8004,3.1583,-89.997,0.7978,3.1545,-90.140,0.0038,-0.0026,0.0046,-0.143,0.7974,3.1528,-0.085,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0117,1.6026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8004,3.1583,-89.997,0.7978,3.1545,-90.140,0.0038,-0.0026,0.0046,-0.143,0.7974,3.1528,-0.085,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0117,1.6026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,0.8004,3.1583,-89.997,0.7978,3.1545,-90.140,0.0038,-0.0026,0.0046,-0.143,0.7974,3.1528,-0.085,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0073,0.0117,1.6026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8004,3.1583,-89.997,0.7978,3.1545,-90.140,0.0038,-0.0026,0.0046,-0.143,0.7974,3.1528,-0.085,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5921,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,0.8004,3.1583,-89.997,0.7978,3.1545,-90.140,0.0038,-0.0026,0.0046,-0.143,0.7974,3.1528,-0.085,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8004,3.1583,-89.997,0.7978,3.1545,-90.140,0.0038,-0.0026,0.0046,-0.143,0.7974,3.1528,-0.085,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8004,3.1583,-89.997,0.7978,3.1545,-90.140,0.0038,-0.0026,0.0046,-0.143,0.7974,3.1528,-0.085,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8004,3.1583,-89.997,0.7978,3.1545,-90.140,0.0038,-0.0026,0.0046,-0.143,0.7974,3.1528,-0.085,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0117,1.5817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.850,0.000,0.8004,3.1583,-89.997,0.7976,3.1534,-90.102,0.0049,-0.0028,0.0057,-0.106,0.7952,3.1526,-0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0116,1.5621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.900,0.000,0.8004,3.1583,-89.997,0.7974,3.1528,-90.081,0.0055,-0.0030,0.0062,-0.085,0.7952,3.1526,-0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0114,1.5359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.000,0.8004,3.1583,-89.997,0.7974,3.1528,-90.081,0.0055,-0.0030,0.0062,-0.085,0.7952,3.1526,-0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0114,1.5359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.000,0.000,0.8004,3.1583,-89.997,0.7974,3.1528,-90.081,0.0055,-0.0030,0.0062,-0.085,0.7952,3.1526,-0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0114,1.5359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.050,0.000,0.8004,3.1583,-89.997,0.7974,3.1528,-90.081,0.0055,-0.0030,0.0062,-0.085,0.7952,3.1526,-0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0114,1.5359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.100,0.000,0.8004,3.1583,-89.997,0.7974,3.1528,-90.081,0.0055,-0.0030,0.0062,-0.085,0.7952,3.1526,-0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0114,1.5359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.150,0.000,0.8004,3.1583,-89.997,0.7974,3.1528,-90.081,0.0055,-0.0030,0.0062,-0.085,0.7952,3.1526,-0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0114,1.5359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200,0.000,0.8004,3.1583,-89.997,0.7974,3.1528,-90.081,0.0055,-0.0030,0.0062,-0.085,0.7952,3.1526,-0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0114,1.5359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.251,0.000,0.8004,3.1583,-89.997,0.7974,3.1528,-90.081,0.0055,-0.0030,0.0062,-0.085,0.7952,3.1526,-0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0114,1.5359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300,0.000,0.8004,3.1583,-89.997,0.7960,3.1527,-90.045,0.0056,-0.0044,0.0071,-0.049,0.7953,3.1505,-0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0123,1.6601,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.350,0.000,0.8004,3.1583,-89.997,0.7952,3.1526,-90.025,0.0057,-0.0052,0.0077,-0.028,0.7953,3.1505,-0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0125,1.6928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.400,0.000,0.8004,3.1583,-89.997,0.7952,3.1526,-90.025,0.0057,-0.0052,0.0077,-0.028,0.7953,3.1505,-0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0074,0.0125,1.6928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.450,0.000,0.8004,3.1583,-89.997,0.7952,3.1526,-90.025,0.0057,-0.0052,0.0077,-0.028,0.7953,3.1505,-0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0125,1.6818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.500,0.000,0.8004,3.1583,-89.997,0.7952,3.1526,-90.025,0.0057,-0.0052,0.0077,-0.028,0.7953,3.1505,-0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0125,1.6818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.550,0.000,0.8004,3.1583,-89.997,0.7952,3.1526,-90.025,0.0057,-0.0052,0.0077,-0.028,0.7953,3.1505,-0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0125,1.6818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.600,0.000,0.8004,3.1583,-89.997,0.7952,3.1526,-90.025,0.0057,-0.0052,0.0077,-0.028,0.7953,3.1505,-0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0125,1.6818,0.0000,0.0000,nan,3.7944,0.4000,0.0158,0.4766,0.8000,-0.1690,-0.2048,-0.2405,3.1262,3.9997
1.650,0.000,0.8004,3.1583,-89.997,0.7952,3.1526,-90.025,0.0057,-0.0052,0.0077,-0.028,0.7953,3.1505,-0.039,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0075,0.0125,1.6818,0.0000,0.0000,nan,3.7944,0.4000,0.0158,0.4766,0.8000,-0.1690,-0.2048,-0.2405,3.1262,3.9997
1.700,0.000,0.8004,3.1582,-89.997,0.7952,3.1509,-90.024,0.0073,-0.0052,0.0090,-0.028,0.7953,3.1505,-0.039,0.0000,-0.0017,-89.997,0.031,0.0019,0.002,0.0016,0.0075,0.0124,1.6623,0.0000,0.0000,nan,3.7944,0.4000,0.0158,0.4766,0.8000,-0.1690,-0.2048,-0.2405,3.1262,3.9996
1.750,0.010,0.8004,3.1484,-89.781,0.7953,3.1323,-89.815,0.0161,-0.0052,0.0169,-0.034,0.7953,3.1505,-0.039,0.0001,-0.0191,-89.781,0.321,0.1857,0.019,0.0092,0.0065,0.0104,1.5852,0.2781,0.0310,0.0133,3.7944,0.4000,0.0158,0.4787,0.8000,-0.1693,-0.2048,-0.2405,3.1262,0.4381
1.800,0.031,0.8007,3.1277,-88.910,0.7958,3.1103,-88.948,0.0173,-0.0053,0.0180,-0.039,0.7953,3.1505,-0.039,0.0005,-0.0401,-88.910,0.389,0.2934,0.040,0.0095,0.0058,0.0083,1.4370,0.4626,0.3157,0.1063,3.8362,0.5320,0.0211,0.4275,0.8000,-0.1729,-0.1848,-0.2320,3.1957,0.1500
1.850,0.031,0.8007,3.1277,-88.910,0.7958,3.1103,-88.948,0.0173,-0.0053,0.0180,-0.039,0.7953,3.1505,-0.039,0.0005,-0.0401,-88.910,0.389,0.2934,0.040,0.0095,0.0058,0.0083,1.4370,0.4655,0.3759,0.1691,3.8362,0.5354,0.0212,0.4267,0.8000,-0.1764,-0.1696,-0.2320,3.1957,0.1500
1.900,0.053,0.8014,3.1052,-87.951,0.7966,3.0877,-87.990,0.0173,-0.0055,0.0181,-0.039,0.7953,3.1505,-0.039,0.0013,-0.0627,-87.951,0.429,0.2891,0.063,0.0096,0.0073,0.0106,1.4503,0.6825,0.4090,0.2596,3.8362,0.7848,0.0311,0.4252,0.8000,-0.1798,-0.1528,-0.2320,3.1957,0.1500
1.950,0.080,0.8027,3.0780,-86.904,0.7980,3.0599,-86.943,0.0178,-0.0056,0.0187,-0.039,0.7953,3.1505,-0.039,0.0028,-0.0905,-86.904,0.512,0.3429,0.091,0.0103,0.0064,0.0088,1.3788,0.6799,0.4617,0.4538,3.8783,0.7819,0.0310,0.3620,0.8000,-0.1833,-0.1187,-0.2235,3.2651,0.1500
2.000,0.112,0.8048,3.0469,-85.695,0.8004,3.0284,-85.734,0.0181,-0.0058,0.0190,-0.039,0.7953,3.1505,-0.039,0.0051,-0.1220,-85.695,0.550,0.3840,0.122,0.0106,0.0054,0.0066,1.2252,0.9959,0.5354,0.5147,3.8783,1.1453,0.0454,0.3580,0.8000,-0.1864,-0.0976,-0.2235,3.2651,0.1500
2.050,0.149,0.8082,3.0093,-84.263,0.8044,2.9884,-84.301,0.0204,-0.0059,0.0212,-0.039,0.7952,3.1513,0.051,0.0092,-0.1620,-84.263,0.741,0.4207,0.162,0.0131,0.0043,0.0044,1.0112,0.8995,0.5354,0.4122,3.8783,1.0344,0.0410,0.3580,0.8000,-0.1864,-0.0976,-0.2235,3.2651,0.1500
2.100,0.193,0.8131,2.9662,-82.850,0.8099,2.9438,-82.889,0.0218,-0.0059,0.0226,-0.039,0.7952,3.1513,0.051,0.0148,-0.2066,-82.850,0.811,0.4769,0.207,0.0147,0.0055,0.0061,1.1053,0.8493,0.7276,0.4978,3.9209,0.9767,0.0387,0.2939,0.8000,-0.1890,-0.0574,-0.2151,3.3346,0.1500
2.150,0.247,0.8207,2.9128,-81.132,0.8189,2.8863,-81.170,0.0259,-0.0059,0.0265,-0.039,0.7952,3.1513,0.051,0.0237,-0.2641,-81.132,1.032,0.4727,0.266,0.0189,0.0031,0.0028,0.8906,1.1063,0.7887,0.5836,3.9209,1.2723,0.0504,0.2882,0.8000,-0.1905,-0.0328,-0.2151,3.3346,0.1500
2.200,0.301,0.8298,2.8595,-79.722,0.8284,2.8335,-79.761,0.0254,-0.0060,0.0261,-0.039,0.7965,3.1536,0.274,0.0333,-0.3170,-79.722,1.022,0.4637,0.319,0.0186,0.0024,0.0019,0.8163,0.8974,1.0972,0.7175,3.9638,1.0320,0.0409,0.2210,0.8000,-0.1898,0.0119,-0.2067,3.4041,0.1500
2.251,0.364,0.8421,2.7971,-78.118,0.8284,2.8335,-79.761,-0.0384,-0.0059,0.0388,-1.643,0.7965,3.1536,0.274,0.0333,-0.3170,-79.722,1.170,0.4045,0.385,0.0450,0.0167,0.0019,0.1158,1.1741,0.9717,0.7886,4.0071,1.3502,0.0535,0.1575,0.8000,-0.1872,0.0506,-0.1984,3.4735,0.1500
2.300,0.364,0.8421,2.7971,-78.118,0.8420,2.7689,-78.156,0.0276,-0.0059,0.0282,-0.039,0.7965,3.1536,0.274,0.0469,-0.3815,-78.118,1.170,0.4045,0.385,0.0210,0.0019,0.0011,0.5897,0.9072,1.1305,1.1140,4.0507,1.0432,0.0413,0.0905,0.8000,-0.1814,0.0921,-0.1901,3.5430,0.1500
