t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip
0.000,0.000,-1.8516,0.8723,122.376,-1.8531,0.8666,122.758,-0.0040,0.0043,0.0059,0.383,-1.8459,0.8486,0.539,-0.0108,0.0173,122.376,-0.000,0.0000,0.020,0.0000,0.0012,0.0022,1.8800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,-1.8516,0.8723,122.375,-1.8532,0.8660,122.781,-0.0045,0.0047,0.0065,0.406,-1.8459,0.8486,0.539,-0.0108,0.0173,122.375,-0.000,0.0000,0.020,0.0000,0.0012,0.0023,2.0000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,-1.8516,0.8723,122.375,-1.8537,0.8631,122.885,-0.0067,0.0067,0.0094,0.510,-1.8459,0.8486,0.539,-0.0108,0.0173,122.375,-0.000,0.0000,0.020,0.0000,0.0012,0.0029,2.5200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,-1.8516,0.8723,122.375,-1.8537,0.8631,122.885,-0.0067,0.0067,0.0094,0.510,-1.8459,0.8486,0.539,-0.0108,0.0173,122.375,-0.000,0.0000,0.020,0.0000,0.0012,0.0029,2.5200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,-1.8516,0.8723,122.375,-1.8537,0.8631,122.885,-0.0067,0.0067,0.0094,0.510,-1.8459,0.8486,0.539,-0.0108,0.0173,122.375,-0.000,0.0000,0.020,0.0000,0.0012,0.0029,2.5200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,-1.8516,0.8723,122.375,-1.8537,0.8631,122.885,-0.0067,0.0067,0.0094,0.510,-1.8459,0.8486,0.539,-0.0108,0.0173,122.375,-0.000,0.0000,0.020,0.0000,0.0012,0.0029,2.5200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.000,-1.8516,0.8723,122.375,-1.8537,0.8631,122.885,-0.0067,0.0067,0.0094,0.510,-1.8459,0.8486,0.539,-0.0108,0.0173,122.375,-0.000,0.0000,0.020,0.0000,0.0012,0.0029,2.5200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.000,-1.8516,0.8723,122.375,-1.8537,0.8631,122.885,-0.0067,0.0067,0.0094,0.510,-1.8459,0.8486,0.539,-0.0108,0.0173,122.375,0.000,0.0000,0.020,0.0000,0.0012,0.0029,2.5200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,-1.8516,0.8723,122.375,-1.8537,0.8631,122.885,-0.0067,0.0067,0.0094,0.510,-1.8459,0.8486,0.539,-0.0108,0.0173,122.375,0.000,0.0000,0.020,0.0000,0.0012,0.0029,2.5200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.000,-1.8516,0.8723,122.375,-1.8556,0.8647,122.902,-0.0043,0.0074,0.0086,0.527,-1.8457,0.8505,0.566,-0.0108,0.0173,122.375,0.000,0.0000,0.020,0.0000,0.0012,0.0039,3.4000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,-1.8516,0.8723,122.375,-1.8569,0.8658,122.914,-0.0026,0.0080,0.0084,0.539,-1.8457,0.8505,0.566,-0.0108,0.0173,122.375,0.000,0.0000,0.020,0.0000,0.0012,0.0044,3.8000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.550,0.000,-1.8516,0.8723,122.375,-1.8569,0.8658,122.914,-0.0026,0.0080,0.0084,0.539,-1.8457,0.8505,0.566,-0.0108,0.0173,122.375,0.000,0.0000,0.020,0.0000,0.0012,0.0044,3.8400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,-1.8516,0.8723,122.375,-1.8569,0.8658,122.914,-0.0026,0.0080,0.0084,0.539,-1.8457,0.8505,0.566,-0.0108,0.0173,122.375,0.000,0.0000,0.020,0.0000,0.0012,0.0044,3.8400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.650,0.000,-1.8516,0.8723,122.375,-1.8569,0.8658,122.914,-0.0026,0.0080,0.0084,0.539,-1.8457,0.8505,0.566,-0.0108,0.0173,122.375,0.000,0.0000,0.020,0.0000,0.0012,0.0044,3.8400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
