t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8004,3.1583,-89.997,0.8079,3.1618,-89.658,-0.0035,0.0075,0.0083,0.339,0.8079,3.1618,0.339,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0142,0.6086,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.049,0.000,0.8004,3.1583,-89.997,0.8079,3.1618,-89.658,-0.0035,0.0075,0.0083,0.339,0.8079,3.1618,0.339,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0142,0.6086,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,0.8004,3.1583,-89.997,0.8079,3.1618,-89.658,-0.0035,0.0075,0.0083,0.339,0.8079,3.1618,0.339,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0142,0.6086,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.149,0.000,0.8004,3.1583,-89.997,0.8079,3.1618,-89.658,-0.0035,0.0075,0.0083,0.339,0.8079,3.1618,0.339,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0142,0.6086,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8004,3.1583,-89.997,0.8079,3.1618,-89.658,-0.0035,0.0075,0.0083,0.339,0.8079,3.1618,0.339,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0142,0.6086,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.000,0.8004,3.1583,-89.997,0.8079,3.1618,-89.658,-0.0035,0.0075,0.0083,0.339,0.8079,3.1618,0.339,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0142,0.6086,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.299,0.000,0.8004,3.1583,-89.997,0.8079,3.1618,-89.658,-0.0035,0.0075,0.0083,0.339,0.8079,3.1618,0.339,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0142,0.6086,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.349,0.000,0.8004,3.1583,-89.997,0.8079,3.1618,-89.658,-0.0035,0.0075,0.0083,0.339,0.8079,3.1618,0.339,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0142,0.6086,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8004,3.1583,-89.997,0.8074,3.1625,-89.829,-0.0042,0.0070,0.0082,0.168,0.8074,3.1625,0.168,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0187,0.8016,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.449,0.000,0.8004,3.1583,-89.997,0.8074,3.1625,-89.829,-0.0042,0.0070,0.0082,0.168,0.8074,3.1625,0.168,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0187,0.8027,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.000,0.8004,3.1583,-89.997,0.8074,3.1625,-89.829,-0.0042,0.0070,0.0082,0.168,0.8074,3.1625,0.168,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0187,0.8027,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.549,0.000,0.8004,3.1583,-89.997,0.8074,3.1625,-89.829,-0.0042,0.0070,0.0082,0.168,0.8074,3.1625,0.168,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0188,0.8037,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.599,0.000,0.8004,3.1583,-89.997,0.8074,3.1625,-89.829,-0.0042,0.0070,0.0082,0.168,0.8074,3.1625,0.168,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0188,0.8037,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.649,0.000,0.8004,3.1583,-89.997,0.8074,3.1625,-89.829,-0.0042,0.0070,0.0082,0.168,0.8074,3.1625,0.168,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0188,0.8037,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.700,0.000,0.8004,3.1583,-89.997,0.8074,3.1625,-89.829,-0.0042,0.0070,0.0082,0.168,0.8074,3.1625,0.168,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0188,0.8037,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.750,0.000,0.8004,3.1583,-89.997,0.8074,3.1625,-89.829,-0.0042,0.0070,0.0082,0.168,0.8074,3.1625,0.168,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0188,0.8037,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.799,0.000,0.8004,3.1583,-89.997,0.8074,3.1625,-89.829,-0.0042,0.0070,0.0082,0.168,0.8074,3.1625,0.168,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0188,0.8037,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.849,0.000,0.8004,3.1583,-89.997,0.8092,3.1628,-89.795,-0.0045,0.0088,0.0099,0.202,0.8092,3.1628,0.202,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0135,0.5792,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.899,0.000,0.8004,3.1583,-89.997,0.8092,3.1628,-89.795,-0.0045,0.0088,0.0099,0.202,0.8092,3.1628,0.202,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0135,0.5802,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.950,0.000,0.8004,3.1583,-89.997,0.8092,3.1628,-89.795,-0.0045,0.0088,0.0099,0.202,0.8092,3.1628,0.202,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0135,0.5802,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.999,0.000,0.8004,3.1583,-89.997,0.8092,3.1628,-89.795,-0.0045,0.0088,0.0099,0.202,0.8092,3.1628,0.202,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0136,0.5812,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.050,0.000,0.8004,3.1583,-89.997,0.8092,3.1628,-89.795,-0.0045,0.0088,0.0099,0.202,0.8092,3.1628,0.202,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0136,0.5812,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.099,0.000,0.8004,3.1583,-89.997,0.8092,3.1628,-89.795,-0.0045,0.0088,0.0099,0.202,0.8092,3.1628,0.202,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0136,0.5812,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.149,0.000,0.8004,3.1583,-89.997,0.8092,3.1628,-89.795,-0.0045,0.0088,0.0099,0.202,0.8092,3.1628,0.202,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0136,0.5812,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200,0.000,0.8004,3.1583,-89.997,0.8092,3.1628,-89.795,-0.0045,0.0088,0.0099,0.202,0.8092,3.1628,0.202,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0136,0.5812,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.249,0.000,0.8004,3.1583,-89.997,0.8092,3.1628,-89.795,-0.0045,0.0088,0.0099,0.202,0.8092,3.1628,0.202,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0136,0.5812,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.300,0.000,0.8004,3.1583,-89.997,0.8099,3.1618,-89.952,-0.0035,0.0095,0.0102,0.045,0.8099,3.1618,0.045,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0111,0.4744,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.349,0.000,0.8004,3.1583,-89.997,0.8099,3.1618,-89.952,-0.0035,0.0095,0.0102,0.045,0.8099,3.1618,0.045,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0111,0.4744,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.400,0.000,0.8004,3.1583,-89.997,0.8099,3.1618,-89.952,-0.0035,0.0095,0.0102,0.045,0.8099,3.1618,0.045,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0111,0.4744,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.450,0.000,0.8004,3.1583,-89.997,0.8099,3.1618,-89.952,-0.0035,0.0095,0.0102,0.045,0.8099,3.1618,0.045,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0111,0.4744,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.500,0.000,0.8004,3.1583,-89.997,0.8099,3.1618,-89.952,-0.0035,0.0095,0.0102,0.045,0.8099,3.1618,0.045,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0111,0.4744,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.549,0.000,0.8004,3.1583,-89.997,0.8099,3.1618,-89.952,-0.0035,0.0095,0.0102,0.045,0.8099,3.1618,0.045,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0111,0.4744,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.600,0.000,0.8004,3.1583,-89.997,0.8099,3.1618,-89.952,-0.0035,0.0095,0.0102,0.045,0.8099,3.1618,0.045,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0111,0.4744,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.649,0.000,0.8004,3.1583,-89.997,0.8099,3.1618,-89.952,-0.0035,0.0095,0.0102,0.045,0.8099,3.1618,0.045,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0111,0.4744,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.699,0.000,0.8004,3.1583,-89.997,0.8070,3.1597,-89.987,-0.0014,0.0066,0.0068,0.010,0.8070,3.1597,0.010,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.750,0.000,0.8004,3.1583,-89.997,0.8070,3.1597,-89.987,-0.0014,0.0066,0.0068,0.010,0.8070,3.1597,0.010,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.799,0.000,0.8004,3.1583,-89.997,0.8070,3.1597,-89.987,-0.0014,0.0066,0.0068,0.010,0.8070,3.1597,0.010,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
