t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,1.7065,-15.7711,14.998,0.8183,2.3507,-90.034,3.8317,17.7343,18.1436,-105.032,0.8180,3.1580,-105.031,0.7796,0.2097,14.997,0.004,0.0000,0.807,0.0000,0.0020,0.3609,179.3523,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.050,0.000,1.7067,-15.7711,14.998,0.8183,2.3507,-90.033,3.8316,17.7344,18.1436,-105.031,0.8180,3.1580,-105.031,0.7796,0.2097,14.998,0.003,0.0000,0.807,0.0002,0.0020,0.3610,177.3704,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100,0.000,1.7068,-15.7711,14.998,0.8153,2.3827,-91.081,3.8370,17.7660,18.1757,-106.080,0.8298,3.1899,-106.079,0.7796,0.2097,14.998,0.002,0.0000,0.807,0.0003,0.0021,0.3576,171.8044,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.150,0.000,1.7069,-15.7710,14.999,1.8169,-15.7202,16.405,0.1194,0.0206,0.1211,1.406,1.0427,-15.9490,1.406,0.7796,0.2097,14.999,0.002,0.0000,0.807,0.0004,0.0021,0.0372,17.8515,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,1.7069,-15.7710,14.999,1.8169,-15.7202,16.405,0.1194,0.0206,0.1211,1.406,1.0427,-15.9490,1.406,0.7796,0.2097,14.999,0.002,0.0000,0.807,0.0004,0.0022,0.0370,17.0224,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.250,0.001,1.7070,-15.7710,14.998,1.8169,-15.7202,16.404,0.1193,0.0206,0.1210,1.407,1.0427,-15.9490,1.406,0.7796,0.2097,14.998,0.001,0.0000,0.807,0.0005,0.0022,0.0369,16.8142,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.300,0.001,1.7070,-15.7710,14.998,1.8169,-15.7202,16.404,0.1193,0.0206,0.1210,1.406,1.0427,-15.9490,1.406,0.7796,0.2097,14.998,0.001,0.0000,0.807,0.0005,0.0022,0.0369,16.7888,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.350,0.001,1.7071,-15.7710,14.998,1.8169,-15.7202,16.404,0.1192,0.0207,0.1210,1.406,1.0427,-15.9490,1.406,0.7796,0.2097,14.998,0.001,0.0000,0.807,0.0006,0.0022,0.0369,16.7807,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.001,1.7071,-15.7710,14.998,1.8080,-15.7199,16.659,0.1107,0.0232,0.1131,1.661,1.0349,-15.9521,1.661,0.7796,0.2097,14.998,0.001,0.0000,0.807,0.0006,0.0022,0.0299,13.3211,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.450,0.001,1.7071,-15.7710,14.998,1.8080,-15.7199,16.659,0.1107,0.0232,0.1131,1.661,1.0349,-15.9521,1.661,0.7796,0.2097,14.998,0.000,0.0000,0.807,0.0006,0.0022,0.0299,13.3314,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.500,0.001,1.7071,-15.7710,14.998,1.8080,-15.7199,16.659,0.1107,0.0232,0.1131,1.661,1.0349,-15.9521,1.661,0.7796,0.2097,14.998,0.000,0.0000,0.807,0.0006,0.0023,0.0299,13.1792,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
