t,dist_m,true_x,true_y,true_yaw_deg,est_x,est_y,est_yaw_deg,err_along,err_cross,err_dist,err_yaw_deg,m2o_x,m2o_y,m2o_yaw_deg,o2b_x,o2b_y,o2b_yaw_deg,speed,yaw_rate,enc_dist,dr_err,fit_true,fit_est,fit_ratio,ready,pp_v_est,pp_v_enc,pp_v_pose,pp_v_target,pp_u_cmd,pp_throttle,pp_steering,pp_ld,pp_e_lat,pp_e_head,pp_kappa,pp_s,pp_slip,pp_a_imu,pp_delay
0.000,0.000,0.8004,3.1583,-89.997,0.8054,3.1601,-89.748,-0.0018,0.0050,0.0053,0.249,0.8054,3.1601,0.249,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0200,0.8558,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.022,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0189,0.8088,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.045,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0189,0.8088,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.067,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0189,0.8088,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.089,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0189,0.8098,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.111,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0189,0.8098,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.133,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0189,0.8098,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.156,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0189,0.8098,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.178,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0189,0.8108,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.200,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0189,0.8108,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.222,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0189,0.8108,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.244,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0189,0.8108,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.267,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0190,0.8119,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.289,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0190,0.8119,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.311,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0190,0.8119,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.333,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0190,0.8119,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.356,0.000,0.8004,3.1583,-89.997,0.8081,3.1617,-89.894,-0.0034,0.0077,0.0084,0.103,0.8081,3.1617,0.103,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0190,0.8129,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.378,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.400,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.422,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.444,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.467,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.489,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.511,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.533,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.556,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.578,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.600,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.622,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.644,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.667,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.689,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.711,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.733,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.756,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.778,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.800,0.000,0.8004,3.1583,-89.997,0.8076,3.1608,-89.969,-0.0025,0.0072,0.0076,0.028,0.8076,3.1608,0.028,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0227,0.9703,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.822,0.000,0.8004,3.1583,-89.997,0.8087,3.1630,-90.039,-0.0047,0.0083,0.0095,-0.043,0.8087,3.1630,-0.043,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.844,0.000,0.8004,3.1583,-89.997,0.8087,3.1630,-90.039,-0.0047,0.0083,0.0095,-0.043,0.8087,3.1630,-0.043,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.867,0.000,0.8004,3.1583,-89.997,0.8087,3.1630,-90.039,-0.0047,0.0083,0.0095,-0.043,0.8087,3.1630,-0.043,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.889,0.000,0.8004,3.1583,-89.997,0.8087,3.1630,-90.039,-0.0047,0.0083,0.0095,-0.043,0.8087,3.1630,-0.043,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.911,0.000,0.8004,3.1583,-89.997,0.8087,3.1630,-90.039,-0.0047,0.0083,0.0095,-0.043,0.8087,3.1630,-0.043,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.933,0.000,0.8004,3.1583,-89.997,0.8087,3.1630,-90.039,-0.0047,0.0083,0.0095,-0.043,0.8087,3.1630,-0.043,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.956,0.000,0.8004,3.1583,-89.997,0.8087,3.1630,-90.039,-0.0047,0.0083,0.0095,-0.043,0.8087,3.1630,-0.043,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.978,0.000,0.8004,3.1583,-89.997,0.8087,3.1630,-90.039,-0.0047,0.0083,0.0095,-0.043,0.8087,3.1630,-0.043,0.0000,0.0000,-89.997,0.000,0.0000,0.000,0.0000,0.0234,0.0234,1.0000,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
